id,parent,name,update_url
afghanistan,asia,Afghanistan,https://download.geofabrik.de/asia/afghanistan-updates
africa,,Africa,https://download.geofabrik.de/africa-updates
albania,europe,Albania,https://download.geofabrik.de/europe/albania-updates
alberta,canada,Alberta,https://download.geofabrik.de/north-america/canada/alberta-updates
algeria,africa,Algeria,https://download.geofabrik.de/africa/algeria-updates
alps,europe,Alps,https://download.geofabrik.de/europe/alps-updates
alsace,france,Alsace,https://download.geofabrik.de/europe/france/alsace-updates
american-oceania,australia-oceania,American Oceania,https://download.geofabrik.de/australia-oceania/american-oceania-updates
andalucia,spain,Andalucía,https://download.geofabrik.de/europe/spain/andalucia-updates
andorra,europe,Andorra,https://download.geofabrik.de/europe/andorra-updates
angola,africa,Angola,https://download.geofabrik.de/africa/angola-updates
antarctica,,Antarctica,https://download.geofabrik.de/antarctica-updates
aquitaine,france,Aquitaine,https://download.geofabrik.de/europe/france/aquitaine-updates
aragon,spain,Aragón,https://download.geofabrik.de/europe/spain/aragon-updates
argentina,south-america,Argentina,https://download.geofabrik.de/south-america/argentina-updates
armenia,asia,Armenia,https://download.geofabrik.de/asia/armenia-updates
arnsberg-regbez,nordrhein-westfalen,Regierungsbezirk Arnsberg,https://download.geofabrik.de/europe/germany/nordrhein-westfalen/arnsberg-regbez-updates
asia,,Asia,https://download.geofabrik.de/asia-updates
asturias,spain,Asturias,https://download.geofabrik.de/europe/spain/asturias-updates
australia,australia-oceania,Australia,https://download.geofabrik.de/australia-oceania/australia-updates
australia-oceania,,Australia and Oceania,https://download.geofabrik.de/australia-oceania-updates
austria,europe,Austria,https://download.geofabrik.de/europe/austria-updates
auvergne,france,Auvergne,https://download.geofabrik.de/europe/france/auvergne-updates
azerbaijan,asia,Azerbaijan,https://download.geofabrik.de/asia/azerbaijan-updates
azores,europe,Azores,https://download.geofabrik.de/europe/azores-updates
baden-wuerttemberg,germany,Baden-Württemberg,https://download.geofabrik.de/europe/germany/baden-wuerttemberg-updates
bahamas,central-america,Bahamas,https://download.geofabrik.de/central-america/bahamas-updates
bangladesh,asia,Bangladesh,https://download.geofabrik.de/asia/bangladesh-updates
basse-normandie,france,Basse-Normandie,https://download.geofabrik.de/europe/france/basse-normandie-updates
bayern,germany,Bayern,https://download.geofabrik.de/europe/germany/bayern-updates
bedfordshire,england,Bedfordshire,https://download.geofabrik.de/europe/great-britain/england/bedfordshire-updates
belarus,europe,Belarus,https://download.geofabrik.de/europe/belarus-updates
belgium,europe,Belgium,https://download.geofabrik.de/europe/belgium-updates
belize,central-america,Belize,https://download.geofabrik.de/central-america/belize-updates
benin,africa,Benin,https://download.geofabrik.de/africa/benin-updates
berkshire,england,Berkshire,https://download.geofabrik.de/europe/great-britain/england/berkshire-updates
berlin,germany,Berlin,https://download.geofabrik.de/europe/germany/berlin-updates
bhutan,asia,Bhutan,https://download.geofabrik.de/asia/bhutan-updates
bolivia,south-america,Bolivia,https://download.geofabrik.de/south-america/bolivia-updates
bosnia-herzegovina,europe,Bosnia-Herzegovina,https://download.geofabrik.de/europe/bosnia-herzegovina-updates
botswana,africa,Botswana,https://download.geofabrik.de/africa/botswana-updates
bourgogne,france,Bourgogne,https://download.geofabrik.de/europe/france/bourgogne-updates
brandenburg,germany,Brandenburg (mit Berlin),https://download.geofabrik.de/europe/germany/brandenburg-updates
brazil,south-america,Brazil,https://download.geofabrik.de/south-america/brazil-updates
bremen,germany,Bremen,https://download.geofabrik.de/europe/germany/bremen-updates
bretagne,france,Bretagne,https://download.geofabrik.de/europe/france/bretagne-updates
bristol,england,Bristol,https://download.geofabrik.de/europe/great-britain/england/bristol-updates
britain-and-ireland,europe,Britain and Ireland,https://download.geofabrik.de/europe/britain-and-ireland-updates
british-columbia,canada,British Columbia,https://download.geofabrik.de/north-america/canada/british-columbia-updates
buckinghamshire,england,Buckinghamshire,https://download.geofabrik.de/europe/great-britain/england/buckinghamshire-updates
bulgaria,europe,Bulgaria,https://download.geofabrik.de/europe/bulgaria-updates
burkina-faso,africa,Burkina Faso,https://download.geofabrik.de/africa/burkina-faso-updates
burundi,africa,Burundi,https://download.geofabrik.de/africa/burundi-updates
cambodia,asia,Cambodia,https://download.geofabrik.de/asia/cambodia-updates
cambridgeshire,england,Cambridgeshire,https://download.geofabrik.de/europe/great-britain/england/cambridgeshire-updates
cameroon,africa,Cameroon,https://download.geofabrik.de/africa/cameroon-updates
canada,north-america,Canada,https://download.geofabrik.de/north-america/canada-updates
canary-islands,africa,Canary Islands,https://download.geofabrik.de/africa/canary-islands-updates
cantabria,spain,Cantabria,https://download.geofabrik.de/europe/spain/cantabria-updates
cape-verde,africa,Cape Verde,https://download.geofabrik.de/africa/cape-verde-updates
castilla-la-mancha,spain,Castilla-La Mancha,https://download.geofabrik.de/europe/spain/castilla-la-mancha-updates
castilla-y-leon,spain,Castilla y León,https://download.geofabrik.de/europe/spain/castilla-y-leon-updates
cataluna,spain,Cataluña,https://download.geofabrik.de/europe/spain/cataluna-updates
central-african-republic,africa,Central African Republic,https://download.geofabrik.de/africa/central-african-republic-updates
central-america,,Central America,https://download.geofabrik.de/central-america-updates
central-fed-district,russia,Central Federal District,https://download.geofabrik.de/russia/central-fed-district-updates
central-zone,india,Central Zone,https://download.geofabrik.de/asia/india/central-zone-updates
