rank,name,profile,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,_jcaruso,https://www.openstreetmap.org/user/_jcaruso,8148904,264,88590,United States of America,74474,353,347,13284,106,24,1,1,0,0,49,13243,0,40,154,0,0,0,0,"{""building"": 13243, ""source"": 13195, ""highway"": 40, ""service"": 39, ""type"": 1}","{""highway"": 154, ""name"": 56, ""service"": 48, ""tiger:cfcc"": 40, ""tiger:county"": 40, ""tiger:name_base"": 40, ""tiger:name_type"": 40, ""tiger:reviewed"": 40, ""tiger:zip_left"": 37, ""tiger:zip_right"": 36, ""surface"": 17, ""oneway"": 7, ""tiger:name_base_1"": 5, ""unsigned_ref"": 3, ""lanes"": 3, ""maxspeed"": 3, ""ref"": 3, ""lit"": 2, ""sidewalk"": 2, ""name_1"": 2, ""access"": 2, ""NHD:ComID"": 1, ""NHD:FCode"": 1, ""NHD:FDate"": 1, ""NHD:FTYPE"": 1, ""NHD:RESOLUTION"": 1, ""NHD:ReachCode"": 1, ""natural"": 1, ""source"": 1, ""hgv"": 1, ""hgv:national_network"": 1, ""source:hgv:national_network"": 1, ""from"": 1, ""network"": 1, ""network:wikidata"": 1, ""operator"": 1, ""operator:wikidata"": 1, ""route"": 1, ""to"": 1, ""type"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
2,beddy,https://www.openstreetmap.org/user/beddy,3207726,172,64238,"United States of America,U.K. of Great Britain and Northern Ireland",55321,40,136,8716,1,24,0,0,0,0,38,8712,0,3,26,0,0,0,0,"{""building"": 8712, ""source"": 8712, ""highway"": 3, ""natural"": 1, ""water"": 1}","{""highway"": 26, ""noexit"": 14, ""bicycle"": 1, ""foot"": 1, ""segregated"": 1, ""source"": 1, ""surface"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
3,KingVik,https://www.openstreetmap.org/user/KingVik,7159298,124,55070,"Nigeria,Kenya",42287,2792,102,9439,440,10,0,0,0,3,1,9111,164,323,268,1,5,0,0,"{""source"": 9425, ""building"": 9111, ""highway"": 323, ""ford"": 4, ""landuse"": 3, ""natural"": 1, ""waterway"": 1}","{""highway"": 268, ""building"": 164, ""surface"": 135, ""oneway"": 84, ""ref"": 73, ""name"": 65, ""source"": 60, ""lanes"": 21, ""bridge"": 20, ""layer"": 20, ""FIXME"": 19, ""waterway"": 5, ""ford"": 3, ""landuse"": 3, ""intermittent"": 2, ""lanes:forward"": 1, ""maxspeed"": 1}","#uniquemappersnetwork,#uniquemappersteam,#uniquemappersnetwork2023,#youthmappers,#UNMappers,#hotosm-project-13280-,#Floodrisk,#IDP,#GRMI2022,#maproulette",2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
4,Władysław Komorek,https://www.openstreetmap.org/user/W%C5%82adys%C5%82aw%20Komorek,693154,10,40286,Gabon,11033,24826,1344,2711,272,94,1,4,1,1,426,2665,11,36,243,0,2,3,170,"{""building"": 2665, ""highway"": 36, ""service"": 23, ""name"": 6, ""barrier"": 4, ""amenity"": 3, ""religion"": 3, ""layer"": 2, ""man_made"": 1, ""bridge"": 1, ""denomination"": 1, ""landuse"": 1, ""military"": 1, ""contact:phone"": 1, ""note"": 1, ""tourism"": 1, ""lit"": 1, ""surface"": 1, ""type"": 1}","{""name"": 260, ""highway"": 243, ""amenity"": 170, ""service"": 140, ""traffic_sign"": 69, ""shop"": 33, ""barrier"": 25, ""tourism"": 23, ""man_made"": 23, ""natural"": 22, ""access"": 20, ""surface"": 19, ""office"": 18, ""place"": 16, ""junction"": 15, ""healthcare"": 15, ""operator"": 14, ""note"": 14, ""building"": 11, ""brand"": 11, ""brand:wikidata"": 11, ""brand:wikipedia"": 11, ""name:fr"": 11, ""landuse"": 9, ""leisure"": 8, ""oneway"": 8, ""start_date"": 8, ""religion"": 7, ""source"": 6, ""addr:city"": 6, ""foot"": 6, ""phone"": 6, ""lanes"": 6, ""name:en"": 5, ""opening_hours"": 5, ""bicycle"": 5, ""fixme"": 4, ""description"": 4, ""type"": 4, ""wikidata"": 3, ""wikipedia"": 3, ""power"": 3, ""cuisine"": 3, ""height"": 3, ""motor_vehicle"": 3, ""alt_name"": 3, ""internet_access"": 3, ""craft"": 3, ""water"": 3, ""name:ar"": 2, ""name:ru"": 2, ""name:uk"": 2, ""contact:website"": 2, ""tower:type"": 2, ""addr:street"": 2, ""website"": 2, ""short_name"": 2, ""waterway"": 2, ""operator:wikidata"": 2, ""operator:wikipedia"": 2, ""disused:amenity"": 2, ""sport"": 2, ""bar"": 2, ""cocktails"": 2, ""contact:email"": 2, ""inscription"": 2, ""reservation"": 2, ""addr:province"": 2, ""ref"": 2, ""lit"": 2, ""alt_name:ar"": 1, ""name:ko"": 1, ""population"": 1, ""seamark:beacon_special_purpose:colour"": 1, ""seamark:light:character"": 1, ""seamark:light:colour"": 1, ""seamark:light:height"": 1, ""seamark:light:period"": 1, ""seamark:light:range"": 1, ""seamark:light:reference"": 1, ""seamark:name"": 1, ""seamark:type"": 1, ""designation"": 1, ""horse"": 1, ""alt_name:cs"": 1, ""name:cs"": 1, ""name:es"": 1, ""name:eu"": 1, ""name:is"": 1, ""name:it"": 1, ""name:ka"": 1, ""name:lt"": 1, ""name:no"": 1, ""name:pt"": 1, ""name:sv"": 1, ""name:zh"": 1, ""entrance"": 1, ""email"": 1, ""historic"": 1, ""denomination"": 1, ""support"": 1, ""visibility"": 1, ""industrial"": 1, ""official_name"": 1, ""social_facility"": 1, ""level"": 1, ""addr:country"": 1, ""addr:housenumber"": 1, ""outdoor_seating"": 1, ""smoking"": 1, ""addr:housename"": 1, ""contact:facebook"": 1, ""contact:phone"": 1, ""drive_through"": 1, ""fuel:diesel"": 1, ""addr:suburb"": 1, ""lifeguard"": 1, ""supervised"": 1, ""air_conditioning"": 1, ""charge"": 1, ""contact:mobile"": 1, ""nohousenumber"": 1, ""rooms"": 1, ""maxspeed"": 1, ""tracktype"": 1, ""aeroway"": 1, ""iata"": 1, ""icao"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
5,TheConductor,https://www.openstreetmap.org/user/TheConductor,9489453,9,36355,United States of America,34533,31,1565,195,16,13,1,1,0,5,13,0,0,4,6,6,11,0,0,"{""natural"": 185, ""leaf_type"": 45, ""name"": 7, ""boat"": 6, ""waterway"": 6, ""ford"": 4, ""highway"": 4, ""type"": 1}","{""name"": 17, ""waterway"": 11, ""ford"": 9, ""highway"": 6, ""boat"": 4, ""wikidata"": 3, ""natural"": 3, ""foot"": 3, ""addr:state"": 2, ""ele"": 2, ""gnis:county_name"": 2, ""gnis:created"": 2, ""gnis:feature_id"": 2, ""gnis:feature_type"": 2, ""historic"": 2, ""bicycle"": 1, ""tiger:cfcc"": 1, ""tiger:county"": 1, ""tiger:reviewed"": 1, ""surface"": 1, ""water"": 1, ""type"": 1, ""wikipedia"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
6,DressyPear4,https://www.openstreetmap.org/user/DressyPear4,3984659,10,30731,Brazil,4956,11280,10610,243,2299,1323,1,16,3,0,282,0,203,208,1901,20,14,0,74,"{""highway"": 208, ""surface"": 170, ""waterway"": 20, ""service"": 19, ""layer"": 12, ""natural"": 12, ""tunnel"": 10, ""name"": 6, ""bridge"": 2, ""landuse"": 2, ""source"": 2, ""leisure"": 1, ""sport"": 1, ""lanes"": 1, ""oneway"": 1, ""restriction"": 1, ""type"": 1}","{""highway"": 1901, ""name"": 1053, ""oneway"": 692, ""source"": 597, ""surface"": 384, ""building"": 203, ""lanes"": 91, ""landuse"": 90, ""power"": 79, ""amenity"": 74, ""junction"": 74, ""leisure"": 68, ""alt_name"": 66, ""natural"": 48, ""addr:street"": 41, ""ref"": 36, ""service"": 32, ""operator"": 26, ""sport"": 23, ""man_made"": 22, ""addr:housenumber"": 20, ""tower:type"": 20, ""aeroway"": 20, ""shop"": 19, ""noexit"": 19, ""communication:mobile_phone"": 19, ""maxspeed"": 18, ""addr:postcode"": 17, ""addr:city"": 16, ""barrier"": 16, ""type"": 16, ""access"": 14, ""waterway"": 14, ""addr:suburb"": 12, ""phone"": 11, ""restriction"": 10, ""description"": 9, ""old_name"": 8, ""website"": 7, ""layer"": 7, ""wikidata"": 6, ""wikipedia"": 6, ""opening_hours"": 6, ""ford"": 5, ""foot"": 5, ""healthcare"": 5, ""building:levels"": 5, ""footway"": 5, ""IBGE:GEOCODIGO"": 4, ""place"": 4, ""population"": 4, ""office"": 4, ""brand"": 4, ""bicycle"": 4, ""boundary"": 4, ""name:en"": 3, ""religion"": 3, ""cables"": 3, ""circuits"": 3, ""frequency"": 3, ""voltage"": 3, ""wires"": 3, ""construction"": 3, ""covered"": 3, ""tourism"": 2, ""cuisine"": 2, ""fixme"": 2, ""bus"": 2, ""public_transport"": 2, ""opening_hours:covid19"": 2, ""wheelchair"": 2, ""water"": 2, ""roof:material"": 2, ""short_name"": 2, ""motor_vehicle"": 2, ""intermittent"": 2, ""bridge"": 2, ""protect_class"": 2, ""protection_title"": 2, ""admin_level"": 2, ""height"": 2, ""is_in:country"": 1, ""name:ru"": 1, ""name:uk"": 1, ""denomination"": 1, ""addr:housename"": 1, ""note"": 1, ""email"": 1, ""beauty"": 1, ""level"": 1, ""image"": 1, ""old_ref"": 1, ""ownership"": 1, ""IBGE:CD_CLASSE_"": 1, ""leaf_cycle"": 1, ""leaf_type"": 1, ""source:name"": 1, ""studio"": 1, ""official_name"": 1, ""horse"": 1, ""emergency"": 1, ""healthcare:speciality"": 1, ""brand:wikidata"": 1, ""start_date"": 1, ""industrial"": 1, ""iata"": 1, ""distance"": 1, ""network"": 1, ""route"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
7,Koreller,https://www.openstreetmap.org/user/Koreller,12419855,4,27110,Democratic People's Republic of Korea,10692,1284,12073,823,87,2148,0,0,3,3,17,667,8,62,34,20,13,3,6,"{""building"": 667, ""highway"": 62, ""natural"": 33, ""landuse"": 21, ""waterway"": 20, ""man_made"": 16, ""layer"": 15, ""tourism"": 3, ""amenity"": 3, ""tunnel"": 3, ""artwork_type"": 2, ""bridge"": 2, ""ref"": 2, ""leisure"": 2, ""water"": 1, ""seasonal"": 1, ""boat"": 1, ""alt_name:ko"": 1, ""name"": 1, ""name:en"": 1, ""name:ko"": 1}","{""highway"": 34, ""ref"": 20, ""railway"": 19, ""name"": 16, ""name:ko"": 13, ""waterway"": 13, ""name:ko-Hani"": 11, ""oneway"": 10, ""name:en"": 9, ""name:zh"": 9, ""gauge"": 9, ""building"": 8, ""electrified"": 8, ""frequency"": 8, ""name:zh-Hant"": 8, ""passenger_lines"": 8, ""usage"": 8, ""voltage"": 8, ""lanes"": 7, ""surface"": 7, ""natural"": 7, ""amenity"": 6, ""boat"": 4, ""service"": 4, ""man_made"": 4, ""leisure"": 3, ""name:ru"": 2, ""place"": 2, ""historic"": 2, ""internet_access"": 2, ""smoking"": 2, ""shop"": 2, ""entrance"": 2, ""bridge"": 2, ""layer"": 2, ""source"": 2, ""intermittent"": 2, ""barrier"": 2, ""seasonal"": 2, ""alt_name:ru"": 1, ""int_name"": 1, ""name:fr"": 1, ""wikidata"": 1, ""cuisine"": 1, ""takeaway"": 1, ""official_name"": 1, ""official_name:ko-Hani"": 1, ""official_name:zh"": 1, ""operator"": 1, ""operator:en"": 1, ""operator:zh"": 1, ""public_transport"": 1, ""ford"": 1, ""junction"": 1, ""landuse"": 1, ""tourism"": 1, ""area"": 1, ""office"": 1, ""water"": 1, ""paved"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
8,Mikhail Fall1n1,https://www.openstreetmap.org/user/Mikhail%20Fall1n1,15192063,30,22395,Kazakhstan,14860,178,4338,2157,48,814,0,0,0,0,2,2138,5,15,41,0,0,2,4,"{""building"": 2138, ""highway"": 15, ""amenity"": 2, ""leisure"": 2, ""sport"": 2}","{""highway"": 41, ""name"": 26, ""building"": 5, ""amenity"": 4, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""healthcare"": 1}",,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
9,ottwiz,https://www.openstreetmap.org/user/ottwiz,3087157,7,21671,"Iceland,United States of America",20187,562,584,312,14,2,9,1,0,1,10,1,1,3,2,0,0,2,6,"{""natural"": 256, ""landuse"": 11, ""type"": 9, ""water"": 4, ""highway"": 3, ""amenity"": 2, ""communication:mobile_phone"": 1, ""man_made"": 1, ""tower:construction"": 1, ""tower:type"": 1, ""oneway"": 1, ""surface"": 1, ""leisure"": 1, ""sport"": 1, ""building"": 1}","{""amenity"": 6, ""name"": 6, ""addr:housenumber"": 6, ""addr:postcode"": 6, ""addr:street"": 6, ""ref:HNITNUM"": 5, ""source:addr"": 5, ""natural"": 5, ""operator"": 2, ""highway"": 2, ""landuse"": 2, ""ref"": 2, ""leisure"": 2, ""information"": 1, ""tourism"": 1, ""email"": 1, ""fax"": 1, ""phone"": 1, ""website"": 1, ""atm"": 1, ""building"": 1, ""water"": 1, ""oneway"": 1, ""surface"": 1, ""network"": 1, ""route"": 1, ""type"": 1}",#ottwiz-mapping-wv,2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
10,mrt_ortncl,https://www.openstreetmap.org/user/mrt_ortncl,9658706,125,21495,Turkey,16705,1134,35,3435,179,4,0,3,0,0,1,3277,30,156,148,2,1,0,1,"{""building"": 3277, ""source"": 3270, ""highway"": 156, ""oneway"": 5, ""name"": 4, ""ref"": 4, ""boat"": 2, ""waterway"": 2, ""layer"": 2, ""lanes"": 2, ""tunnel"": 1, ""bridge"": 1, ""surface"": 1}","{""highway"": 148, ""source"": 119, ""building"": 30, ""name"": 24, ""damage:date"": 16, ""damage:event"": 16, ""damage:type"": 16, ""destroyed:building"": 16, ""earthquake:damage"": 16, ""oneway"": 11, ""ref"": 8, ""lanes"": 3, ""layer"": 3, ""type"": 3, ""surface"": 2, ""description"": 2, ""network"": 2, ""route"": 2, ""barrier"": 1, ""maxspeed"": 1, ""boat"": 1, ""waterway"": 1, ""amenity"": 1, ""denomination"": 1, ""religion"": 1, ""parent_basin"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-02-19 00:00:00+00:00,2023-02-20 00:00:00+00:00
