rank,name,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags
1,TeBaMa,6519568,13,18327,"Mali,Nigeria",5393,11369,149,1278,92,46,0,0,0,0,12,1254,23,24,61,0,0,0,7,"{""building"": 1254, ""highway"": 24, ""surface"": 22, ""source"": 5}","{""highway"": 61, ""surface"": 51, ""source"": 46, ""building"": 23, ""name"": 11, ""amenity"": 7, ""addr:city"": 5, ""capacity:pupils"": 5, ""capacity:teachers"": 5, ""drinking_water"": 5, ""is_in:cercle"": 5, ""is_in:commune"": 5, ""is_in:village"": 5, ""isced:level"": 5, ""operator:type"": 5, ""restaurant"": 5, ""school:ML:academie"": 5, ""school:ML:cap"": 5, ""toilets"": 5, ""toilets:number"": 5, ""landuse"": 4, ""drinking_water:seasonal"": 3, ""drinking_water:type"": 3, ""tourism"": 2, ""access"": 2, ""leisure"": 2, ""ford"": 1, ""man_made"": 1, ""alt_name"": 1, ""nga:ufi"": 1, ""place"": 1, ""new"": 1, ""tracktype"": 1, ""ref"": 1, ""bicycle"": 1, ""bridge"": 1, ""cycleway"": 1, ""foot"": 1, ""horse"": 1, ""lanes"": 1, ""layer"": 1, ""maxspeed"": 1, ""motor_vehicle"": 1, ""oneway"": 1, ""dog"": 1, ""opening_hours"": 1, ""opening_hours:covid19"": 1, ""operator"": 1, ""smoking"": 1, ""start_date"": 1}","#hotosm-project-11737,#hotosm-project-12361,#enswc,#waterandsanitation,#sdg"
2,nyainariantsoa,10732815,11,15521,Senegal,14181,489,31,715,101,4,0,0,0,4,1,483,16,215,84,2,0,0,0,"{""building"": 483, ""highway"": 215, ""natural"": 15, ""ford"": 4, ""waterway"": 2, ""source"": 1, ""surface"": 1}","{""highway"": 84, ""building"": 16, ""surface"": 15, ""source"": 12, ""name"": 1, ""place"": 1, ""landuse"": 1}","#hotosm-project-14162,#opfistula,#tostan"
3,Rizki IRM-ED,17714670,3,11268,Indonesia,9028,0,0,2233,7,0,0,0,0,0,0,2219,3,14,3,0,0,0,0,"{""building"": 2219, ""highway"": 14}","{""building"": 3, ""source"": 3, ""highway"": 3, ""leisure"": 1, ""sport"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
4,Narindra Fidintsoa,7041772,16,9936,Senegal,8531,504,67,788,45,1,0,0,0,4,3,357,0,412,42,9,1,0,0,"{""highway"": 412, ""building"": 357, ""surface"": 10, ""waterway"": 9, ""natural"": 8, ""source"": 8, ""intermittent"": 7, ""place"": 3, ""wetland"": 3, ""bridge"": 2, ""layer"": 2, ""crop"": 2, ""landuse"": 2, ""ford"": 1}","{""highway"": 42, ""surface"": 27, ""source"": 17, ""place"": 3, ""lanes"": 3, ""oneway"": 3, ""name"": 1, ""landuse"": 1, ""intermittent"": 1, ""waterway"": 1, ""natural"": 1, ""wetland"": 1}","#hotosm-project-14163,#opfistula,#tostan"
5,Kraan46,11628862,39,9723,"Kenya,Chad",1477,4338,3258,259,105,284,0,0,2,0,0,259,102,0,2,0,0,0,0,"{""building"": 259}","{""building"": 102, ""highway"": 2, ""landuse"": 1}","#hotosm-project-13813,#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps"
6,Tom_HL,18192024,33,9145,Angola,6592,771,503,1196,9,73,1,0,0,0,0,1187,4,0,0,0,0,0,0,"{""building"": 1187, ""landuse"": 8, ""type"": 1}","{""landuse"": 4, ""building"": 4}","#hotosm-project-14169,#HuilaProvince,#msf,#missingmaps"
7,Norike12,6486402,13,8690,Senegal,6966,859,277,488,67,33,0,0,0,0,1,135,16,349,50,4,0,0,0,"{""highway"": 349, ""building"": 135, ""intermittent"": 4, ""waterway"": 4, ""layer"": 1, ""tunnel"": 1}","{""highway"": 50, ""building"": 16, ""surface"": 12, ""name"": 1, ""place"": 1, ""landuse"": 1}","#hotosm-project-14165,#opfistula,#tostan"
8,Qomar IRM-ED,9543905,6,8523,Indonesia,6318,619,31,1532,23,0,0,0,0,0,0,1532,19,0,3,0,0,0,0,"{""building"": 1532}","{""building"": 19, ""highway"": 3, ""natural"": 1, ""source"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
9,AKE Amazan,1586794,12,7945,Togo,3866,1191,1654,879,158,197,0,0,0,1,5,857,65,22,91,0,0,0,0,"{""building"": 857, ""highway"": 22, ""source"": 9, ""surface"": 3, ""crossing"": 1, ""crossing:barrier"": 1, ""railway"": 1, ""tracktype"": 1}","{""source"": 148, ""highway"": 91, ""building"": 65, ""surface"": 45, ""railway"": 5, ""crossing"": 3, ""crossing:barrier"": 3, ""name"": 3, ""electrified"": 2, ""gauge"": 2, ""note"": 2, ""operator"": 2, ""railway:balastless"": 2, ""railway:traffic_mode"": 2, ""tracks"": 2, ""usage"": 2, ""natural"": 1, ""email"": 1, ""internet_access"": 1, ""opening_hours"": 1, ""phone"": 1, ""shop"": 1, ""tracktype"": 1}","#hotosm-project-13840,#wnahub,#sustainableCitiesAndCommunities,#OSMTogo,#MiaTouTogo,#Map4Togo"
10,UPegasus,3442717,4,7393,South Africa,4381,251,1870,575,34,282,0,0,0,3,10,525,2,8,29,0,0,2,0,"{""building"": 525, ""landuse"": 35, ""layer"": 14, ""highway"": 8, ""leisure"": 6, ""amenity"": 2, ""barrier"": 1, ""man_made"": 1, ""traffic_calming"": 1, ""access"": 1}","{""highway"": 29, ""name"": 10, ""surface"": 9, ""source"": 8, ""power"": 3, ""barrier"": 3, ""man_made"": 3, ""traffic_calming"": 2, ""lanes"": 2, ""oneway"": 2, ""building"": 2, ""access"": 1, ""pressure"": 1, ""admin_level"": 1, ""boundary"": 1, ""operator"": 1, ""landuse"": 1}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA"
11,anthaas,5438501,24,7334,"Angola,Democratic Republic of the Congo,Chad,Niger",2065,3777,848,330,196,118,0,0,0,0,0,328,190,0,1,0,0,0,0,"{""building"": 328, ""landuse"": 2}","{""building"": 190, ""landuse"": 5, ""name"": 1, ""residential"": 1, ""highway"": 1}","#hotosm-project-14169,#HuilaProvince,#msf,#missingmaps,#hotosm-project-13752,#2022DRC,#Kambove,#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps,#hotosm-project-14157,#IRSMagaria"
12,andraina,11974512,2,7300,Senegal,5867,251,934,127,110,6,1,4,0,0,2,21,2,98,86,0,2,0,0,"{""highway"": 98, ""building"": 21, ""natural"": 6, ""surface"": 5, ""water"": 5, ""source"": 3, ""tracktype"": 3, ""lanes"": 2, ""oneway"": 2, ""type"": 1}","{""highway"": 86, ""surface"": 22, ""tracktype"": 8, ""natural"": 8, ""lanes"": 7, ""oneway"": 7, ""source"": 7, ""water"": 5, ""type"": 4, ""name"": 2, ""place"": 2, ""landuse"": 2, ""building"": 2, ""intermittent"": 2, ""waterway"": 2}","#hotosm-project-14166,#opfistula,#tostan"
13,MagnusLi,18119824,29,6355,"South Africa,Madagascar",3503,2050,114,493,181,14,0,0,0,4,2,470,146,2,26,13,9,0,0,"{""building"": 470, ""waterway"": 13, ""leisure"": 6, ""ford"": 4, ""highway"": 2, ""name"": 2, ""source"": 2, ""natural"": 2, ""water"": 2, ""bridge"": 1, ""layer"": 1}","{""building"": 146, ""highway"": 26, ""name"": 13, ""source"": 12, ""waterway"": 9, ""surface"": 6, ""seasonal"": 5, ""description"": 3, ""intermittent"": 3, ""access:conditional"": 2, ""smoothness"": 2, ""man_made"": 2, ""landuse"": 1, ""maxheight"": 1, ""leisure"": 1, ""layer"": 1, ""junction"": 1}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA,#hotosm-project-11603,#mappingmadagascar"
14,Anisa IRM-ED,8072049,8,6066,Indonesia,2388,1935,988,391,233,131,0,0,0,0,0,391,229,0,4,0,0,0,0,"{""building"": 391}","{""building"": 229, ""highway"": 4}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
15,TibestiMountains,16853644,35,6059,"South Africa,South Sudan",2725,2838,7,385,104,0,0,0,0,0,0,385,104,0,0,0,0,0,0,"{""building"": 385}","{""building"": 104, ""layer"": 1}","#hotosm-project-12597,#DurbanFloods,#OpenMappingHub-ESA,#adt,#hotosm-project-13599,#REACH,#JurRiver"
16,NANDJO,4655096,5,5703,Ghana,4555,66,6,1071,2,1,2,0,0,0,0,1069,2,0,0,0,0,0,0,"{""building"": 1069, ""type"": 2}","{""building"": 2}","#hotosm-project-10147,#liga-zambia,#28for28,#missingmaps,#youthmappers,#lovemaps"
17,mjgk,2933595,3,5489,Democratic Republic of the Congo,5467,3,0,15,4,0,0,0,0,1,1,0,0,0,1,14,3,0,0,"{""waterway"": 14, ""ford"": 1, ""layer"": 1, ""tunnel"": 1}","{""waterway"": 3, ""ford"": 1, ""ID"": 1, ""highway"": 1}","#hotosm-project-14178,#HydroRDC"
18,DiahW IRM-ED,7561020,5,5090,Indonesia,2077,2251,190,367,193,12,0,0,0,0,0,367,191,0,2,0,0,1,1,"{""building"": 367, ""amenity"": 1, ""religion"": 1}","{""building"": 191, ""access:roof"": 2, ""addr:full"": 2, ""building:levels"": 2, ""building:roof"": 2, ""building:structure"": 2, ""building:walls"": 2, ""name"": 2, ""highway"": 2, ""amenity"": 1, ""capacity:persons"": 1, ""operator:type"": 1, ""rooms"": 1, ""school:type_idn"": 1}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID,#hotosm-project-13822,#gempacianjur,#disasterresponse,#cianjur"
19,Haris IRM-ED,12027858,5,5081,Indonesia,3444,695,81,659,180,21,1,0,0,0,2,641,169,16,11,0,0,0,0,"{""building"": 641, ""highway"": 16, ""natural"": 1, ""floating"": 1, ""layer"": 1, ""type"": 1}","{""building"": 169, ""highway"": 11, ""noexit"": 2, ""import"": 2, ""source"": 2, ""lanes"": 1, ""motorcycle"": 1, ""oneway"": 1}","#hotosm-project-13822,#gempacianjur,#disasterresponse,#POI,#cianjur,#hotosm-project-13478,#padangcity,#GLAMMapping,#WMID"
20,onesimusGGA,13063544,3,4943,"Nigeria,Indonesia",4016,112,0,810,5,0,0,0,0,0,0,810,1,0,4,0,0,0,0,"{""building"": 810}","{""highway"": 4, ""building"": 1}","#hotosm-project-13808,#osmzimbabwe,#africanwomeningis,#anambra,#gisday,#youthmappersfuta,#hotosm-project-13822,#gempacianjur,#disasterresponse,#POI,#cianjur"
21,Lalit_IAAS,11589667,15,4806,"Nepal,Namibia",2788,931,420,548,57,62,0,0,0,0,0,539,43,9,5,0,4,0,1,"{""building"": 539, ""highway"": 9, ""bridge"": 1, ""layer"": 1, ""route"": 1, ""noname"": 1}","{""building"": 43, ""highway"": 5, ""name"": 5, ""landuse"": 5, ""waterway"": 4, ""source"": 3, ""ref"": 1, ""surface"": 1, ""amenity"": 1, ""contact:phone"": 1, ""route"": 1, ""layer"": 1}","#hotosm-project-14074,#Kakani,#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#gesan,#missingmaps,#AgrimappersPaklihawa,#hotosm-project-14159,#Nepal"
22,Fauzan IRM-ED,8954099,4,4795,Indonesia,3633,225,9,906,18,4,0,0,0,0,0,899,2,7,16,0,0,0,0,"{""building"": 899, ""highway"": 7}","{""highway"": 16, ""building"": 2}","#hotosm-project-13478,#padangcity,#GLAMMapping,#POI,#WMID"
23,Palan Lee,15229898,20,4733,Chad,4217,82,45,375,4,10,0,0,0,0,0,374,4,0,0,0,0,0,0,"{""building"": 374, ""landuse"": 1}","{""building"": 4}","#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps,#msfk,#msfk23"
24,Binnette,918586,20,4694,Mali,3088,1016,7,545,38,0,0,0,0,1,1,502,5,43,23,0,0,0,0,"{""building"": 502, ""highway"": 43, ""fixme"": 1, ""man_made"": 1, ""tower:type"": 1}","{""highway"": 23, ""surface"": 14, ""landuse"": 10, ""building"": 5, ""source"": 4, ""natural"": 1}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
25,osmtogo_mapper4,17967261,22,4575,Togo,1847,1719,407,354,200,48,0,0,0,0,2,351,146,3,49,0,0,0,0,"{""building"": 351, ""highway"": 3}","{""source"": 199, ""building"": 146, ""highway"": 49, ""surface"": 24, ""barrier"": 5, ""crossing"": 2, ""crossing:barrier"": 2, ""railway"": 2, ""tracktype"": 2}","#hotosm-project-13840,#wnahub,#sustainableCitiesAndCommunities,#OSMTogo,#MiaTouTogo,#Map4Togo"
26,PlayzinhoAgro,10460642,42,4485,Brazil,569,781,1173,124,1698,115,1,13,11,130,20,18,1575,166,67,2,2,3,2,"{""highway"": 166, ""crossing"": 77, ""footway"": 77, ""natural"": 42, ""building"": 18, ""building:levels"": 16, ""height"": 16, ""service"": 14, ""name"": 11, ""addr:city"": 8, ""addr:postcode"": 8, ""addr:street"": 8, ""noexit"": 7, ""addr:housenumber"": 7, ""addr:suburb"": 7, ""leisure"": 6, ""oneway"": 5, ""traffic_calming"": 3, ""shop"": 3, ""amenity"": 3, ""layer"": 3, ""tunnel"": 3, ""attraction"": 2, ""waterway"": 2, ""barrier"": 1, ""man_made"": 1, ""dispensing"": 1, ""healthcare"": 1, ""religion"": 1, ""alt_name"": 1, ""operator"": 1, ""phone"": 1, ""source"": 1, ""landuse"": 1, ""type"": 1}","{""building:levels"": 1632, ""height"": 1632, ""building"": 1575, ""addr:city"": 947, ""addr:housenumber"": 947, ""addr:postcode"": 947, ""addr:street"": 947, ""addr:suburb"": 947, ""pmfsefin:idedif"": 616, ""highway"": 67, ""building:part"": 60, ""name"": 58, ""alt_name"": 29, ""noexit"": 16, ""type"": 14, ""service"": 9, ""surface"": 8, ""cycleway:left"": 6, ""crossing"": 5, ""lanes"": 4, ""landuse"": 4, ""layer"": 4, ""footway"": 3, ""oneway"": 3, ""addr:unit"": 3, ""waterway"": 2, ""amenity"": 2, ""religion"": 2, ""communication:mobile_phone"": 1, ""man_made"": 1, ""tower:type"": 1, ""note"": 1, ""ford"": 1, ""brand"": 1, ""brand:wikidata"": 1, ""brand:wikipedia"": 1, ""shop"": 1, ""boundary"": 1, ""operator"": 1, ""protect_class"": 1, ""protection_title"": 1, ""related_law"": 1, ""office"": 1, ""denomination"": 1, ""destination"": 1}","#hotosm-project-13995,#ImportPMFBuilding"
27,Libor Bednarik,4355439,5,4420,Chad,1227,793,1612,238,111,439,0,0,0,0,0,238,105,0,4,0,0,0,0,"{""building"": 238}","{""building"": 105, ""highway"": 4, ""landuse"": 2, ""seasonal"": 1, ""surface"": 1}","#hotosm-project-10468,#Silaregion,#Chad,#MSF,#MissingMaps"
28,Julien-EA,18389716,30,4367,Mali,3822,15,1,525,4,0,0,0,0,0,0,525,4,0,0,0,0,0,0,"{""building"": 525}","{""building"": 4}","#hotosm-project-13816,#CartONG,#MissingMaps,#Arcade,#DEMBELA,#Mali"
29,tmerc58,10275948,3,4305,Kenya,2292,1423,140,277,140,33,0,0,0,3,2,233,106,43,31,1,1,0,0,"{""building"": 233, ""highway"": 43, ""service"": 11, ""ford"": 2, ""railway"": 1, ""bridge"": 1, ""layer"": 1, ""waterway"": 1}","{""building"": 106, ""highway"": 31, ""railway"": 3, ""source"": 3, ""gauge"": 2, ""ford"": 1, ""AUTO_ID"": 1, ""bridge"": 1, ""layer"": 1, ""service"": 1, ""waterway"": 1}","#hotosm-project-12614,#Naxa,#RemoteMappingKenya,#YouthMappers,#dmd,#OSMNepal,#WBR,#NFL,#EPFL,#GESAN"
30,osmtogo_mapper1,17758689,54,4272,Togo,1759,1546,365,356,217,29,0,0,0,0,0,324,156,32,57,0,0,0,0,"{""building"": 324, ""highway"": 32, ""source"": 3, ""surface"": 2}","{""building"": 156, ""source"": 115, ""highway"": 57, ""surface"": 22, ""barrier"": 4, ""ruins"": 2}","#hotosm-project-13840,#wnahub,#sustainableCitiesAndCommunities,#OSMTogo,#MiaTouTogo,#Map4Togo"
31,Awania Morish,9379491,5,4145,Uganda,3240,245,1,655,4,0,0,0,0,0,1,652,2,3,2,0,0,0,0,"{""building"": 652, ""source"": 370, ""highway"": 3, ""access"": 1, ""addr:country"": 1, ""addr:district"": 1, ""addr:parish"": 1, ""addr:street"": 1, ""addr:village"": 1, ""certifications"": 1, ""contact:phone"": 1, ""loading_dock"": 1, ""name"": 1, ""opening_hours"": 1, ""operational_status"": 1, ""operator"": 1, ""product"": 1, ""shop"": 1, ""start_date"": 1, ""wheelchair"": 1}","{""source"": 3, ""highway"": 2, ""building"": 2, ""access"": 1, ""addr:country"": 1, ""addr:district"": 1, ""addr:parish"": 1, ""addr:street"": 1, ""addr:village"": 1, ""contact:phone"": 1, ""loading_dock"": 1, ""name"": 1, ""opening_hours"": 1, ""operational_status"": 1, ""operator"": 1, ""product"": 1, ""shop"": 1, ""start_date"": 1, ""wheelchair"": 1}","#hotosm-project-14196,#mapuganda,#missingmaps,#staffvolunteering,#MapwithAI"
