rank,name,profile,uid,changesets,map_changes,countries,editors,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,harahu_import,https://www.openstreetmap.org/user/harahu_import,14343746,116,1140445,Norway,JOSM/1.5 (18700 en),1028960,60864,19880,24513,2038,200,3943,42,5,1090,0,0.0,0.0,0.0,0.0,4267.0,434.0,0.0,0.0,"{""natural"": 11316, ""wetland"": 4792, ""waterway"": 4267, ""type"": 3943, ""ele"": 3082, ""seamark:type"": 921, ""name"": 865, ""ssr:stedsnr"": 853, ""ref:nve:vann"": 799, ""place"": 783, ""landuse"": 689, ""SSR_TYPE"": 161, ""OSM_water"": 126, ""alt_name"": 117, ""man_made"": 96, ""FIXME"": 90, ""water"": 55, ""ALT_NAME"": 36, ""leisure"": 31, ""name:se"": 29, ""name:no"": 27, ""OSM_name"": 26, ""sport"": 22, ""OSM_natural"": 15, ""old_name:se"": 13, ""wikidata"": 13, ""fixme"": 11, ""OSM_ele"": 11, ""alt_name:no"": 8, ""OSM_alt_name"": 8, ""old_name"": 6, ""ref:nve:magasin"": 6, ""ele:min"": 5, ""loc_name"": 3, ""OSM_leaf_type"": 3, ""OSM_religion"": 2, ""piste:type"": 2, ""area"": 1, ""old_name:no"": 1, ""wikipedia"": 1, ""OSM_residential"": 1, ""OSM_wetland"": 1, ""OSM_tidal"": 1, ""loc_name:no"": 1, ""OSM_contact:facebook"": 1}","{""natural"": 1255, ""waterway"": 434, ""ele"": 304, ""place"": 276, ""name"": 220, ""ssr:stedsnr"": 210, ""ref:nve:vann"": 182, ""OSM_water"": 97, ""OSM_name"": 81, ""OSM_waterway"": 70, ""type"": 42, ""alt_name"": 34, ""OSM_layer"": 30, ""man_made"": 23, ""landuse"": 18, ""name:se"": 14, ""name:no"": 12, ""water"": 8, ""ALT_NAME"": 8, ""FIXME"": 8, ""OSM_religion"": 7, ""wetland"": 7, ""wikidata"": 7, ""OSM_width"": 6, ""OSM_note"": 3, ""OSM_FIXME"": 3, ""OSM_ele"": 3, ""old_name:se"": 3, ""old_name"": 2, ""ele:min"": 2, ""ref:nve:magasin"": 2, ""OSM_barrier"": 2, ""OSM_fixme"": 1, ""OSM_intermittent"": 1, ""OSM_amenity"": 1, ""OSM_wetland"": 1, ""OSM_name:se"": 1, ""OSM_fence_type"": 1, ""OSM_type"": 1, ""alt_name:no"": 1, ""OSM_boat"": 1, ""OSM_canoe"": 1, ""OSM_motorboat"": 1, ""OSM_ship"": 1, ""source"": 1, ""OSM_name:cs"": 1, ""OSM_name:ru"": 1, ""OSM_ref"": 1, ""wikipedia"": 1, ""bay"": 1, ""name:ca"": 1, ""name:fkv"": 1, ""OSM_alt_name"": 1, ""loc_name"": 1, ""website"": 1, ""boundary"": 1, ""leisure"": 1, ""naturbase:url"": 1, ""naturbase:verneform"": 1, ""naturbase:verneplan"": 1, ""operator"": 1, ""protect_class"": 1, ""ref:naturvern"": 1, ""related_law"": 1, ""short_name"": 1, ""start_date"": 1}",,2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
2,jmarchon,https://www.openstreetmap.org/user/jmarchon,9473778,33,216402,"United States of America,Canada","Rapid 2.0.2,iD 2.25.1,JOSM/1.5 (18700 en),Every Door Android 3.0",209614,85,19,6632,27,0,23,2,0,46,55,1028.0,4.0,8.0,13.0,5196.0,1.0,12.0,7.0,"{""source"": 6516, ""waterway"": 5196, ""building"": 1028, ""natural"": 292, ""name"": 152, ""type"": 23, ""water"": 16, ""amenity"": 12, ""power"": 12, ""shop"": 11, ""material"": 8, ""ref"": 8, ""highway"": 8, ""operator"": 5, ""oneway"": 4, ""brand"": 3, ""brand:wikidata"": 3, ""addr:city"": 3, ""addr:housenumber"": 3, ""addr:postcode"": 3, ""addr:state"": 3, ""addr:street"": 3, ""craft"": 3, ""phone"": 3, ""website"": 3, ""addr:unit"": 3, ""healthcare"": 3, ""cuisine"": 3, ""office"": 3, ""landuse"": 3, ""cycleway:right"": 2, ""lanes"": 2, ""maxspeed"": 2, ""sidewalk"": 2, ""residential"": 2, ""name:en"": 1, ""name:fr"": 1, ""alt_name"": 1, ""beauty"": 1, ""operator:short"": 1, ""operator:type"": 1, ""operator:wikidata"": 1, ""check_date"": 1, ""healthcare:speciality"": 1, ""service"": 1, ""source:maxspeed"": 1, ""footway"": 1}","{""operator"": 53, ""ref"": 50, ""power"": 49, ""material"": 48, ""name"": 21, ""highway"": 13, ""source"": 10, ""amenity"": 7, ""tiger:cfcc"": 7, ""tiger:county"": 7, ""tiger:name_base"": 7, ""tiger:name_type"": 7, ""sidewalk"": 6, ""oneway"": 6, ""brand"": 5, ""brand:wikidata"": 5, ""brand:wikipedia"": 5, ""lanes"": 5, ""shop"": 4, ""addr:city"": 4, ""addr:country"": 4, ""addr:housenumber"": 4, ""addr:postcode"": 4, ""addr:street"": 4, ""tiger:name_direction_prefix"": 4, ""building"": 4, ""landuse"": 4, ""maxspeed"": 4, ""cycleway:right"": 4, ""surface"": 3, ""sangis:OBJECTID"": 3, ""sangis:TYPE"": 3, ""service"": 3, ""natural"": 3, ""self_service"": 2, ""cuisine"": 2, ""addr:state"": 2, ""building_type"": 2, ""opening_hours"": 2, ""change:lanes"": 2, ""turn:lanes"": 2, ""cycleway:right:lane"": 2, ""from"": 2, ""network"": 2, ""network:wikidata"": 2, ""public_transport:version"": 2, ""route"": 2, ""to"": 2, ""type"": 2, ""via"": 2, ""addr:unit"": 1, ""fuel:octane_85"": 1, ""construction:leisure"": 1, ""sport"": 1, ""takeaway"": 1, ""check_date"": 1, ""website"": 1, ""fuel:diesel"": 1, ""layer"": 1, ""phone"": 1, ""smoking"": 1, ""wheelchair"": 1, ""ele"": 1, ""gnis:county_id"": 1, ""gnis:created"": 1, ""gnis:feature_id"": 1, ""gnis:state_id"": 1, ""source:maxspeed"": 1, ""lit"": 1, ""waterway"": 1, ""payment:diners_club"": 1, ""payment:discover_card"": 1, ""payment:mastercard"": 1, ""payment:visa"": 1, ""network:wikipedia"": 1}",,2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
3,_jcaruso,https://www.openstreetmap.org/user/_jcaruso,8148904,12,26098,United States of America,Rapid 2.0.2,21856,55,288,3832,55,12,0,0,0,0,16,3779.0,0.0,47.0,69.0,6.0,2.0,0.0,0.0,"{""building"": 3779, ""source"": 3768, ""highway"": 47, ""service"": 47, ""attribution"": 6, ""layer"": 6, ""name"": 6, ""nhd-shp:com_id"": 6, ""nhd-shp:fcode"": 6, ""nhd-shp:fdate"": 6, ""waterway"": 6, ""oneway"": 3, ""tunnel"": 3}","{""highway"": 69, ""service"": 25, ""name"": 24, ""tiger:cfcc"": 21, ""tiger:county"": 21, ""tiger:reviewed"": 21, ""tiger:name_base"": 20, ""tiger:name_type"": 20, ""maxspeed"": 19, ""tiger:zip_left"": 17, ""tiger:zip_right"": 16, ""tiger:name_base_1"": 7, ""tiger:name_direction_suffix"": 6, ""oneway"": 6, ""name_1"": 5, ""source"": 4, ""access"": 4, ""attribution"": 2, ""layer"": 2, ""nhd-shp:com_id"": 2, ""nhd-shp:fcode"": 2, ""nhd-shp:fdate"": 2, ""waterway"": 2, ""ref"": 2, ""tunnel"": 1}",,2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
4,foxrobs,https://www.openstreetmap.org/user/foxrobs,1484502,17,23974,"Democratic Republic of the Congo,Zimbabwe",JOSM/1.5 (18678 de),20522,533,188,2705,23,3,0,0,0,0,0,2686.0,4.0,17.0,7.0,0.0,0.0,0.0,0.0,"{""building"": 2686, ""highway"": 17, ""natural"": 1, ""landuse"": 1}","{""landuse"": 12, ""highway"": 7, ""building"": 4, ""surface"": 1}","#hotosm-project-14463,#msf,#missingmaps,#masisi23,#msf_ocp,#hotosm-project-14465,#osm_zimbabwe,#youthmappers_zwe,#caritas_zwe,#anticipatory,#muzarabani",2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
5,Lanzhou University,https://www.openstreetmap.org/user/Lanzhou%20University,14496019,24,23858,"China,Arunachal Pradesh",iD 2.25.1,19911,1027,917,1909,77,14,0,3,0,86,0,1369.0,2.0,87.0,67.0,0.0,0.0,86.0,0.0,"{""building"": 1369, ""landuse"": 453, ""highway"": 87, ""amenity"": 86}","{""highway"": 67, ""ref"": 20, ""name"": 11, ""name:en"": 7, ""cables"": 5, ""frequency"": 5, ""power"": 5, ""voltage"": 5, ""source"": 4, ""surface"": 4, ""bridge"": 4, ""lanes"": 3, ""name:zh_pinyin"": 3, ""layer"": 3, ""landuse"": 3, ""network"": 3, ""route"": 3, ""type"": 3, ""building"": 2, ""name:zh"": 2}",#ztg,2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
6,ottwiz,https://www.openstreetmap.org/user/ottwiz,3087157,14,23509,United States of America,JOSM/1.5 (18700 en),23035,35,32,326,52,2,18,9,0,1,1,0.0,0.0,0.0,2.0,54.0,24.0,1.0,0.0,"{""natural"": 219, ""waterway"": 54, ""intermittent"": 23, ""type"": 18, ""landuse"": 5, ""amenity"": 1, ""leisure"": 1, ""sport"": 1}","{""waterway"": 24, ""intermittent"": 17, ""natural"": 15, ""type"": 9, ""highway"": 2, ""tiger:cfcc"": 2, ""tiger:county"": 2, ""tiger:reviewed"": 2, ""name"": 2, ""addr:city"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:state"": 1, ""addr:street"": 1, ""nysgissam:nysaddresspointid"": 1, ""ele"": 1, ""gnis:county_id"": 1, ""gnis:created"": 1, ""gnis:feature_id"": 1, ""gnis:state_id"": 1, ""water"": 1}","#osmus-tm-project-370,#osmus-tasks-306",2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
7,Fidelis Assis,https://www.openstreetmap.org/user/Fidelis%20Assis,1675654,8,23386,Brazil,JOSM/1.5 (18700 pt_BR),20746,1263,1056,32,144,10,0,134,1,14,672,0.0,0.0,0.0,9.0,4.0,22.0,0.0,0.0,"{""source"": 44, ""name"": 5, ""waterway"": 4, ""alt_name"": 1, ""source:name"": 1}","{""source"": 921, ""name"": 164, ""type"": 134, ""boundary"": 132, ""IBGE:GEOCODIGO"": 130, ""admin_level"": 130, ""wikidata"": 62, ""wikipedia"": 57, ""border_type"": 54, ""population"": 50, ""waterway"": 22, ""highway"": 9, ""website"": 7, ""surface"": 7, ""ref"": 7, ""intermittent"": 6, ""name:ru"": 6, ""place"": 5, ""alt_name"": 5, ""name:eo"": 5, ""flag"": 5, ""name:ka"": 5, ""name:lt"": 5, ""name:pt"": 5, ""name:zh"": 5, ""is_in:country"": 4, ""IBGE:CD_ADMINIS"": 4, ""lanes"": 4, ""oneway"": 4, ""name:ar"": 4, ""name:be"": 4, ""name:bg"": 4, ""name:fa"": 4, ""name:he"": 4, ""name:hy"": 4, ""name:ja"": 4, ""name:ko"": 4, ""name:lv"": 4, ""name:mk"": 4, ""name:sr"": 4, ""name:tg"": 4, ""name:th"": 4, ""name:uk"": 4, ""source:name"": 3, ""landuse"": 3, ""ISO3166-2"": 3, ""name:de"": 3, ""name:en"": 3, ""name:hi"": 3, ""name:la"": 3, ""name:mr"": 3, ""name:os"": 3, ""name:pl"": 3, ""name:uz"": 3, ""short_name"": 3, ""is_in:state"": 2, ""is_in:state_code"": 2, ""description"": 2, ""historic"": 2, ""name:fr"": 2, ""timezone"": 2, ""name:kk"": 2, ""is_in:region"": 1, ""fixme"": 1, ""loc_name"": 1, ""int_name"": 1, ""name:ml"": 1, ""name:se"": 1, ""state_capital"": 1, ""crop"": 1, ""produce"": 1}",,2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
8,gscholz,https://www.openstreetmap.org/user/gscholz,109705,56,22018,"Canada,Spain,Paraguay,United Republic of Tanzania,Namibia,China,India,Iran (Islamic Republic of),Iraq,South Africa,Equatorial Guinea,Oman,Peru,Uganda,Serbia,Bolivia,Turkey,Malawi,Cameroon,Ethiopia,France,Rwanda,Nigeria,Zambia,Nepal,Italy,Guinea,Sudan,Kenya","JOSM/1.5 (18700 de),reverter_plugin/36043;JOSM/1.5 (18700 de)",23,450,19879,15,250,1390,1,3,7,0,1,0.0,191.0,11.0,35.0,0.0,3.0,0.0,0.0,"{""highway"": 11, ""natural"": 2, ""source"": 2, ""surface"": 2, ""type"": 1}","{""building"": 191, ""highway"": 35, ""name"": 14, ""source"": 13, ""natural"": 7, ""surface"": 7, ""landuse"": 6, ""oneway"": 3, ""waterway"": 3, ""leisure"": 3, ""type"": 3, ""lanes"": 2, ""lit"": 2, ""maxspeed"": 2, ""name:source"": 2, ""name:statcan_rbuid"": 2, ""shoulder"": 2, ""sidewalk"": 2, ""addr:city"": 2, ""addr:street"": 2, ""building:levels"": 2, ""water"": 2, ""motorroad"": 1, ""source:date"": 1, ""tracktype"": 1, ""admin_level"": 1, ""boundary"": 1, ""foot"": 1, ""flats"": 1, ""addr:housenumber"": 1, ""area"": 1, ""residential"": 1, ""tourism"": 1, ""trees"": 1, ""description"": 1, ""intermittent"": 1, ""maxspeed:type"": 1, ""barrier"": 1, ""building:part"": 1}",,2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
9,didier2020,https://www.openstreetmap.org/user/didier2020,300459,77,21149,"United Republic of Tanzania,China","JOSM/1.5 (18700 fr),osmapi/1.3.0",0,319,16184,0,1101,3523,0,3,19,0,319,0.0,1088.0,0.0,0.0,0.0,0.0,0.0,489.0,{},"{""addr:district"": 1406, ""addr:subward"": 1405, ""addr:ward"": 1405, ""isced:level"": 1405, ""operator:type"": 1405, ""addr:city"": 1402, ""source"": 1402, ""building"": 1088, ""amenity"": 489, ""name"": 341, ""name:sw"": 324, ""name:en"": 323, ""addr:region"": 28, ""addr:street"": 28, ""building:levels"": 28, ""building:material"": 28, ""addr:municipality"": 25, ""landuse"": 17, ""type"": 3}",,2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
10,若言1,https://www.openstreetmap.org/user/%E8%8B%A5%E8%A8%801,18816691,15,20613,Kazakhstan,iD 2.25.1,12636,4317,780,2511,203,166,0,0,0,9,25,2441.0,152.0,55.0,39.0,0.0,0.0,9.0,3.0,"{""building"": 2441, ""highway"": 55, ""landuse"": 15, ""amenity"": 9}","{""building"": 152, ""addr:housenumber"": 66, ""addr:street"": 66, ""highway"": 39, ""entrance"": 19, ""name"": 16, ""landuse"": 8, ""barrier"": 7, ""ref"": 6, ""surface"": 6, ""building:levels"": 6, ""addr:postcode"": 6, ""shop"": 5, ""old_name"": 5, ""name:ru"": 4, ""amenity"": 3, ""bicycle"": 2, ""foot"": 2, ""resource"": 2, ""old_ref"": 2, ""dispensing"": 1, ""motorcar"": 1, ""addr:country"": 1, ""addr:district"": 1, ""addr:region"": 1, ""addr:subdistrict"": 1, ""description"": 1, ""place"": 1, ""population"": 1, ""name:kk"": 1, ""disused"": 1, ""fixme"": 1, ""bridge"": 1, ""layer"": 1, ""healthcare"": 1, ""cables"": 1, ""power"": 1, ""voltage"": 1}",#ztg,2023-04-23 00:00:00+00:00,2023-04-24 00:00:00+00:00
