rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
1,SherbetS_Import,16682294,273,2699862,2580936,0,0,110473,0,0,8453,0,0,0,0,0,0,0,0,0,0,0,45,0,0,39586,0,0,68560,0,0
2,Moreorless,289224,253,1021893,979525,26788,0,13261,1321,0,805,193,0,81,3,0,345,157,0,2965,197,0,1,0,0,37,1,0,7353,387,0
3,WilliamEdwardsGIS,17198845,128,747146,598390,50410,0,98192,148,0,6,0,0,97963,45,0,123,76,0,8,0,0,28,22,0,18,8,0,24,0,0
4,Reitstoen_import,3296383,90,705472,623136,57689,0,18609,3328,0,2679,31,0,1,5,0,1,4,0,3938,434,0,0,0,0,349,16,0,8912,2411,0
5,_jcaruso,8148904,1809,538397,448362,15399,0,71741,2859,0,10,26,0,70417,55,0,1074,2052,0,99,45,0,48,6,0,0,16,0,78,12,0
6,jmarchon,9473778,344,474594,395760,15910,0,35737,26912,0,113,162,0,32692,24701,0,221,918,0,15,16,0,936,612,0,290,139,0,779,141,0
7,ZeLonewolf,219297,297,454637,17997,396270,0,241,39749,0,209,171,0,1,439,0,53,1664,0,10,147,0,36,35,0,8,5,0,71,953,0
8,Semafekai_imports,17365847,36,354389,320832,20,0,33536,1,0,0,0,0,33536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,user_11932834,11932834,54,339205,199159,80276,0,41651,18086,0,12,21,0,42254,8,0,6,130,0,0,1,0,48,135,0,9,392,0,3,76,0
10,ottwiz,3087157,127,320691,288173,27901,0,3642,740,0,139,96,0,0,0,0,17,23,0,6,5,0,5,2,0,50,16,0,2907,163,0
11,SvM,130270,169,313629,266809,27377,0,16857,2251,0,201,134,0,9266,159,0,1330,1090,0,559,178,0,20,10,0,484,206,0,4872,371,0
12,b-unicycling,1713634,3980,286598,175275,69959,0,33070,7872,0,60,362,0,24615,945,0,3055,1693,0,191,105,0,168,121,0,297,193,0,487,679,0
13,JJIglesias,2285494,265,280131,260907,11235,0,4265,3675,0,8,41,0,189,54,0,1273,2218,0,1871,492,0,12,46,0,134,65,0,788,462,0
14,duckman56,14864469,926,277895,226603,13649,0,35477,2065,0,24,77,0,34601,138,0,1122,1920,0,0,2,0,62,237,0,24,7,0,79,6,0
15,morago,11113946,329,271182,209205,53010,0,5675,3285,0,0,7,0,19,21,0,5581,2904,0,13,42,0,198,33,0,27,24,0,723,338,0
16,TheConductor,9489453,96,268065,205670,59724,0,1640,999,0,13,19,0,320,13,0,399,259,0,113,46,0,25,18,0,81,25,0,374,152,0
17,ff5722,3450290,217,240752,216378,9036,0,9231,5874,0,132,101,0,975,4,0,5677,5825,0,145,66,0,132,0,0,757,25,0,633,27,0
18,JuanMelo,12906384,1375,231718,189324,9471,0,28700,3787,0,150,286,0,27400,523,0,2670,3154,0,0,4,0,49,309,0,11,28,0,1,10,0
19,DelawareWaterGap,10653308,623,230145,49672,164922,0,5343,10205,0,0,3,0,5343,9954,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
20,relops,12693833,2328,221984,150642,44636,0,17490,9186,0,9,21,0,3504,1505,0,2342,1694,0,3521,691,0,126,20,0,2763,3033,0,7706,281,0
21,Aarogya Pandey,11807790,897,219252,17521,194288,0,3434,3968,0,18,23,0,3415,2090,0,24,248,0,3,6,0,0,0,0,0,15,0,4,16,0
22,UztaxiSamarkand,17925720,111,217005,108771,77455,0,16779,13989,0,0,11,0,1385,7100,0,0,250,0,0,0,0,0,25,0,0,13,0,0,3,0
23,wireguy,9564652,422,214566,161618,29045,0,21722,2123,0,3,55,0,20874,1663,0,50,79,0,0,1,0,7,20,0,5,12,0,10,13,0
24,UNGSC-cronoser,11912542,55,210056,201467,5063,0,2001,881,0,445,199,0,1,2,0,273,161,0,215,197,0,7,0,0,74,30,0,559,156,0
25,Omnific,1408522,351,208643,130605,49306,0,21590,7059,0,22,61,0,20223,2237,0,1289,3146,0,11,8,0,148,195,0,92,56,0,7,33,0
26,vraskavec,11864032,67,203740,200915,1080,0,1298,444,0,0,3,0,100,59,0,13,260,0,51,51,0,0,1,0,22,2,0,1075,25,0
27,Dinsh,10923610,121,200515,150803,12987,0,35922,800,0,2,1,0,35444,43,0,430,625,0,38,33,0,1,19,0,0,7,0,6,11,0
