rank,name,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags
1,seichter,66497,9,6443,Nepal,4232,1667,0,408,134,0,1,1,0,5,6,292,8,76,81,23,27,0,0,"{""building"": 292, ""highway"": 76, ""surface"": 24, ""waterway"": 23, ""layer"": 12, ""landuse"": 11, ""usage"": 10, ""natural"": 9, ""tunnel"": 9, ""name"": 7, ""intermittent"": 7, ""ele"": 3, ""bridge"": 2, ""place"": 1, ""FIXME"": 1, ""construction"": 1, ""source"": 1, ""ford"": 1, ""ref"": 1, ""bridge:structure"": 1, ""type"": 1}","{""highway"": 81, ""waterway"": 27, ""surface"": 22, ""name"": 18, ""landuse"": 12, ""intermittent"": 9, ""building"": 8, ""ref"": 5, ""ford"": 4, ""natural"": 4, ""layer"": 4, ""source"": 4, ""bridge"": 3, ""name:en"": 2, ""ref:old"": 2, ""int_name"": 2, ""bridge:structure"": 2, ""website"": 2, ""place"": 1, ""addr:street"": 1, ""tourism"": 1, ""alt_name"": 1, ""alt_name:hi"": 1, ""alt_name_2"": 1, ""boat"": 1, ""name:hi"": 1, ""name:ne"": 1, ""wikipedia"": 1, ""wood"": 1, ""source:geometry"": 1, ""addr:city"": 1, ""office"": 1, ""noname"": 1, ""email"": 1, ""man_made"": 1, ""tunnel"": 1, ""usage"": 1, ""route"": 1, ""type"": 1}",
2,Nirmala Rawat,16471699,2,2288,Nepal,1956,0,0,325,7,0,0,0,0,0,0,314,0,0,7,0,0,0,0,"{""building"": 314}","{""highway"": 7, ""surface"": 6, ""ref"": 1}","#geoneer,#janashram"
3,Govinda Yadav,13252552,5,1408,Nepal,1117,6,0,279,6,0,0,0,0,0,0,279,3,0,0,0,0,0,0,"{""building"": 279, ""layer"": 1}","{""building"": 3, ""landuse"": 3, ""layer"": 1}","#hotosm-project-12950,#MissingMaps,#Nepal,#NRCS,#redcross,#ENCORE"
4,Vivek Dumre,13116824,9,1190,Nepal,245,813,0,115,17,0,0,0,0,0,0,111,10,4,7,0,0,0,0,"{""building"": 111, ""highway"": 4, ""surface"": 1}","{""building"": 10, ""highway"": 7, ""surface"": 5}","#hotosm-project-13991,#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps"
5,Heinz_V,91490,8,1171,Nepal,1110,24,0,9,27,0,0,1,0,116,13,0,0,6,9,3,17,0,0,"{""name"": 119, ""place"": 116, ""highway"": 6, ""waterway"": 3, ""ref"": 1}","{""name"": 30, ""waterway"": 17, ""place"": 14, ""highway"": 9, ""ref"": 7, ""ref:old"": 1, ""landuse"": 1, ""surface"": 1, ""Chalnaban Khola"": 1, ""source"": 1, ""network"": 1, ""route"": 1, ""type"": 1}",
6,Lalit_IAAS,11589667,9,1138,Nepal,733,288,0,82,35,0,0,0,0,0,0,74,12,8,19,0,3,0,0,"{""building"": 74, ""highway"": 8, ""noname"": 2}","{""highway"": 19, ""building"": 12, ""source"": 5, ""waterway"": 3, ""natural"": 1, ""noname"": 1}","#hotosm-project-14074,#Kakani,#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#gesan,#missingmaps,#AgrimappersPaklihawa"
7,Sal73x,1293386,5,736,Nepal,484,149,0,74,29,0,0,0,0,0,2,3,5,28,15,0,0,4,1,"{""highway"": 28, ""aeroway"": 27, ""service"": 13, ""ref"": 11, ""landuse"": 6, ""barrier"": 6, ""access"": 5, ""oneway"": 4, ""amenity"": 4, ""building"": 3, ""source"": 2, ""bridge"": 2, ""layer"": 2, ""smoothness"": 1, ""surface"": 1, ""man_made"": 1, ""tower:type"": 1, ""name"": 1}","{""highway"": 15, ""surface"": 6, ""aeroway"": 6, ""source"": 5, ""building"": 5, ""landuse"": 5, ""name"": 4, ""name:ne"": 4, ""oneway"": 3, ""barrier"": 2, ""ref"": 2, ""bridge:support"": 1, ""ref:old"": 1, ""addr:city"": 1, ""addr:place"": 1, ""addr:postcode"": 1, ""construction:aeroway"": 1, ""name:zh"": 1, ""phone"": 1, ""wikipedia"": 1, ""amenity"": 1, ""proposed:aeroway"": 1, ""smoothness"": 1, ""maxspeed"": 1}",
8,Narayan Thapa,11295416,3,667,Nepal,361,245,0,46,14,0,1,0,0,0,0,34,7,0,3,0,1,0,0,"{""building"": 34, ""natural"": 12, ""water"": 2, ""landuse"": 1, ""type"": 1}","{""building"": 7, ""highway"": 3, ""landuse"": 2, ""waterway"": 1}","#hotosm-project-14193,#Rautahat2023,#Digitalmapping,#YI-Lab,#EU,#MercyCorp"
9,KMR2,18226429,18,509,Nepal,410,16,0,72,11,0,0,0,0,0,0,51,2,12,4,0,0,0,0,"{""building"": 51, ""highway"": 12, ""landuse"": 7, ""natural"": 2}","{""highway"": 4, ""landuse"": 4, ""building"": 2, ""access"": 1, ""lit"": 1, ""smoothness"": 1, ""source"": 1, ""surface"": 1, ""tracktype"": 1, ""natural"": 1, ""layer"": 1}","#hotosm-project-13168,#KLL,#MapGive,#mappingtheunmapped,#mapforcause,#osmnepal"
10,Gaurav Parajuli,8316170,1,391,Nepal,296,21,0,73,0,0,1,0,0,0,0,72,0,0,0,0,0,0,0,"{""building"": 72, ""type"": 1}",{},"#hotosm-project-14015,#MappingRuralNepal,#bijaynagar,#OSMNepal,#YouthMappers,#OMHAP,#missingmaps,#digitalnepal,#mapbuds,#gaurav,#gesan"
11,nuscie283,10553962,2,382,Nepal,315,15,0,51,1,0,0,0,0,0,0,46,0,5,1,0,0,0,0,"{""building"": 46, ""highway"": 5}","{""highway"": 1, ""ref"": 1, ""ref:old"": 1}","#hotosm-project-13168,#KLL,#MapGive,#mappingtheunmapped,#mapforcause,#osmnepal"
12,the_ordinary_pelican,11801513,1,277,Nepal,263,0,0,12,2,0,0,0,0,3,0,2,0,4,2,0,0,0,0,"{""landuse"": 5, ""natural"": 4, ""highway"": 4, ""building"": 2, ""service"": 1, ""surface"": 1}","{""highway"": 2}","#hotosm-project-8942,#KLL,#covid_19,#mappingtheunmapped,#mapforcause,#osmnepal,#covid19-nepal"
13,Ashim Paudel,16378761,1,168,Nepal,82,76,0,7,3,0,0,0,0,0,0,6,3,1,0,0,0,0,0,"{""building"": 6, ""highway"": 1}","{""building"": 3}","#hotosm-project-13991,#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps"
14,Dibikshya Shrestha,16060450,1,114,Nepal,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},"#hotosm-project-14015,#MappingRuralNepal,#bijaynagar,#OSMNepal,#YouthMappers,#OMHAP,#missingmaps,#digitalnepal,#mapbuds,#gesan,#geoneer,#youthmappers"
15,Laxmi oli,16471697,1,98,Nepal,78,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,"{""building"": 20}",{},"#geoneer,#janashram"
16,Pragya Pant,10967140,2,94,Nepal,14,76,0,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,"{""building"": 3}","{""building"": 1}","#hotosm-project-14192,#Rautahat2023,#Digitalmapping,#YI-Lab,#EU,#MercyCorp"
17,Prabin KC,16481719,1,85,Nepal,75,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"{""highway"": 2}",{},"#geoneer,#janashram"
18,Lav Gurung,17993561,1,79,Nepal,63,0,0,15,1,0,0,0,0,0,0,15,0,0,1,0,0,0,0,"{""building"": 15}","{""highway"": 1, ""name"": 1, ""name:ne"": 1, ""ref"": 1, ""source"": 1}","#gesan,#youthmappers,#youthmappersnepal"
19,Kiran215,2254599,7,48,Nepal,27,3,0,9,9,0,0,0,0,0,0,0,0,9,9,0,0,0,0,"{""highway"": 9}","{""highway"": 9, ""name"": 5, ""galli"": 1, ""layer"": 1}",
20,Mukesh Thapa,11674386,1,26,,16,5,0,4,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,"{""building"": 4}","{""highway"": 1, ""source"": 1}",
21,samrat02,13255920,7,12,Nepal,11,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,"{""natural"": 6}","{""waterway"": 1}","#hotosm-project-11694,#osmnepal,#hot,#omh_ap,#booster_grant_nepal_2021,#manang"
22,ratrun,474183,2,11,Nepal,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,{},"{""highway"": 2}",
23,ChillyDL,10627331,1,5,,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,{},"{""archaeological_site"": 5, ""historic"": 5, ""site_type"": 5, ""name"": 4, ""natural"": 1, ""tourism"": 1, ""fixme"": 1}",
24,Ayush2022,17107374,1,5,Nepal,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{""building"": 1}",{},
25,Kristjan ESPERANTO,77904,1,1,Nepal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,{},"{""addr:housenumber"": 1, ""addr:street"": 1, ""amenity"": 1, ""contact:facebook"": 1, ""diet:vegetarian"": 1, ""name"": 1, ""name:ne"": 1, ""phone"": 1}",
26,Nirab Pudasaini,826065,1,1,Nepal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"{""amenity"": 1, ""name:en"": 1}",{},
27,Prg05,18402751,1,1,Nepal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""name"": 1, ""name:en"": 1, ""office"": 1}",{},
28,Mudbhary,16820034,1,1,Nepal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"{""amenity"": 1}",{},
29,Anil Basnet,3686666,1,1,Nepal,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,{},"{""access"": 1, ""amenity"": 1, ""building"": 1, ""fee"": 1, ""male"": 1, ""toilets:disposal"": 1, ""wheelchair"": 1}",
