rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
1,marek kleciak,338611,253,108796,102981,3119,0,2160,532,0,2,2,0,474,38,0,52,125,0,0,6,0,0,6,0,479,91,0,1036,236,0
2,Lalit_IAAS,11589667,461,73577,50376,13957,0,8518,712,0,2,12,0,8311,409,0,184,259,0,7,14,0,0,31,0,2,21,0,10,4,0
3,PraKH,11491881,94,36662,10231,22769,0,3189,464,0,1,8,0,3155,14,0,15,219,0,5,89,0,0,1,0,13,84,0,2,44,0
4,Adrie Sonke,6519387,223,33145,25504,1957,0,5422,262,0,0,0,0,5379,1,0,43,250,0,0,8,0,0,0,0,0,0,0,0,3,0
5,Anil Basnet,3686666,131,27411,23000,1689,0,2428,252,0,5,37,0,2237,71,0,52,110,0,27,26,0,3,6,0,12,15,0,82,20,0
6,Marvin de Hont,6616734,43,19290,9461,7648,0,1716,463,0,2,0,0,1647,294,0,41,83,0,17,7,0,0,1,0,4,46,0,8,20,0
7,samrat02,13255920,99,15809,2665,12498,0,626,20,0,0,0,0,624,13,0,2,7,0,0,0,0,3,0,0,0,0,0,12,0,0
8,Raj khadka,13220129,52,15606,863,14520,0,212,11,0,0,0,0,212,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Binisha21,17827219,45,15056,10567,2628,0,1609,252,0,0,0,0,1459,2,0,64,57,0,14,31,0,0,0,0,51,68,0,20,77,0
10,Talitha IRM-ED,9421520,46,14531,9318,5149,0,0,64,0,0,0,0,0,7,0,0,49,0,0,2,0,0,0,0,0,1,0,0,0,0
11,Anisa IRM-ED,8072049,81,13857,4953,8773,0,3,128,0,0,0,0,3,16,0,0,100,0,0,5,0,0,0,0,0,2,0,0,3,0
12,Rizki IRM-ED,17714670,116,13819,1192,12447,0,0,179,0,0,1,0,0,11,0,0,156,0,0,2,0,0,1,0,0,5,0,0,2,0
13,mahatara@hemant,14390263,34,13768,11763,74,0,1905,26,0,0,0,0,1831,1,0,24,18,0,4,0,0,5,11,0,27,2,0,17,3,0
14,Diana IRM-ED,8072061,52,13719,6994,6625,0,9,90,0,0,1,0,4,22,0,5,56,0,0,0,0,0,1,0,0,7,0,0,2,0
15,Dary Raihanah IRM-ED,15053262,56,13135,4633,8382,0,4,116,0,0,0,0,4,20,0,0,89,0,0,2,0,0,1,0,0,2,0,0,1,0
16,seichter,66497,76,12232,9413,1476,0,388,950,0,0,5,0,163,5,0,197,904,0,11,21,0,0,2,0,11,15,0,2,6,0
17,Gaurav Parajuli,8316170,83,11962,8412,1610,0,1809,130,0,0,1,0,1746,53,0,34,59,0,0,1,0,1,2,0,1,14,0,27,2,0
18,Aglis IRM-ED,8072046,77,11308,4308,6864,0,0,135,0,0,1,0,0,19,0,0,107,0,0,4,0,0,0,0,0,3,0,0,2,0
19,Mag'ladroth,17465873,8,11162,4840,5240,0,1041,41,0,0,0,0,979,4,0,0,36,0,0,0,0,0,0,0,0,0,0,270,0,0
20,Irfandi IRM-ED,17714747,105,10819,4402,6253,0,0,164,0,0,0,0,0,36,0,0,121,0,0,0,0,0,2,0,0,3,0,0,1,0
21,Laxmi oli,16471697,52,10664,9011,2,0,1626,25,0,0,0,0,1600,1,0,23,21,0,0,0,0,1,0,0,0,0,0,0,2,0
22,Elyana IRM-ED,10910633,75,10362,3357,6882,0,1,122,0,0,0,0,1,34,0,0,83,0,0,1,0,0,1,0,0,4,0,0,0,0
23,Rizky IRM-ED,9421521,54,10059,2055,7919,0,3,81,0,0,1,0,3,27,0,0,48,0,0,1,0,0,0,0,0,3,0,0,3,0
24,Haris IRM-ED,12027858,63,9908,4617,5157,0,2,132,0,0,0,0,1,18,0,1,106,0,0,1,0,0,0,0,0,2,0,0,4,0
25,DiahW IRM-ED,7561020,33,9474,5893,3537,0,0,44,0,0,0,0,0,1,0,0,39,0,0,0,0,0,0,0,0,3,0,0,2,0
26,Sangeeta BC,13203366,33,9019,3431,4648,0,762,175,0,2,1,0,754,135,0,8,34,0,0,0,0,0,4,0,0,4,0,0,0,0
27,Tantri IRM-ED,10910640,57,8365,2902,5384,0,0,79,0,0,0,0,0,9,0,0,59,0,0,0,0,0,0,0,0,7,0,0,2,0
28,frozenrabi,10459757,100,8029,4112,3309,0,452,153,0,3,0,0,383,89,0,26,41,0,3,8,0,12,0,0,16,8,0,26,7,0
29,baum10,5507919,5,7861,1908,5493,0,269,190,0,0,1,0,220,48,0,2,55,0,0,6,0,0,7,0,2,9,0,1,9,0
30,Lauriane Gilama,17893605,20,6874,5009,993,0,815,57,0,0,0,0,815,31,0,0,12,0,0,1,0,0,0,0,0,9,0,0,1,0
31,Fauzan IRM-ED,8954099,66,6646,1224,5353,0,0,69,0,0,0,0,0,5,0,0,60,0,0,1,0,0,1,0,0,2,0,0,0,0
32,Riyadi Wibowo,5454005,7,6549,1940,4464,0,20,118,0,0,7,0,8,15,0,12,85,0,0,2,0,0,15,0,0,8,0,0,5,0
33,Manish Adhikari,10019754,28,6512,2137,3777,0,476,122,0,0,0,0,468,102,0,6,9,0,2,6,0,0,0,0,0,5,0,0,0,0
34,Bhoj Raj Bist,10547313,30,6027,3779,1620,0,609,19,0,0,0,0,603,2,0,6,15,0,0,0,0,0,0,0,0,2,0,0,0,0
35,Sudhasinghbhandari,10111738,41,5887,4522,444,0,906,15,0,0,0,0,867,4,0,3,6,0,0,0,0,0,0,0,28,3,0,7,2,0
36,lorettalina,17857315,22,5792,4657,7,0,1128,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0,0,0,6,0,0,62,0,0
37,Sarojpokhrel,10934301,42,5762,4510,264,0,964,23,0,1,0,0,923,1,0,40,21,0,0,0,0,0,0,0,0,1,0,0,0,0
38,Mukesh Thapa,11674386,125,5296,4168,155,0,956,17,0,0,0,0,954,0,0,2,14,0,0,1,0,1,0,0,0,1,0,0,1,0
39,Irma IRM-ED,13065690,44,5169,2046,3030,0,0,93,0,0,0,0,0,36,0,0,46,0,0,1,0,0,0,0,0,6,0,0,0,0
40,Qomar IRM-ED,9543905,87,4896,1717,3076,0,5,96,0,0,2,0,1,26,0,4,63,0,0,0,0,0,0,0,0,3,0,0,3,0
41,Saroj khatri,13213172,6,3731,3046,6,0,675,4,0,0,0,0,657,1,0,5,2,0,0,0,0,3,0,0,3,0,0,0,0,0
42,Outspacer,17937342,52,3681,3168,330,0,55,128,0,0,0,0,1,0,0,53,120,0,1,5,0,0,0,0,0,1,0,0,2,0
43,hibagonsan,5939709,27,3348,2419,413,0,477,39,0,0,0,0,445,8,0,21,16,0,6,2,0,0,0,0,5,5,0,0,6,0
44,Manisha Gharti Magar,16481716,18,2811,2117,252,0,435,7,0,0,0,0,422,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Manoj Thapa,781054,70,2692,1755,667,0,47,222,0,0,1,0,1,51,0,31,139,0,0,8,0,16,16,0,0,5,0,0,3,0
46,Quang Huy NGUYEN,10341989,22,2599,568,1810,0,92,129,0,0,0,0,72,104,0,20,14,0,0,1,0,0,0,0,0,10,0,0,0,0
47,Nirmala Rawat,16471699,18,2594,1982,108,0,495,9,0,0,0,0,486,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,tek kumari rana magar,16481717,13,2450,2023,0,0,425,2,0,0,0,0,420,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Riyadi IRM-RV,8072077,4,2411,887,1480,0,2,40,0,0,2,0,0,1,0,2,38,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Juber Ansari,17831298,132,2364,1780,177,0,361,46,0,0,0,0,309,3,0,47,39,0,1,1,0,1,3,0,0,0,0,6,2,0
51,Tengku Almira IRM-ED,17716288,64,2344,1094,1147,0,0,103,0,0,0,0,0,4,0,0,97,0,0,0,0,0,0,0,0,1,0,0,1,0
52,Prithivistha,11600220,15,2282,921,1120,0,230,11,0,0,0,0,229,0,0,0,5,0,0,0,0,0,0,0,1,6,0,0,0,0
53,Dikshya Sapkota,14580180,12,2023,1455,230,0,338,0,0,0,0,0,334,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
