rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
1,marek kleciak,338611,411,93809,88446,2946,0,1898,515,0,2,2,0,392,46,0,73,127,0,0,6,0,0,6,0,416,80,0,853,222,0
2,Lalit_IAAS,11589667,352,57573,40746,9522,0,6907,390,0,1,7,0,6729,200,0,153,153,0,13,17,0,0,19,0,2,13,0,7,2,0
3,seichter,66497,229,45223,40514,3804,0,179,723,0,1,2,0,32,3,0,121,692,0,2,7,0,0,1,0,13,13,0,2,9,0
4,PraKH,11491881,119,30547,10112,17038,0,3098,293,0,1,5,0,3071,4,0,9,147,0,0,21,0,0,1,0,15,69,0,4,41,0
5,Adrie Sonke,6519387,169,21517,16784,1019,0,3552,162,0,0,0,0,3521,1,0,21,156,0,0,3,0,0,0,0,7,0,0,3,2,0
6,Anil Basnet,3686666,165,18424,15199,1395,0,1527,238,0,18,47,0,1357,51,0,45,100,0,28,37,0,9,3,0,6,12,0,42,11,0
7,Raj khadka,13220129,54,15686,928,14519,0,228,11,0,0,0,0,227,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Marvin de Hont,6616734,35,15220,7257,6150,0,1425,384,0,4,0,0,1377,230,0,34,78,0,11,11,0,0,1,0,2,38,0,1,15,0
9,Talitha IRM-ED,9421520,36,13480,9145,4281,0,0,54,0,0,0,0,0,0,0,0,46,0,0,2,0,0,0,0,0,1,0,0,0,0
10,Mag'ladroth,17465873,9,12852,6068,5420,0,1303,61,0,0,0,0,1207,7,0,2,52,0,0,0,0,1,0,0,0,0,0,270,0,0
11,Dary Raihanah IRM-ED,15053262,39,12029,4567,7371,0,0,91,0,0,0,0,0,0,0,0,87,0,0,1,0,0,0,0,0,2,0,0,1,0
12,Diana IRM-ED,8072061,31,11905,6953,4890,0,4,57,0,0,1,0,0,2,0,4,44,0,0,0,0,0,1,0,0,6,0,0,2,0
13,mahatara@hemant,14390263,22,11808,10043,47,0,1703,15,0,0,0,0,1651,1,0,15,11,0,3,0,0,5,2,0,23,1,0,9,1,0
14,Anisa IRM-ED,8072049,56,10980,4898,5971,0,0,111,0,0,0,0,0,1,0,0,98,0,0,5,0,0,0,0,0,2,0,0,3,0
15,Rizki IRM-ED,17714670,99,10208,1155,8883,0,0,170,0,0,0,0,0,2,0,0,156,0,0,2,0,0,0,0,0,5,0,0,2,0
16,Elyana IRM-ED,10910633,44,10052,3331,6634,0,0,87,0,0,0,0,0,0,0,0,82,0,0,1,0,0,0,0,0,4,0,0,0,0
17,Aglis IRM-ED,8072046,58,9976,4307,5553,0,0,115,0,0,1,0,0,2,0,0,104,0,0,4,0,0,0,0,0,3,0,0,2,0
18,samrat02,13255920,75,9179,2485,6093,0,590,11,0,0,0,0,589,6,0,1,5,0,0,0,0,2,0,0,0,0,0,7,0,0
19,Binisha21,17827219,28,9151,6445,1512,0,1051,143,0,0,0,0,966,1,0,33,31,0,14,25,0,0,0,0,27,32,0,10,44,0
20,DiahW IRM-ED,7561020,29,8941,5893,3009,0,0,39,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,3,0,0,2,0
21,Haris IRM-ED,12027858,48,8870,4596,4158,0,1,115,0,0,0,0,0,1,0,1,106,0,0,1,0,0,0,0,0,2,0,0,4,0
22,Irfandi IRM-ED,17714747,51,8755,4380,4281,0,0,94,0,0,0,0,0,0,0,0,88,0,0,0,0,0,1,0,0,3,0,0,1,0
23,Rizky IRM-ED,9421521,34,8275,2024,6196,0,0,55,0,0,0,0,0,1,0,0,48,0,0,1,0,0,0,0,0,3,0,0,3,0
24,frozenrabi,10459757,89,7414,3672,3216,0,377,146,0,3,0,0,313,89,0,26,38,0,3,6,0,11,0,0,12,7,0,25,7,0
25,Tantri IRM-ED,10910640,40,7045,2895,4088,0,0,62,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,7,0,0,2,0
26,Devraj Devkota,13552219,42,6975,5575,5,0,1393,2,0,0,0,0,1392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Lauriane Gilama,17893605,20,6874,5009,993,0,815,57,0,0,0,0,815,31,0,0,12,0,0,1,0,0,0,0,0,9,0,0,1,0
28,Laxmi oli,16471697,43,6275,5108,1,0,1150,16,0,0,0,0,1145,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,1,0
29,lorettalina,17857315,26,6027,4847,7,0,1173,0,0,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,129,0,0,52,0,0
30,ZenithKandel,10111582,49,5570,4252,315,0,987,15,0,1,0,0,969,5,0,4,7,0,0,0,0,0,0,0,15,2,0,0,1,0
31,Heinz_V,91490,177,5483,4971,408,0,53,50,0,0,1,0,21,20,0,11,25,0,0,0,0,0,2,0,2,3,0,19,0,0
32,tek kumari rana magar,16481717,21,5457,4389,0,0,1067,1,0,0,0,0,1061,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Fauzan IRM-ED,8954099,52,5364,1223,4080,0,0,61,0,0,0,0,0,0,0,0,57,0,0,1,0,0,0,0,0,2,0,0,0,0
34,Gaurav Parajuli,8316170,60,5037,3433,850,0,696,57,0,1,0,0,674,21,0,7,30,0,0,0,0,1,0,0,0,5,0,15,1,0
35,Irma IRM-ED,13065690,29,5011,2031,2909,0,0,71,0,0,0,0,0,16,0,0,45,0,0,1,0,0,0,0,0,6,0,0,0,0
36,Bhoj Raj Bist,10547313,27,4770,2820,1524,0,411,15,0,0,0,0,406,2,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0
37,Sarojpokhrel,10934301,30,4411,3458,194,0,739,19,0,1,0,0,703,1,0,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Qomar IRM-ED,9543905,41,4168,1713,2385,0,4,64,0,0,2,0,0,1,0,4,56,0,0,0,0,0,0,0,0,3,0,0,3,0
39,Mukesh Thapa,11674386,96,3967,3131,110,0,711,15,0,0,0,0,708,0,0,2,13,0,1,0,0,1,0,0,0,1,0,0,1,0
40,Outspacer,17937342,52,3681,3168,330,0,55,128,0,0,0,0,1,0,0,53,120,0,1,5,0,0,0,0,0,1,0,0,2,0
