rank,name,profile,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,Anil Basnet,https://www.openstreetmap.org/user/Anil%20Basnet,3686666,80,44090,Nepal,39981,2034,28,1667,377,1,2,0,0,194,21,1494,61,68,216,1,7,5,6,"{""building"": 1494, ""name:en"": 189, ""place"": 184, ""name"": 162, ""name:ne"": 153, ""highway"": 68, ""natural"": 54, ""landuse"": 41, ""surface"": 13, ""source"": 6, ""amenity"": 5, ""bridge:support"": 4, ""layer"": 4, ""bridge"": 3, ""bridge:structure"": 2, ""type"": 2, ""office"": 2, ""government"": 1, ""opening_hours"": 1, ""website"": 1, ""religion"": 1, ""ford"": 1, ""tunnel"": 1, ""waterway"": 1, ""construction"": 1}","{""highway"": 216, ""surface"": 83, ""building"": 61, ""natural"": 57, ""landuse"": 52, ""name"": 34, ""source"": 32, ""name:en"": 23, ""name:ne"": 23, ""place"": 10, ""waterway"": 7, ""ref"": 7, ""amenity"": 6, ""layer"": 5, ""building:levels"": 4, ""bridge"": 4, ""ford"": 3, ""addr:hamlet"": 3, ""operator:type"": 3, ""admin_level"": 3, ""height"": 3, ""government"": 3, ""office"": 3, ""crop"": 3, ""website"": 2, ""boundary"": 2, ""lanes"": 2, ""cables"": 2, ""frequency"": 2, ""power"": 2, ""voltage"": 2, ""access"": 2, ""wikidata"": 2, ""wikipedia"": 2, ""operator"": 1, ""craft"": 1, ""product"": 1, ""bicycle"": 1, ""description"": 1, ""foot"": 1, ""horse"": 1, ""maxspeed"": 1, ""motor_vehicle"": 1, ""circuits"": 1, ""building:colour"": 1, ""roof:colour"": 1, ""toilets:disposal"": 1, ""unisex"": 1, ""wheelchair"": 1, ""noname"": 1, ""contact:email"": 1, ""leisure"": 1, ""sport"": 1, ""ref:old"": 1, ""bridge:structure"": 1, ""religion"": 1, ""industrial"": 1, ""tracktype"": 1}","#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#gesan,#hotosm-project-14074,#Kakani",2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
2,marek kleciak,https://www.openstreetmap.org/user/marek%20kleciak,338611,62,36619,Nepal,34802,786,94,739,178,18,1,1,0,0,14,200,6,7,47,0,1,0,9,"{""natural"": 349, ""building"": 200, ""landuse"": 152, ""highway"": 7, ""barrier"": 2, ""type"": 1}","{""natural"": 80, ""highway"": 47, ""landuse"": 33, ""surface"": 25, ""name"": 18, ""ref"": 14, ""amenity"": 9, ""source"": 7, ""building"": 6, ""shop"": 4, ""ref:old"": 3, ""tourism"": 1, ""building_count"": 1, ""capacity:beds"": 1, ""facility:icu"": 1, ""facility:operating_theatre"": 1, ""facility:ventilator"": 1, ""facility:x-ray"": 1, ""opd:patients:count"": 1, ""operator:type"": 1, ""personnel:count"": 1, ""wheelchair"": 1, ""name:hi"": 1, ""wikidata"": 1, ""NEWFIELD2"": 1, ""NEWFIELD3"": 1, ""NEWFIELD6"": 1, ""ONLY_SHEET"": 1, ""note"": 1, ""sheet"": 1, ""sheetno"": 1, ""waterway"": 1, ""leisure"": 1, ""sport"": 1, ""network"": 1, ""route"": 1, ""type"": 1, ""religion"": 1, ""tracktype"": 1}",,2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
3,Lalit_IAAS,https://www.openstreetmap.org/user/Lalit_IAAS,11589667,146,36092,Nepal,23394,9775,5,2561,344,6,1,6,0,8,68,2466,145,89,168,1,12,2,22,"{""building"": 2466, ""highway"": 89, ""noname"": 28, ""ford"": 6, ""name"": 4, ""natural"": 4, ""source"": 3, ""name:en"": 3, ""name:ne"": 3, ""amenity"": 2, ""ref"": 1, ""waterway"": 1, ""lit"": 1, ""surface"": 1, ""width"": 1, ""bridge"": 1, ""layer"": 1, ""place"": 1, ""type"": 1}","{""highway"": 168, ""building"": 145, ""name"": 63, ""name:ne"": 58, ""name:en"": 50, ""place"": 41, ""source"": 34, ""amenity"": 22, ""ref"": 16, ""waterway"": 12, ""addr:hamlet"": 9, ""operator:type"": 9, ""landuse"": 7, ""ford"": 6, ""noname"": 6, ""natural"": 6, ""route"": 6, ""type"": 6, ""surface"": 4, ""cables"": 2, ""frequency"": 2, ""power"": 2, ""voltage"": 2, ""admin_level"": 2, ""boundary"": 2, ""intermittent"": 1, ""proprietor"": 1, ""lit"": 1, ""width"": 1, ""height"": 1}","#hotosm-project-14074,#Kakani,#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#gesan,#missingmaps,#AgrimappersPaklihawa,#hotosm-project-14310,#Naxa,#RemoteMappingBirendranagar,#OSMNepal,#WBR,#NFL,#EPFL,#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#hotosm-project-13168,#KLL,#MapGive,#mappingtheunmapped,#mapforcause",2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
4,seichter,https://www.openstreetmap.org/user/seichter,66497,29,22863,Nepal,16283,3259,8,3073,238,2,0,0,0,6,2,2792,53,88,104,37,48,0,0,"{""building"": 2792, ""landuse"": 115, ""highway"": 88, ""source"": 88, ""natural"": 41, ""waterway"": 37, ""layer"": 21, ""water"": 20, ""tunnel"": 11, ""bridge"": 10, ""barrier"": 4, ""name"": 2, ""place"": 2, ""wood"": 2, ""reservoir_type"": 1, ""tracktype"": 1}","{""highway"": 104, ""building"": 53, ""waterway"": 48, ""landuse"": 27, ""layer"": 12, ""tracktype"": 11, ""bridge"": 8, ""width"": 8, ""natural"": 7, ""ref"": 6, ""source"": 6, ""tunnel"": 4, ""ref:old"": 3, ""water"": 3, ""name"": 2, ""fixme"": 1, ""place"": 1, ""note"": 1}",,2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
5,Nirmala Rawat,https://www.openstreetmap.org/user/Nirmala%20Rawat,16471699,19,17041,"Nepal,India",13684,0,0,3342,15,0,0,0,0,0,0,3335,6,0,7,0,0,0,0,"{""building"": 3335}","{""highway"": 7, ""building"": 6, ""surface"": 3, ""natural"": 1}","#geoneer,#janashram",2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
6,santosh_chhetri7,https://www.openstreetmap.org/user/santosh_chhetri7,10022588,47,13682,Nepal,3926,8821,61,697,171,6,0,0,0,1,5,651,19,33,92,0,20,0,0,"{""building"": 651, ""highway"": 33, ""natural"": 9, ""water"": 6, ""landuse"": 3, ""ford"": 1, ""bridge"": 1, ""man_made"": 1, ""surface"": 1}","{""highway"": 92, ""surface"": 44, ""landuse"": 21, ""waterway"": 20, ""building"": 19, ""name"": 14, ""natural"": 13, ""ref"": 11, ""admin_level"": 6, ""oneway"": 5, ""lanes"": 4, ""ref:old"": 4, ""boundary"": 4, ""ford"": 3, ""source"": 3, ""layer"": 3, ""intermittent"": 2, ""junction"": 2, ""water"": 1, ""name:en"": 1, ""name:ne"": 1, ""width"": 1, ""tunnel"": 1, ""leisure"": 1, ""place"": 1, ""addr:city"": 1, ""addr:street"": 1, ""bridge"": 1}","#hotosm-project-14310,#Naxa,#RemoteMappingBirendranagar,#dmd,#OSMNepal,#WBR,#NFL,#EPFL,#GESAN",2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
7,Narayan Thapa,https://www.openstreetmap.org/user/Narayan%20Thapa,11295416,23,8227,Nepal,1087,6852,0,222,66,0,0,0,0,0,2,210,28,2,22,1,4,0,0,"{""building"": 210, ""natural"": 9, ""water"": 9, ""highway"": 2, ""waterway"": 1}","{""building"": 28, ""highway"": 22, ""landuse"": 6, ""waterway"": 4, ""natural"": 3, ""ford"": 2, ""layer"": 1, ""tunnel"": 1, ""ref"": 1, ""water"": 1}","#hotosm-project-14193,#Rautahat2023,#Digitalmapping,#YI-Lab,#EU,#MercyCorp",2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
8,Vivek Dumre,https://www.openstreetmap.org/user/Vivek%20Dumre,13116824,77,7790,Nepal,3737,3057,22,768,203,2,1,0,0,1,0,756,163,5,26,0,4,0,0,"{""building"": 756, ""highway"": 5, ""natural"": 5, ""name"": 2, ""water"": 2, ""bridge"": 1, ""layer"": 1, ""leisure"": 1, ""ford"": 1, ""type"": 1}","{""building"": 163, ""highway"": 26, ""landuse"": 8, ""name"": 5, ""surface"": 5, ""waterway"": 4, ""source"": 3, ""natural"": 2, ""lanes"": 2, ""lit"": 2, ""smoothness"": 2, ""water"": 1, ""ref"": 1, ""sidewalk"": 1}","#hotosm-project-14284,#KU,#digitalnepal,#osmnepal,#ges,#nepgeom23,#hotosm-project-13168,#KLL,#MapGive,#mappingtheunmapped,#mapforcause,#hotosm-project-14310,#Naxa,#RemoteMappingBirendranagar,#dmd,#OSMNepal,#WBR,#NFL,#EPFL,#hotosm-project-13991,#mapbuds,#youthmappers,#missingmaps,#hotosm-project-13149",2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
9,Heinz_V,https://www.openstreetmap.org/user/Heinz_V,91490,30,7689,Nepal,7248,122,0,89,229,0,0,1,0,3,4,0,2,89,203,0,10,0,1,"{""highway"": 89, ""surface"": 31, ""ford"": 3, ""bridge"": 2, ""layer"": 2, ""name"": 2, ""ref"": 1, ""ref:old"": 1}","{""highway"": 203, ""surface"": 72, ""ref"": 13, ""waterway"": 10, ""name"": 8, ""natural"": 7, ""ford"": 5, ""ref:old"": 5, ""landuse"": 3, ""building"": 2, ""place"": 2, ""admin_level"": 2, ""boundary"": 2, ""source"": 2, ""power"": 1, ""int_name"": 1, ""fixme"": 1, ""crop"": 1, ""network"": 1, ""route"": 1, ""type"": 1, ""intermittent"": 1, ""amenity"": 1, ""school"": 1, ""trail_visibility"": 1}",,2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
10,Adrie Sonke,https://www.openstreetmap.org/user/Adrie%20Sonke,6519387,41,4846,Nepal,3722,257,1,834,32,0,0,0,0,0,2,829,0,4,33,0,0,0,0,"{""building"": 829, ""highway"": 4, ""landuse"": 1}","{""highway"": 33, ""surface"": 2, ""name"": 2, ""bus"": 1, ""public_transport"": 1, ""source"": 1, ""oneway"": 1, ""ref"": 1}",,2023-02-19 00:00:00+00:00,2023-02-26 00:00:00+00:00
