rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
1,Lalit_IAAS,11589667,33,4519,2267,1828,0,345,79,0,0,0,0,338,51,0,7,25,0,0,0,0,0,2,0,0,2,0,0,1,0
2,Adrie Sonke,6519387,39,3971,2862,465,0,624,20,0,0,0,0,621,0,0,3,18,0,0,1,0,0,0,0,0,0,0,0,1,0
3,Manisha Gharti Magar,16481716,6,1810,1413,76,0,318,3,0,0,0,0,315,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Binisha21,17827219,8,1809,1294,234,0,244,37,0,0,0,0,232,1,0,4,7,0,0,2,0,0,0,0,6,12,0,2,15,0
5,Gaurav Parajuli,8316170,10,1733,1293,135,0,290,15,0,0,0,0,287,3,0,3,7,0,0,1,0,0,1,0,0,2,0,0,1,0
6,Anil Basnet,3686666,6,1416,1384,16,0,5,11,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,6,0
7,Laxmi oli,16471697,2,1194,1024,0,0,169,1,0,0,0,0,164,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Masherbrum,10888593,24,1065,332,714,0,0,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Nirmala Rawat,16471699,6,833,665,0,0,168,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SachinRayamajhi,13270443,2,701,591,2,0,101,7,0,0,0,0,79,2,0,12,5,0,0,0,0,2,2,0,3,0,0,0,0,0
11,Sudhasinghbhandari,10111738,7,655,455,104,0,94,2,0,0,0,0,88,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0
12,sng24,11369031,3,517,415,0,0,101,1,0,0,0,0,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bhupendra_Oli,14713557,2,466,149,274,0,35,8,0,0,0,0,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Mukesh Thapa,11674386,4,391,316,3,0,72,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Sarojpokhrel,10934301,7,295,213,52,0,29,1,0,0,0,0,25,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,baum10,5507919,1,275,100,140,0,22,13,0,0,0,0,20,1,0,2,6,0,0,0,0,0,2,0,0,1,0,0,1,0
17,Agh,61042,2,234,174,39,0,18,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,seichter,66497,2,211,193,10,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Gita oli,16481722,2,203,156,8,0,39,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Manoj Thapa,781054,5,178,25,109,0,2,42,0,0,0,0,0,34,0,0,4,0,0,0,0,2,8,0,0,0,0,0,0,0
21,Kiran Guragain,17993587,30,154,117,0,0,31,6,0,0,0,0,19,1,0,10,5,0,0,0,0,0,0,0,0,0,0,2,0,0
