rank,name,profile,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,Nirmala Rawat,https://www.openstreetmap.org/user/Nirmala%20Rawat,16471699,38,47959,Nepal,38398,0,0,9544,17,0,0,0,0,0,0,9528,9,0,7,0,0,0,0,"{""building"": 9528}","{""building"": 9, ""highway"": 7, ""ref"": 3, ""surface"": 1, ""admin_level"": 1, ""boundary"": 1, ""source"": 1, ""building:levels"": 1, ""name"": 1}","#geoneer,#janashram",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
2,marek kleciak,https://www.openstreetmap.org/user/marek%20kleciak,338611,37,24489,Nepal,23086,772,11,517,88,14,1,0,0,0,0,162,2,12,30,0,1,0,0,"{""natural"": 228, ""building"": 162, ""landuse"": 104, ""highway"": 12, ""type"": 1}","{""natural"": 34, ""highway"": 30, ""landuse"": 14, ""ref"": 5, ""building"": 2, ""boundary"": 1, ""NEWFIELD2"": 1, ""NEWFIELD3"": 1, ""NEWFIELD6"": 1, ""ONLY_SHEET"": 1, ""name"": 1, ""note"": 1, ""sheet"": 1, ""sheetno"": 1, ""waterway"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
3,seichter,https://www.openstreetmap.org/user/seichter,66497,40,20845,"India,Nepal",12553,5476,52,2028,726,4,1,5,0,10,19,1499,48,264,509,95,106,0,5,"{""building"": 1499, ""highway"": 264, ""waterway"": 95, ""landuse"": 81, ""natural"": 78, ""layer"": 74, ""bridge"": 38, ""tunnel"": 36, ""tracktype"": 26, ""water"": 26, ""resource"": 10, ""man_made"": 9, ""surface"": 6, ""route"": 6, ""name"": 6, ""place"": 6, ""ford"": 4, ""product"": 4, ""intermittent"": 4, ""source:geometry"": 3, ""ref"": 3, ""bridge:structure"": 2, ""noname"": 2, ""river"": 2, ""admin_level"": 1, ""boundary"": 1, ""type"": 1, ""wood"": 1}","{""highway"": 509, ""waterway"": 106, ""tracktype"": 56, ""ref"": 50, ""building"": 48, ""layer"": 37, ""name"": 33, ""natural"": 28, ""landuse"": 27, ""surface"": 23, ""bridge"": 20, ""source"": 15, ""place"": 11, ""tunnel"": 11, ""oneway"": 10, ""source:surface"": 10, ""construction"": 10, ""name:en"": 8, ""name:ne"": 7, ""source:geometry"": 6, ""admin_level"": 6, ""boundary"": 6, ""wikidata"": 5, ""type"": 5, ""amenity"": 5, ""int_ref"": 4, ""name:de"": 4, ""name:es"": 4, ""name:fa"": 4, ""name:ks"": 4, ""name:pl"": 4, ""name:ur"": 4, ""lanes"": 4, ""source:lanes"": 4, ""intermittent"": 4, ""alt_name"": 3, ""alt_name:hi"": 3, ""int_name"": 3, ""name:hi"": 3, ""water"": 3, ""ref:old"": 3, ""ford"": 3, ""operator"": 3, ""wikipedia"": 2, ""man_made"": 2, ""religion"": 2, ""addr:city"": 2, ""unclassified"": 2, ""route"": 2, ""boat"": 1, ""wikipedia:ne"": 1, ""leaf_type"": 1, ""resource"": 1, ""emergency"": 1, ""healthcare"": 1, ""healthcare:speciality"": 1, ""operator:type"": 1, ""contact:phone"": 1, ""opening_hours"": 1, ""product"": 1, ""grades"": 1, ""noname"": 1, ""building:levels"": 1, ""height"": 1, ""hlcit:code"": 1, ""unocha:pcode"": 1, ""unocha:vil_code"": 1, ""unocha:vname"": 1, ""website"": 1, ""bridge:structure"": 1, ""addr:housenumber"": 1, ""addr:street"": 1, ""email"": 1, ""internet_access"": 1, ""phone"": 1, ""tourism"": 1, ""river"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
4,Heinz_V,https://www.openstreetmap.org/user/Heinz_V,91490,33,14647,"Nepal,China",13933,332,122,98,156,1,0,5,0,3,3,0,1,97,132,0,11,0,2,"{""highway"": 97, ""surface"": 18, ""ref"": 12, ""bridge"": 4, ""layer"": 4, ""ford"": 3, ""source"": 2, ""ref:old"": 2}","{""highway"": 132, ""surface"": 47, ""ref"": 26, ""source"": 12, ""waterway"": 11, ""name"": 8, ""ref:old"": 7, ""route"": 5, ""type"": 5, ""landuse"": 5, ""natural"": 3, ""noref"": 3, ""admin_level"": 3, ""boundary"": 3, ""network"": 3, ""bridge"": 3, ""amenity"": 2, ""name:en"": 2, ""layer"": 2, ""ford"": 2, ""lanes"": 1, ""oneway"": 1, ""noname"": 1, ""narrow"": 1, ""note"": 1, ""cuisine"": 1, ""fixme"": 1, ""alt_name"": 1, ""alt_name:ar"": 1, ""alt_name:en"": 1, ""alt_name:zh"": 1, ""boat"": 1, ""name:ar"": 1, ""name:bo"": 1, ""name:hi"": 1, ""name:ne"": 1, ""name:ru"": 1, ""name:ur"": 1, ""short_name:ar"": 1, ""length"": 1, ""width"": 1, ""building"": 1, ""operator"": 1, ""water"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
5,DiahW IRM-ED,https://www.openstreetmap.org/user/DiahW%20IRM-ED,7561020,10,9202,Nepal,5911,3269,0,4,17,0,0,1,0,0,1,0,2,4,12,0,0,0,0,"{""highway"": 4, ""ref"": 3}","{""highway"": 12, ""ref"": 7, ""source"": 2, ""building"": 2, ""ford"": 1, ""landuse"": 1, ""natural"": 1, ""ref:old"": 1, ""route"": 1, ""type"": 1, ""admin_level"": 1, ""boundary"": 1}","#AtlasChecks,#SharpAngleCheck,#maproulette",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
6,Fadlilaa IRM-RV,https://www.openstreetmap.org/user/Fadlilaa%20IRM-RV,8650974,15,8839,Nepal,2984,5684,0,23,146,0,0,2,0,2,5,12,12,3,126,8,9,0,2,"{""building"": 12, ""waterway"": 8, ""layer"": 6, ""name"": 5, ""tunnel"": 4, ""width"": 4, ""highway"": 3, ""bridge"": 2, ""ford"": 1, ""fixme"": 1}","{""highway"": 126, ""ref"": 34, ""surface"": 20, ""name"": 13, ""building"": 12, ""waterway"": 9, ""source"": 6, ""amenity"": 2, ""fixme"": 2, ""maxspeed"": 2, ""tracktype"": 2, ""width"": 2, ""type"": 2, ""ford"": 2, ""service"": 1, ""intermittent"": 1}","#FullValidation,#Nepal",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
7,tek kumari rana magar,https://www.openstreetmap.org/user/tek%20kumari%20rana%20magar,16481717,30,8813,Nepal,7084,0,0,1724,4,0,0,1,0,0,0,1711,0,2,2,0,1,0,0,"{""building"": 1711, ""highway"": 2}","{""highway"": 2, ""source"": 2, ""ref"": 2, ""name"": 1, ""waterway"": 1, ""ref:old"": 1, ""admin_level"": 1, ""boundary"": 1, ""route"": 1, ""type"": 1}","#geoneer,#janashram,#gesan,#kll",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
8,Lalit_IAAS,https://www.openstreetmap.org/user/Lalit_IAAS,11589667,55,8142,Nepal,5334,2257,9,417,117,7,0,1,0,2,9,377,27,38,78,1,6,0,6,"{""building"": 377, ""highway"": 38, ""noname"": 11, ""name"": 2, ""boundary"": 1, ""waterway"": 1, ""ford"": 1, ""craft"": 1, ""product"": 1, ""source"": 1}","{""highway"": 78, ""building"": 27, ""name"": 11, ""source"": 9, ""noname"": 9, ""amenity"": 6, ""waterway"": 6, ""addr:hamlet"": 5, ""operator:type"": 5, ""landuse"": 5, ""name:ne"": 4, ""ref"": 3, ""ford"": 3, ""admin_level"": 2, ""surface"": 2, ""natural"": 2, ""building:levels"": 2, ""boundary"": 1, ""int_name"": 1, ""name:en"": 1, ""name:ja"": 1, ""name:pl"": 1, ""type"": 1, ""wikidata"": 1, ""wikipedia"": 1, ""lit"": 1, ""width"": 1, ""operator"": 1, ""website"": 1, ""lanes"": 1, ""layer"": 1, ""ref:old"": 1}","#hotosm-project-14074,#Kakani,#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#gesan,#missingmaps,#AgrimappersPaklihawa,#hotosm-project-11838,#Runtigadhi,#Rolpa,#digitalmappersdang",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
9,Vivek Dumre,https://www.openstreetmap.org/user/Vivek%20Dumre,13116824,58,6436,Nepal,3204,2603,3,458,160,0,6,2,0,1,9,423,99,16,48,0,2,1,0,"{""building"": 423, ""highway"": 16, ""landuse"": 7, ""natural"": 7, ""type"": 6, ""bridge"": 1, ""layer"": 1, ""amenity"": 1}","{""building"": 99, ""highway"": 48, ""natural"": 12, ""name"": 7, ""landuse"": 5, ""ref"": 3, ""water"": 3, ""source"": 2, ""type"": 2, ""waterway"": 2, ""noname"": 2, ""tracktype"": 1, ""route"": 1, ""ford"": 1, ""building:levels"": 1, ""leisure"": 1, ""lanes"": 1, ""length"": 1, ""surface"": 1, ""width"": 1}","#hotosm-project-13959,#Map4BJ,#BeninMappingTour,#hotosm-project-13991,#dmd,#mapbuds,#youthmappers,#digitalnepal,#osmnepal,#missingmaps,#hotosm-project-13168,#KLL,#MapGive,#mappingtheunmapped,#mapforcause,#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#hotosm-project-14284,#KU,#ges,#nepgeom23",2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
10,Adrie Sonke,https://www.openstreetmap.org/user/Adrie%20Sonke,6519387,44,6004,Nepal,4648,321,1,988,43,1,1,1,0,0,2,979,0,8,40,0,2,0,1,"{""building"": 979, ""highway"": 8, ""bridge"": 1, ""layer"": 1, ""type"": 1}","{""highway"": 40, ""name"": 4, ""oneway"": 2, ""ref"": 2, ""waterway"": 2, ""source"": 2, ""natural"": 1, ""government"": 1, ""office"": 1, ""public_transport"": 1, ""type"": 1, ""amenity"": 1, ""admin_level"": 1, ""boundary"": 1}",,2023-02-12 00:00:00+00:00,2023-02-19 00:00:00+00:00
