rank,name,uid,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,building.create,building.modify,building.delete,highway.create,highway.modify,highway.delete,waterway.create,waterway.modify,waterway.delete,amenity.create,amenity.modify,amenity.delete,landuse.create,landuse.modify,landuse.delete,natural.create,natural.modify,natural.delete
1,marek kleciak,338611,882,321504,309108,3993,0,7376,1022,0,2,3,0,2498,51,0,104,139,0,6,18,0,2,4,0,1301,133,0,2807,474,0
2,PraKH,11491881,686,123454,43264,70581,0,6619,2947,0,8,35,0,6199,74,0,159,1190,0,27,336,0,0,4,0,145,794,0,96,458,0
3,Lalit_IAAS,11589667,733,112623,86472,17782,0,7176,1175,0,11,7,0,6067,384,0,417,553,0,44,112,0,47,51,0,211,61,0,676,41,0
4,Adrie Sonke,6519387,721,95734,67008,13539,0,14468,713,0,3,3,0,14056,17,0,215,592,0,99,42,0,0,3,0,49,21,0,42,29,0
5,Narayan Thapa,11295416,469,89682,54734,19351,0,9268,6324,0,1,4,0,2593,4258,0,154,224,0,0,7,0,28,47,0,14,81,0,19,10,0
6,Devraj Devkota,13552219,371,77131,57425,7333,0,12179,194,0,0,0,0,12012,25,0,93,112,0,9,11,0,0,1,0,28,29,0,29,7,0
7,samrat02,13255920,405,59536,20756,33758,0,4924,98,0,0,0,0,4888,53,0,4,24,0,1,10,0,5,0,0,2,4,0,117,7,0
8,Kirtiikaa,14359056,148,54773,32811,19423,0,1914,620,0,3,2,0,1695,48,0,13,136,0,0,13,0,0,2,0,149,335,0,59,66,0
9,Akash Ojha,11593517,149,48392,22440,22120,0,3064,757,0,9,2,0,2729,326,0,66,236,0,3,13,0,0,2,0,230,137,0,36,26,0
10,Anil Basnet,3686666,398,45222,34014,6172,0,4268,759,0,4,5,0,3741,203,0,187,318,0,36,44,0,112,14,0,116,50,0,74,77,0
11,Dikshya Sapkota,14580180,133,44617,34011,2790,0,7788,28,0,0,0,0,7706,3,0,34,20,0,13,0,0,5,0,0,20,3,0,12,2,0
12,Prithivistha,11600220,565,43212,23922,16387,0,2321,554,0,19,9,0,1876,10,0,23,106,0,4,61,0,0,0,0,322,248,0,98,106,0
13,Sujan Baruwal,8309449,169,41547,30383,6434,0,4252,478,0,0,0,0,3865,6,0,106,179,0,21,42,0,1,2,0,195,127,0,53,104,0
14,Vivek Dumre,13116824,248,40843,11479,27176,0,1967,221,0,0,0,0,1865,67,0,19,108,0,15,20,0,0,0,0,18,17,0,41,6,0
15,Bhattarai_10,15658567,108,40672,31810,1503,0,7194,165,0,0,0,0,7117,14,0,27,112,0,0,4,0,0,0,0,46,37,0,4,0,0
16,Ashim Paudel,16378761,221,38216,29266,2959,0,5908,83,0,0,0,0,5826,60,0,3,14,0,0,2,0,0,0,0,79,5,0,0,1,0
17,AayushChand123,14357745,169,28651,20851,3167,0,4504,128,0,0,1,0,4443,32,0,47,79,0,4,6,0,0,0,0,2,4,0,2,3,0
18,sushanta58,7525398,182,27449,16492,7005,0,3737,215,0,0,0,0,3647,33,0,58,99,0,6,19,0,0,15,0,11,35,0,16,16,0
19,Gaurav Parajuli,8316170,182,27400,20577,1967,0,4616,239,0,1,0,0,4272,89,0,34,57,0,3,5,0,14,7,0,13,20,0,43,3,0
20,frozenrabi,10459757,144,25291,19339,1627,0,4195,125,0,3,2,0,4125,57,0,33,44,0,2,5,0,31,12,0,29,10,0,7,7,0
21,Meenadhangarhi2053,15658982,143,24856,16243,5425,0,2984,204,0,0,0,0,2903,4,0,46,92,0,0,12,0,0,0,0,25,61,0,9,29,0
22,Sangita Dahal,15650933,219,24181,16943,3393,0,3590,255,0,0,0,0,3503,26,0,20,136,0,3,2,0,0,0,0,44,66,0,11,15,0
23,Shrestha Shristi,13253207,115,19826,15942,260,0,3596,27,0,1,0,0,3539,6,0,22,17,0,7,4,0,0,0,0,6,0,0,21,0,0
24,Yukays,10660787,77,17995,9631,5991,0,2300,73,0,0,0,0,2298,33,0,1,36,0,0,0,0,0,0,0,0,3,0,0,0,0
25,Marvin de Hont,6616734,42,17857,7968,7795,0,1649,442,0,1,2,0,1539,245,0,61,98,0,29,18,0,1,1,0,3,41,0,16,22,0
26,xsivlychilly,14432931,92,16853,12351,4331,0,72,85,0,0,14,0,4,4,0,37,42,0,31,33,0,0,15,0,0,0,0,0,8,0
27,Mbabani Allan,4863376,18,15418,12200,209,0,3003,6,0,0,0,0,3002,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,Mukesh Thapa,11674386,379,14961,10994,1288,0,2451,224,0,4,0,0,2358,85,0,29,113,0,4,7,0,17,3,0,6,9,0,16,2,0
29,GuyPa,6526727,32,14549,3851,9776,0,853,69,0,0,0,0,844,49,0,8,14,0,1,4,0,0,0,0,0,1,0,0,1,0
30,Supath Dhital,10572167,79,13151,10209,2206,0,598,133,0,3,2,0,551,31,0,10,42,0,4,12,0,0,3,0,23,36,0,11,9,0
31,klous,6120557,23,12841,10226,0,0,2615,0,0,0,0,0,2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Bhoj Raj Bist,10547313,68,12516,2929,9085,0,412,90,0,0,0,0,384,7,0,24,58,0,0,9,0,0,2,0,4,10,0,0,5,0
33,Lochan Pant,14854690,115,12170,8993,1867,0,967,343,0,0,0,0,237,283,0,4,20,0,0,0,0,183,26,0,3,1,0,0,0,0
34,Pragyan Baral,13123956,89,11747,9088,1001,0,1620,38,0,0,0,0,1598,34,0,18,3,0,2,0,0,281,11,0,11,0,0,0,0,0
35,adhikari sailesh,14580195,35,11057,8882,8,0,2157,10,0,0,0,0,2146,2,0,4,6,0,0,0,0,0,0,0,2,1,0,0,0,0
36,Manoj Thapa,781054,274,10511,7375,1904,0,775,451,0,1,5,0,645,44,0,120,337,0,0,18,0,7,17,0,6,23,0,1,11,0
37,Sangeeta BC,13203366,49,9459,3413,5012,0,757,277,0,0,0,0,726,171,0,18,52,0,1,9,0,3,3,0,11,43,0,1,1,0
38,Karki Bibek,14580151,76,8352,4881,2835,0,513,121,0,0,2,0,413,7,0,68,80,0,11,11,0,6,3,0,10,11,0,8,4,0
39,Manish Adhikari,10019754,79,7999,3822,3297,0,767,112,0,1,0,0,737,74,0,3,14,0,0,1,0,0,0,0,17,16,0,6,8,0
40,subekshyasubedi04,16076605,35,7930,6023,1313,0,561,33,0,0,0,0,510,1,0,25,21,0,8,2,0,1,1,0,13,3,0,0,4,0
41,pratixa,3481032,53,7134,4374,2,0,2754,4,0,0,0,0,2745,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Krantikari,6200019,58,7123,5702,8,0,1408,5,0,0,0,0,1399,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0
43,JezzaJay,13710052,18,7017,1277,5461,0,179,98,0,2,0,0,155,28,0,8,36,0,5,5,0,0,0,0,0,17,0,11,10,0
44,Heinz_V,91490,251,6900,4910,1110,0,499,364,0,2,15,0,473,287,0,2,69,0,5,2,0,0,1,0,5,1,0,13,3,0
45,lja60,2881076,82,5958,4650,45,0,1248,15,0,0,0,0,1243,13,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
46,Dibikshya Shrestha,16060450,31,5857,1692,3824,0,307,34,0,0,0,0,303,19,0,3,14,0,0,1,0,0,0,0,0,1,0,0,2,0
47,Namrataa Namrataa,16261973,81,5830,4461,579,0,729,61,0,0,0,0,705,46,0,5,9,0,0,1,0,1,0,0,10,5,0,9,0,0
48,Mkushi_99,10618979,19,5760,2919,2095,0,718,28,0,0,0,0,715,23,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0
49,pyram,497849,48,5663,1049,4195,0,157,259,0,1,2,0,123,79,0,30,102,0,0,9,0,0,2,0,2,41,0,2,14,0
50,helnershingthapa,10291369,59,5651,3404,1307,0,546,392,0,0,2,0,532,253,0,3,118,0,0,6,0,1,1,0,0,7,0,0,4,0
51,sfrank,18052,17,5650,4151,990,0,270,225,0,2,12,0,6,6,0,90,86,0,50,55,0,3,1,0,2,12,0,25,43,0
52,Pradip Khatiwada,4789912,47,5538,4134,326,0,1038,40,0,0,0,0,1037,11,0,0,24,0,0,0,0,0,2,0,0,4,0,1,0,0
53,Pragya Pant,10967140,129,5504,1620,3196,0,252,434,0,0,2,0,231,316,0,5,62,0,2,4,0,0,7,0,1,8,0,1,1,0
54,calfarome,2511706,40,5297,3995,286,0,993,23,0,0,0,0,992,11,0,1,7,0,0,0,0,0,0,0,0,4,0,0,0,0
55,Pooh_za,16342932,42,5278,2749,1903,0,561,64,0,0,1,0,541,27,0,10,17,0,3,5,0,0,0,0,4,9,0,3,5,0
56,Sagar Ghimire7,13666113,10,5091,3409,824,0,851,7,0,0,0,0,851,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Niruta Neeupane,13116045,142,4951,3129,1641,0,120,60,0,1,0,0,111,6,0,4,25,0,0,0,0,350,24,0,5,16,0,1,6,0
58,Sujal111,17671676,29,4834,3072,1029,0,686,46,0,1,0,0,667,0,0,0,9,0,0,1,0,0,0,0,17,27,0,3,7,0
59,baum10,5507919,4,4499,2291,1675,0,464,69,0,0,0,0,461,21,0,3,31,0,0,2,0,0,0,0,0,8,0,0,7,0
60,Aarogya Pandey,11807790,91,4349,569,3600,0,149,31,0,0,0,0,100,28,0,0,1,0,0,0,0,0,0,0,2,2,0,7,0,0
61,shashish,236945,133,4239,3627,179,0,194,239,0,0,0,0,172,10,0,23,207,0,0,5,0,4,0,0,0,10,0,1,2,0
62,Bikram_rawat,11669857,20,4186,3842,19,0,321,4,0,0,0,0,225,0,0,61,2,0,3,0,0,3,0,0,17,1,0,14,1,0
63,Deepa Poudel,16341544,26,4042,3056,385,0,579,22,0,0,0,0,558,7,0,3,10,0,0,0,0,0,0,0,1,2,0,17,2,0
64,Sunil Bhattarai,10019613,45,4021,1333,2331,0,296,61,0,0,0,0,294,27,0,2,19,0,0,0,0,0,2,0,0,4,0,0,9,0
65,Bikash Titung Tamang,17472914,55,3967,2210,1436,0,236,84,0,0,1,0,191,11,0,31,58,0,4,4,0,1,9,0,0,3,0,1,5,0
66,Bibekhaudi,16010987,24,3847,2242,1072,0,479,53,0,0,1,0,475,12,0,2,20,0,1,3,0,0,2,0,1,15,0,0,0,0
67,Nikita2057,16601239,84,3805,2730,732,0,239,104,0,0,0,0,97,18,0,141,72,0,0,5,0,686,42,0,0,2,0,1,1,0
68,PontaDoOuro,10461192,60,3804,1530,1819,0,248,207,0,0,0,0,0,1,0,244,202,0,4,4,0,0,0,0,0,0,0,0,0,0
69,Rabina Poudyal,13031156,36,3793,2984,193,0,602,14,0,0,0,0,595,0,0,3,6,0,1,3,0,0,0,0,1,0,0,2,3,0
70,nishaadhikari,3481073,74,3766,2993,20,0,753,0,0,0,0,0,751,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Aadarsha Acharya,14575555,28,3647,2224,979,0,405,39,0,0,0,0,398,1,0,1,12,0,0,0,0,0,0,0,4,9,0,2,10,0
72,Blarneystone,2885609,9,3631,3383,24,0,217,7,0,0,0,0,217,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
73,AKOUETE,4274094,43,3503,673,2586,0,132,112,0,0,0,0,126,65,0,6,32,0,0,2,0,0,0,0,0,4,0,0,7,0
74,Raj khadka,13220129,64,3430,2452,532,0,421,25,0,0,0,0,327,3,0,7,19,0,0,0,0,20,4,0,3,2,0,0,0,0
75,tazara,2954501,6,3428,2696,14,0,718,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,AhmedEFRMohammedElwazery,17189393,11,3419,2789,0,0,625,5,0,0,0,0,625,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0
77,SSEKITOLEKO,7562542,50,3396,1124,1887,0,194,191,0,0,0,0,194,141,0,0,28,0,0,5,0,0,0,0,0,10,0,0,3,0
78,mahatara@hemant,14390263,53,3371,2559,402,0,401,9,0,0,0,0,365,4,0,24,2,0,6,1,0,25,0,0,1,1,0,2,0,0
79,Binisha21,17827219,11,3329,2164,814,0,326,25,0,0,0,0,308,0,0,2,9,0,0,0,0,0,0,0,10,7,0,6,7,0
80,rakshya77,14667107,174,3124,2223,618,0,248,35,0,0,0,0,220,29,0,0,4,0,0,0,0,120,8,0,0,0,0,1,0,0
81,Dwaalgast,6526843,34,3087,2455,58,0,545,28,0,1,0,0,527,15,0,16,7,0,0,0,0,0,1,0,0,4,0,1,1,0
82,Biddya,12585439,15,3079,2178,561,0,319,21,0,0,0,0,310,1,0,7,11,0,0,0,0,0,1,0,2,7,0,0,1,0
83,Mamta Kadel,13339512,8,2977,2183,169,0,623,2,0,0,0,0,623,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mag'ladroth,17465873,15,2910,2112,498,0,280,20,0,0,0,0,214,2,0,0,13,0,0,0,0,8,0,0,0,0,0,0,3,0
85,NMYR,13063448,8,2874,2864,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
86,aapdesign,6522447,14,2861,2062,320,0,474,5,0,0,0,0,473,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
87,ODULANA OLUWATOYIN,10483398,19,2829,1103,1418,0,238,64,0,6,0,0,238,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Geofreund1,179581,86,2587,2165,23,0,384,15,0,0,0,0,257,1,0,77,11,0,10,2,0,1,0,0,17,1,0,7,0,0
89,RichRico,2219338,30,2552,95,2429,0,12,16,0,0,0,0,0,9,0,1,5,0,1,1,0,0,0,0,1,1,0,0,0,0
90,Nolichucky,9090061,56,2463,781,1406,0,120,156,0,0,0,0,0,4,0,119,150,0,0,1,0,0,0,0,0,1,0,0,0,0
91,Uru23,16953156,8,2455,775,1475,0,179,26,0,0,0,0,179,15,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0
92,206jlh,17277083,4,2450,1669,559,0,198,24,0,0,0,0,184,0,0,14,7,0,0,1,0,0,0,0,0,6,0,0,7,0
93,piaco_dk,3442203,65,2426,1662,367,0,394,3,0,0,0,0,389,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Arun Kumar Bhomi,13031135,22,2401,1936,18,0,444,3,0,0,0,0,443,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0
95,Ichchha,10048594,38,2306,587,1534,0,70,115,0,0,0,0,59,87,0,9,21,0,0,2,0,0,0,0,0,2,0,0,1,0
96,Quang Huy NGUYEN,10341989,14,2281,435,1676,0,68,102,0,0,0,0,58,90,0,10,7,0,0,0,0,0,0,0,0,5,0,0,0,0
97,Pragya Joshi,13115486,81,2277,2087,113,0,70,7,0,0,0,0,70,4,0,1,2,0,0,0,0,420,10,0,1,0,0,0,0,0
98,Sachitmapper,8307763,43,2227,1205,765,0,193,64,0,0,0,0,136,0,0,26,20,0,14,18,0,1,1,0,8,5,0,9,11,0
99,Bunbury1,15750267,12,2189,310,1571,0,52,235,0,0,21,0,0,2,0,52,214,0,0,3,0,2,2,0,0,14,0,0,2,0
100,SBJC,8559089,66,2168,537,1385,0,116,130,0,0,0,0,0,1,0,116,131,0,0,0,0,0,0,0,0,0,0,0,0,0
