rank,name,profile,uid,changesets,map_changes,countries,editors,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,Aarogya Pandey,https://www.openstreetmap.org/user/Aarogya%20Pandey,11807790,263,45277,Nepal,JOSM/1.5 (18822 en),121037,25653,17684,127,506,1278,27,2,0,0,0,2,138.0,931.0,360.0,314.0,6.0,11.0,0.0,0.0,"{""highway"": 360, ""building"": 138, ""waterway"": 6, ""natural"": 2, ""type"": 2}","{""building"": 931, ""highway"": 314, ""name"": 86, ""surface"": 68, ""source"": 20, ""natural"": 19, ""waterway"": 11, ""ref"": 4, ""description"": 3, ""name:ne"": 2, ""narrow"": 1, ""ford"": 1, ""incline"": 1, ""smoothness"": 1, ""wheelchair"": 1, ""width"": 1, ""barrier"": 1, ""ref:old"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruShristi,#hotosm-project-15638,#GuruSamrat,#GuruRabina,#GuruArun,#hotosm-project-15639,#GuruAayush,#GuruDibikshya,#iTechKarnali,#mappingSaga",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
2,Ashim Paudel,https://www.openstreetmap.org/user/Ashim%20Paudel,16378761,74,13138,Nepal,JOSM/1.5 (18583 en),51835,9999,2808,2,189,140,0,0,0,0,0,2,3.0,3.0,186.0,125.0,0.0,0.0,0.0,1.0,"{""highway"": 186, ""building"": 3}","{""highway"": 125, ""surface"": 26, ""name"": 18, ""ref"": 11, ""source"": 9, ""landuse"": 6, ""sac_scale"": 4, ""tracktype"": 4, ""natural"": 4, ""building"": 3, ""ford"": 2, ""bridge"": 1, ""layer"": 1, ""amenity"": 1, ""isced:level"": 1, ""admin_level"": 1, ""boundary"": 1}","#hotosm-project-15638,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruAayush,#GuruDibikshya,#iTechKarnali,#gesan,#kll,#mapbuds,#YouthMappers,#geoneer,#naxa,#hotosm-project-15639,#hotosm-project-14898",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
3,Gremmy Dhungana,https://www.openstreetmap.org/user/Gremmy%20Dhungana,20518293,114,11023,Nepal,JOSM/1.5 (18822 en),170528,10192,0,0,572,259,0,0,0,0,0,0,0.0,28.0,555.0,159.0,5.0,10.0,0.0,0.0,"{""highway"": 555, ""waterway"": 5}","{""highway"": 159, ""natural"": 37, ""name"": 36, ""surface"": 32, ""building"": 28, ""landuse"": 18, ""source"": 11, ""waterway"": 10, ""ref"": 8, ""admin_level"": 5, ""boundary"": 5, ""route"": 4, ""area"": 2, ""water"": 1, ""narrow"": 1, ""smoothness"": 1, ""motorroad"": 1, ""intermittent"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruShristi,#hotosm-project-15639,#hotosm-project-15638,#GuruDibikshya,#GuruAayush,#iTtechKarnali,#Guruaayush,#Gurudibikshya,#itechKarnali,#techKarnali",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
4,Shrestha Shristi,https://www.openstreetmap.org/user/Shrestha%20Shristi,13253207,45,7615,Nepal,JOSM/1.5 (18822 en),59888,6741,536,2,263,73,0,0,0,0,0,0,120.0,6.0,140.0,40.0,0.0,2.0,0.0,0.0,"{""highway"": 140, ""building"": 120}","{""highway"": 40, ""surface"": 17, ""name"": 14, ""natural"": 13, ""landuse"": 11, ""ref"": 6, ""building"": 6, ""source"": 6, ""ref:old"": 3, ""waterway"": 2, ""tracktype"": 1, ""water"": 1, ""narrow"": 1, ""width"": 1, ""name:ne"": 1, ""admin_level"": 1, ""boundary"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#hotosm-project-15638,#GuruShristi,#hotosm-project-15639,#APHub,#GuruPragya,#SCS2023,#BOSC",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
5,Nischal Acharya - 642,https://www.openstreetmap.org/user/Nischal%20Acharya%20-%20642,20553756,55,7285,"Nepal,China",JOSM/1.5 (18822 en),32592,6506,328,60,276,112,3,0,0,0,1,0,1.0,16.0,272.0,56.0,0.0,3.0,0.0,0.0,"{""highway"": 272, ""building"": 1}","{""highway"": 56, ""natural"": 17, ""building"": 16, ""surface"": 16, ""landuse"": 15, ""name"": 12, ""ref"": 6, ""source"": 6, ""waterway"": 3, ""admin_level"": 3, ""boundary"": 3, ""name:ne"": 2, ""intermittent"": 2, ""description"": 2, ""ref:old"": 1, ""crop"": 1, ""leisure"": 1, ""name:en"": 1, ""name:zh"": 1}","#hotosm-project-15639,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruArun,#GuruSamrat,#GuruRabina",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
6,Sonu Sah,https://www.openstreetmap.org/user/Sonu%20Sah,17288551,29,5859,Nepal,"JOSM/1.5 (18570 en_GB),iD 2.21.1",167216,5490,1,0,352,16,0,0,0,0,0,0,0.0,0.0,345.0,5.0,2.0,6.0,0.0,0.0,"{""highway"": 345, ""waterway"": 2, ""oneway"": 2}","{""waterway"": 6, ""highway"": 5, ""natural"": 3, ""name"": 1, ""geological"": 1}","#hotosm-project-15638,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruShristi,#hotosm-project-15639,#gesan,#hot,#itechkarnali,#iTechKarnali,#OpenstreetMap,#simpliask,#seis,#MappingSaga,#OpenMapping,#OpenStreetMap,#hotosm-project-14898,#Guruaayush,#Gurudibikshya,#GESAN,#GuruAayush,#GuruDibikshya",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
7,Pavy_555,https://www.openstreetmap.org/user/Pavy_555,13339699,85,5424,Nepal,"JOSM/1.5 (18822 en),iD 2.21.1",39878,4854,60,82,277,148,3,0,0,0,8,0,0.0,0.0,273.0,133.0,0.0,9.0,0.0,0.0,"{""highway"": 273, ""ford"": 8}","{""highway"": 133, ""surface"": 32, ""name"": 26, ""source"": 15, ""waterway"": 9, ""ref"": 4, ""incline"": 3, ""width"": 3, ""landuse"": 2, ""description"": 2, ""name:ne"": 2, ""admin_level"": 2, ""boundary"": 2, ""addr:city"": 1, ""addr:street"": 1, ""bicycle"": 1, ""smoothness"": 1, ""wheelchair"": 1, ""ref:old"": 1, ""intermittent"": 1, ""alt_name"": 1, ""alt_name:ar"": 1, ""name:ar"": 1, ""name:en"": 1, ""name:hi"": 1, ""name:ur"": 1, ""name:zh"": 1, ""short_name:ar"": 1, ""narrow"": 1}","#hotosm-project-15638,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruArun,#GuruRabina,#GuruSamrat,#hotosm-project-14898,#hotosm-project-15639,#gurudibikshya,#guruaayush,#itechkarnali",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
8,Niru KC,https://www.openstreetmap.org/user/Niru%20KC,13402080,19,5395,Nepal,JOSM/1.5 (18700 en),4531,4945,176,212,31,28,2,0,1,0,4,1,1.0,2.0,30.0,24.0,0.0,0.0,0.0,0.0,"{""highway"": 30, ""surface"": 6, ""bridge:support"": 4, ""tracktype"": 2, ""bridge"": 2, ""layer"": 2, ""building"": 1, ""name"": 1, ""ref"": 1, ""source"": 1, ""width"": 1}","{""highway"": 24, ""surface"": 6, ""name"": 4, ""ref"": 4, ""building"": 2, ""landuse"": 2, ""tracktype"": 2, ""source"": 2, ""width"": 2, ""ford"": 1, ""route"": 1, ""type"": 1, ""oneway"": 1, ""ref:old"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#guruaayush,#gurudibikshya,#itechkarnali,#hotosm-project-15639,#hotosm-project-15638",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
9,Aachal312,https://www.openstreetmap.org/user/Aachal312,18313656,36,4532,"Nepal,India",JOSM/1.5 (18822 en),31812,4050,311,2,113,56,0,0,0,0,0,0,0.0,1.0,112.0,47.0,0.0,0.0,0.0,0.0,"{""highway"": 112, ""name"": 6, ""tracktype"": 1}","{""highway"": 47, ""name"": 12, ""surface"": 12, ""ref"": 7, ""source"": 6, ""natural"": 4, ""ref:old"": 3, ""landuse"": 2, ""admin_level"": 2, ""boundary"": 2, ""description"": 2, ""building"": 1, ""incline"": 1, ""smoothness"": 1, ""wheelchair"": 1, ""width"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruArun,#GuruRabina,#GuruSamrat,#hotosm-project-15638,#GuruAru,#hotosm-project-15639",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
10,Arun Kumar Bhomi,https://www.openstreetmap.org/user/Arun%20Kumar%20Bhomi,13031135,14,2755,Nepal,JOSM/1.5 (18822 en),19075,2410,259,17,37,22,9,0,1,0,1,1,1.0,0.0,36.0,18.0,0.0,2.0,0.0,0.0,"{""highway"": 36, ""ford"": 1, ""building"": 1}","{""highway"": 18, ""ref"": 7, ""source"": 5, ""name"": 4, ""surface"": 4, ""admin_level"": 2, ""boundary"": 2, ""waterway"": 2, ""ford"": 1, ""intermittent"": 1, ""route"": 1, ""type"": 1, ""int_name"": 1}","#hotosm-project-15638,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruArun,#GuruRabina,#GuruSamrat",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
11,Legit Mamba,https://www.openstreetmap.org/user/Legit%20Mamba,20570524,85,2144,Nepal,iD 2.21.1,19895,1962,1,13,113,54,1,0,0,0,2,0,2.0,0.0,34.0,6.0,39.0,2.0,0.0,0.0,"{""waterway"": 39, ""natural"": 37, ""highway"": 34, ""area"": 11, ""landuse"": 3, ""description"": 2, ""building"": 2, ""crossing"": 1, ""bicycle"": 1, ""incline"": 1, ""motor_vehicle"": 1}","{""natural"": 32, ""admin_level"": 10, ""boundary"": 10, ""highway"": 6, ""waterway"": 2, ""source"": 2, ""surface"": 2, ""landuse"": 1, ""area"": 1, ""name"": 1, ""ref"": 1, ""ref:old"": 1}","#hotosm-project-15638,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#guruaayush,#gurudibikshya,#itechkarnali,#guru",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
12,Rajeev Paudel,https://www.openstreetmap.org/user/Rajeev%20Paudel,20561228,324,1717,Nepal,iD 2.21.1,886,931,530,28,189,34,5,0,0,0,0,0,182.0,7.0,7.0,20.0,0.0,1.0,0.0,0.0,"{""building"": 182, ""highway"": 7}","{""highway"": 20, ""name"": 17, ""surface"": 10, ""building"": 7, ""landuse"": 6, ""ref"": 3, ""foot"": 2, ""waterway"": 1, ""name:ne"": 1, ""ref:old"": 1, ""source"": 1, ""horse"": 1}","#OMGuru,#APHub,#GuruShristi,#GuruPragya,#SCS2023,#BOSC,#hotosm-project-15639,#aphub,#startnetwork,#SNRMPNepal",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
13,Bibek_Karki,https://www.openstreetmap.org/user/Bibek_Karki,14580151,10,1530,Nepal,"iD 2.21.1,JOSM/1.5 (18570 en_GB)",21352,1443,37,4,34,11,1,0,0,0,0,0,0.0,0.0,34.0,9.0,0.0,1.0,0.0,0.0,"{""highway"": 34, ""foot"": 8, ""horse"": 1, ""lanes"": 1}","{""highway"": 9, ""source"": 3, ""waterway"": 1, ""admin_level"": 1, ""boundary"": 1, ""foot"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruAayush,#GuruDibikshya,#iTechKarnali,#hotosm-project-15639,#hotosm-project-15638",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
14,HBanu,https://www.openstreetmap.org/user/HBanu,14545339,38,1473,Nepal,"JOSM/1.5 (18822 en),RapiD 1.1.9-tm.1",4857,676,740,0,24,33,0,0,0,0,1,0,0.0,3.0,24.0,20.0,0.0,1.0,0.0,0.0,"{""highway"": 24, ""source"": 2, ""ford"": 1}","{""highway"": 20, ""natural"": 6, ""surface"": 4, ""building"": 3, ""landuse"": 3, ""water"": 2, ""ref"": 2, ""intermittent"": 1, ""waterway"": 1, ""description"": 1}","#hotosm-project-15639,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruDibikshaya,#iTechKarnal,#GuruAayush,#GuruDibikhshaya,#itechkarnal,#Guruaayush,#Gurudibikshya,#itechkarnali",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
15,mikko_tamura,https://www.openstreetmap.org/user/mikko_tamura,2258022,12,1314,Nepal,iD 2.21.1,13008,1126,84,12,60,32,0,0,0,0,1,2,48.0,8.0,11.0,21.0,0.0,1.0,0.0,0.0,"{""building"": 48, ""highway"": 11, ""ford"": 1, ""landuse"": 1}","{""highway"": 21, ""building"": 8, ""name"": 5, ""surface"": 5, ""ford"": 1, ""place"": 1, ""landuse"": 1, ""ref"": 1, ""ref:old"": 1, ""natural"": 1, ""waterway"": 1, ""description"": 1}","#hotosm-project-14898,#OMGuru,#aphub,#startnetwork,#SNRMPNepal,#GuruShristi,#hotosm-project-15638",2023-10-05 00:00:00+00:00,2023-11-15 13:32:46+00:00
