rank,name,profile,uid,changesets,map_changes,countries,editors,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,JensTyller,https://www.openstreetmap.org/user/JensTyller,14285156,12,2068,Denmark,"Vespucci 19.0.3.0,StreetComplete 53.3",759,1085,74,13,134,3,0,0,0,1,4,2.0,2.0,"{""building"": 5, ""barrier"": 4, ""amenity"": 2, ""highway"": 2, ""service"": 2, ""access"": 1, ""landuse"": 1}","{""building"": 120, ""source"": 67, ""building:levels"": 45, ""roof:levels"": 32, ""roof:shape"": 6, ""name"": 4, ""landuse"": 3, ""layer"": 3, ""highway"": 2, ""surface"": 2, ""barrier"": 2, ""fvst:navnelbnr"": 2, ""ref:DK:cvr"": 2, ""shop"": 2, ""amenity"": 2, ""parking"": 2, ""service"": 1, ""natural"": 1, ""addr:city"": 1, ""addr:country"": 1, ""addr:housenumber"": 1, ""addr:municipality"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""osak:identifier"": 1, ""brand"": 1, ""brand:wikidata"": 1, ""opening_hours"": 1, ""wheelchair"": 1, ""leisure"": 1, ""website"": 1, ""cuisine"": 1, ""ref:DK:cvr:pnummer"": 1, ""capacity"": 1, ""capacity:disabled"": 1, ""fee"": 1, ""roof:colour"": 1, ""roof:material"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
2,mapeadora,https://www.openstreetmap.org/user/mapeadora,1437169,10,1719,"Mexico,Belize,Guatemala",Vespucci 19.0.3.0,1585,32,2,93,7,0,0,0,0,0,0,0.0,0.0,"{""building"": 43, ""highway"": 42, ""landuse"": 7, ""surface"": 2, ""waterway"": 1}","{""highway"": 5, ""surface"": 3, ""name"": 1, ""natural"": 1, ""landuse"": 1, ""source:geometry"": 1, ""lanes"": 1, ""ref"": 1}","#geochicas,#vespucci,#hublac",2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
3,HMWamboldt,https://www.openstreetmap.org/user/HMWamboldt,701406,3,1548,Canada,Vespucci 19.0.3.0,1096,179,59,189,23,1,1,0,0,11,5,9.0,0.0,"{""building"": 163, ""source"": 14, ""highway"": 13, ""man_made"": 10, ""surface"": 10, ""amenity"": 9, ""parking"": 9, ""natural"": 2, ""name"": 2, ""waterway"": 2, ""addr:city"": 1, ""addr:housenumber"": 1, ""addr:province"": 1, ""addr:street"": 1, ""water"": 1, ""layer"": 1, ""tunnel"": 1, ""type"": 1, ""lanes"": 1}","{""source"": 23, ""highway"": 14, ""lanes"": 12, ""surface"": 12, ""name"": 10, ""addr:city"": 4, ""addr:housenumber"": 4, ""addr:street"": 4, ""building"": 3, ""waterway"": 2, ""landuse"": 2, ""addr:interpolation"": 1, ""alt_name"": 1, ""maxheight"": 1, ""ref"": 1, ""natural"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
4,une abeille,https://www.openstreetmap.org/user/une%20abeille,19693869,34,1337,Canada,StreetComplete_ee 53.32,101,302,0,0,934,0,0,0,0,101,302,89.0,31.0,"{""amenity"": 89, ""capacity"": 71, ""bicycle_parking"": 69, ""covered"": 69, ""emergency"": 11, ""fire_hydrant:type"": 10, ""name"": 3, ""operator"": 3, ""backrest"": 3, ""healthcare"": 1, ""healthcare:speciality"": 1, ""brand"": 1, ""brand:wikidata"": 1, ""network"": 1, ""network:wikidata"": 1, ""operator:wikidata"": 1}","{""building"": 749, ""addr:housenumber"": 514, ""building:levels"": 479, ""roof:levels"": 471, ""highway"": 328, ""addr:street"": 226, ""crossing"": 222, ""surface"": 179, ""tactile_paving"": 166, ""crossing:markings"": 111, ""barrier"": 94, ""kerb"": 94, ""footway"": 79, ""crossing:island"": 55, ""name"": 49, ""button_operated"": 35, ""amenity"": 31, ""traffic_signals:vibration"": 31, ""traffic_signals:sound"": 30, ""opening_hours"": 17, ""shop"": 17, ""service"": 14, ""emergency"": 12, ""fire_hydrant:type"": 12, ""covered"": 12, ""check_date:opening_hours"": 12, ""opening_hours:signed"": 12, ""fire_hydrant:position"": 11, ""phone"": 10, ""motor_vehicle"": 10, ""sidewalk"": 10, ""lit"": 9, ""capacity"": 8, ""roof:shape"": 8, ""cuisine"": 7, ""brand"": 6, ""brand:wikidata"": 6, ""addr:city"": 5, ""parking"": 5, ""leisure"": 5, ""bicycle_parking"": 4, ""access"": 4, ""addr:postcode"": 4, ""material"": 4, ""wheelchair"": 3, ""addr:province"": 3, ""website"": 3, ""operator"": 3, ""check_date"": 2, ""denomination"": 2, ""religion"": 2, ""healthcare"": 2, ""source"": 2, ""fee"": 2, ""takeaway"": 2, ""female"": 2, ""male"": 2, ""diet:vegetarian"": 2, ""backrest"": 2, ""bicycle_rental"": 2, ""network"": 2, ""network:wikidata"": 2, ""operator:wikidata"": 2, ""old_name"": 1, ""healthcare:speciality"": 1, ""language:en"": 1, ""addr:suburb"": 1, ""delivery"": 1, ""drive_through"": 1, ""disused:shop"": 1, ""name:en"": 1, ""office"": 1, ""brand:wikipedia"": 1, ""not:brand:wikidata"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
5,AdamTheWebMan,https://www.openstreetmap.org/user/AdamTheWebMan,1210724,1,1326,United States of America,Vespucci 19.1.0.1,1089,26,4,173,33,1,0,0,0,159,16,7.0,3.0,"{""power"": 175, ""barrier"": 59, ""building"": 53, ""addr:city"": 38, ""addr:country"": 38, ""addr:postcode"": 38, ""addr:state"": 38, ""addr:street"": 38, ""highway"": 35, ""addr:housenumber"": 33, ""frequency"": 29, ""lamp_type"": 19, ""leisure"": 7, ""amenity"": 7, ""line_management"": 6, ""access"": 6, ""name"": 6, ""parking"": 5, ""foot"": 3, ""park_ride"": 3, ""location:transition"": 2, ""baby"": 2, ""playground"": 2, ""service"": 2, ""shop"": 2, ""transformer"": 1, ""age_group"": 1, ""material"": 1, ""max_age"": 1, ""min_age"": 1, ""guyed"": 1, ""stop"": 1, ""sport"": 1, ""surface"": 1, ""branch"": 1, ""brand"": 1, ""brand:wikidata"": 1, ""brand:wikipedia"": 1, ""office"": 1, ""phone"": 1, ""layer"": 1, ""denomination"": 1, ""ele"": 1, ""gnis:county_id"": 1, ""gnis:created"": 1, ""gnis:feature_id"": 1, ""gnis:state_id"": 1, ""religion"": 1, ""landuse"": 1, ""fireplace"": 1, ""shelter_type"": 1, ""bicycle"": 1, ""lit"": 1, ""addr:full"": 1, ""smoothness"": 1, ""place"": 1}","{""power"": 26, ""highway"": 15, ""frequency"": 12, ""addr:city"": 10, ""addr:postcode"": 10, ""addr:state"": 10, ""addr:street"": 10, ""building"": 10, ""addr:country"": 9, ""name"": 8, ""material"": 8, ""layer"": 7, ""lamp_type"": 6, ""addr:housenumber"": 6, ""tiger:cfcc"": 4, ""tiger:county"": 4, ""tiger:reviewed"": 4, ""access"": 4, ""amenity"": 3, ""line_management"": 3, ""service"": 3, ""transformer"": 2, ""tiger:name_base"": 2, ""tiger:name_type"": 2, ""tiger:zip_left"": 2, ""tiger:zip_right"": 2, ""brand"": 2, ""brand:wikidata"": 2, ""brand:wikipedia"": 2, ""ele"": 1, ""gnis:county_id"": 1, ""gnis:created"": 1, ""gnis:feature_id"": 1, ""gnis:state_id"": 1, ""tiger:name_direction_prefix"": 1, ""oneway"": 1, ""parking"": 1, ""leisure"": 1, ""sport"": 1, ""bicycle"": 1, ""attraction"": 1, ""contact:website"": 1, ""phone"": 1, ""shop"": 1, ""toilets:wheelchair"": 1, ""self_service"": 1, ""building:use"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
6,GeographyOreo,https://www.openstreetmap.org/user/GeographyOreo,9415055,3,1323,United States of America,Go Map!! 3.4.8,43,1275,0,5,0,0,0,0,0,0,2,0.0,0.0,"{""building"": 3, ""highway"": 2}","{""leisure"": 1, ""note"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
7,cMartin,https://www.openstreetmap.org/user/cMartin,128287,72,1243,Germany,StreetComplete 53.3,1,74,1,6,1160,0,0,1,0,0,74,0.0,25.0,"{""highway"": 6, ""surface"": 4, ""name"": 2, ""tracktype"": 1}","{""building"": 724, ""addr:housenumber"": 519, ""addr:street"": 514, ""addr:city"": 493, ""addr:country"": 493, ""addr:postcode"": 493, ""addr:suburb"": 493, ""highway"": 420, ""surface"": 386, ""building:levels"": 356, ""roof:levels"": 356, ""name"": 347, ""sidewalk"": 242, ""smoothness"": 221, ""roof:shape"": 179, ""maxspeed:type"": 165, ""lane_markings"": 103, ""lit"": 81, ""maxspeed"": 58, ""ref"": 53, ""lanes"": 52, ""priority_road"": 45, ""source:maxspeed"": 39, ""tracktype"": 30, ""amenity"": 25, ""public_transport"": 21, ""shelter"": 20, ""material"": 20, ""power"": 20, ""railway"": 19, ""bench"": 18, ""lanes:backward"": 17, ""parking"": 16, ""bin"": 15, ""operator"": 15, ""emergency"": 15, ""fire_hydrant:position"": 15, ""fire_hydrant:type"": 15, ""water_source"": 15, ""contact:phone"": 14, ""fire_hydrant:diameter"": 14, ""bus"": 13, ""wheelchair"": 12, ""service"": 12, ""bicycle"": 12, ""sidewalk:right:surface"": 12, ""tactile_paving"": 11, ""access"": 11, ""sidewalk:both:surface"": 10, ""horse"": 10, ""traffic_sign"": 10, ""vehicle"": 10, ""contact:website"": 9, ""train"": 8, ""loc_name"": 8, ""short_name"": 8, ""sidewalk:left:surface"": 8, ""check_date:shelter"": 7, ""contact:email"": 7, ""tourism"": 7, ""source"": 7, ""oneway"": 7, ""width"": 6, ""turn:lanes:backward"": 6, ""contact:fax"": 5, ""fee"": 4, ""turn:lanes:forward"": 4, ""shop"": 4, ""cuisine"": 3, ""check_date"": 3, ""old_ref"": 3, ""information"": 3, ""leisure"": 3, ""opening_hours"": 3, ""barrier"": 3, ""leaf_type"": 3, ""website"": 2, ""mtb:scale"": 2, ""cycleway:both"": 2, ""shoulder"": 2, ""capacity"": 2, ""bollard"": 2, ""foot"": 2, ""piste:type"": 2, ""contact:mobile"": 2, ""female"": 2, ""male"": 2, ""check_date:surface"": 2, ""landuse"": 2, ""sport"": 2, ""ele"": 1, ""railway:ref"": 1, ""uic_name"": 1, ""uic_ref"": 1, ""usage"": 1, ""wikidata"": 1, ""wikipedia"": 1, ""description"": 1, ""historic"": 1, ""memorial"": 1, ""smoking"": 1, ""collection_times"": 1, ""cash_in"": 1, ""ascent"": 1, ""distance"": 1, ""network"": 1, ""roundtrip"": 1, ""route"": 1, ""type"": 1, ""recycling:glass_bottles"": 1, ""recycling_type"": 1, ""outdoor_seating"": 1, ""office"": 1, ""isced:level"": 1, ""natural"": 1, ""backrest"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
8,FarLine99,https://www.openstreetmap.org/user/FarLine99,19227389,53,1166,Russian Federation,Vespucci 19.0.3.0,239,519,111,104,153,37,0,3,0,26,26,6.0,9.0,"{""highway"": 82, ""leisure"": 19, ""name"": 11, ""building"": 11, ""amenity"": 6, ""addr:housenumber"": 4, ""addr:street"": 4, ""shop"": 4, ""brand"": 3, ""brand:wikidata"": 3, ""level"": 3, ""name:en"": 3, ""contact:phone"": 3, ""contact:website"": 3, ""surface"": 3, ""building:levels"": 3, ""landuse"": 3, ""residential"": 3, ""opening_hours"": 2, ""brand:wikipedia"": 2, ""contact:email"": 2, ""contact:facebook"": 2, ""contact:instagram"": 2, ""contact:ok"": 2, ""contact:skype"": 2, ""contact:telegram"": 2, ""contact:twitter"": 2, ""contact:viber"": 2, ""contact:vk"": 2, ""contact:whatsapp"": 2, ""contact:youtube"": 2, ""barrier"": 2, ""brand:en"": 1, ""brand:ru"": 1, ""check_date"": 1, ""name:ru"": 1, ""access"": 1, ""sport"": 1, ""type"": 1}","{""highway"": 116, ""name"": 35, ""building"": 19, ""surface"": 17, ""barrier"": 17, ""addr:housenumber"": 13, ""addr:street"": 13, ""landuse"": 10, ""amenity"": 9, ""residential"": 8, ""ref"": 6, ""lit"": 5, ""building:levels"": 5, ""type"": 4, ""crossing"": 4, ""leisure"": 4, ""fence_type"": 4, ""ownership"": 4, ""alt_name"": 3, ""brand"": 3, ""brand:wikidata"": 3, ""name:en"": 3, ""shop"": 3, ""operator"": 3, ""crossing:island"": 3, ""maxspeed"": 3, ""source:maxspeed"": 3, ""official_name"": 3, ""brand:wikipedia"": 2, ""contact:email"": 2, ""contact:facebook"": 2, ""contact:instagram"": 2, ""contact:ok"": 2, ""contact:phone"": 2, ""contact:vk"": 2, ""contact:website"": 2, ""from"": 2, ""network"": 2, ""route"": 2, ""to"": 2, ""traffic_calming"": 2, ""foot"": 2, ""lanes"": 2, ""living_street"": 2, ""brand:en"": 1, ""name:ru"": 1, ""bench"": 1, ""bus"": 1, ""public_transport"": 1, ""shelter"": 1, ""footway"": 1, ""contact:skype"": 1, ""contact:telegram"": 1, ""contact:twitter"": 1, ""contact:viber"": 1, ""contact:whatsapp"": 1, ""contact:youtube"": 1, ""level"": 1, ""sport"": 1, ""direction"": 1, ""name:etymology:wikidata"": 1, ""industrial"": 1, ""traffic_signals"": 1, ""tactile_paving"": 1, ""button_operated"": 1, ""name:uk"": 1, ""power"": 1, ""rating"": 1, ""substation"": 1, ""voltage"": 1, ""electrified"": 1, ""gauge"": 1, ""railway"": 1, ""railway:track_ref"": 1, ""service"": 1, ""bridge"": 1, ""layer"": 1, ""natural"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
9,WN6,https://www.openstreetmap.org/user/WN6,10050806,4,861,France,Vespucci 19.0.3.0,752,69,14,10,15,0,0,1,0,0,0,0.0,1.0,"{""landuse"": 8, ""highway"": 2, ""tracktype"": 1}","{""landuse"": 9, ""leaf_type"": 4, ""highway"": 3, ""natural"": 2, ""tracktype"": 1, ""name"": 1, ""amenity"": 1, ""type"": 1, ""leaf_cycle"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
10,DaCor,https://www.openstreetmap.org/user/DaCor,578519,58,848,Ireland,StreetComplete 53.3,0,45,0,0,803,0,0,0,0,0,45,0.0,26.0,{},"{""highway"": 658, ""surface"": 635, ""lit"": 453, ""footway"": 328, ""name"": 194, ""tactile_paving"": 132, ""building"": 118, ""crossing"": 97, ""crossing:island"": 96, ""name:ga"": 92, ""ref"": 78, ""maxspeed"": 71, ""name:en"": 71, ""lanes"": 58, ""sidewalk"": 58, ""crossing:markings"": 53, ""public_transport"": 45, ""shelter"": 45, ""addr:housenumber"": 44, ""bicycle"": 42, ""addr:street"": 40, ""source:maxspeed"": 38, ""oneway"": 34, ""logainm:ref"": 34, ""logainm:url"": 34, ""bench"": 33, ""building:levels"": 33, ""bus"": 30, ""amenity"": 26, ""junction"": 25, ""foot"": 23, ""traffic_calming"": 23, ""source"": 22, ""bin"": 21, ""wheelchair"": 20, ""button_operated"": 18, ""segregated"": 17, ""smoothness"": 17, ""service"": 16, ""opening_hours"": 15, ""addr:city"": 15, ""area"": 15, ""brand"": 14, ""brand:wikidata"": 14, ""access"": 12, ""operator"": 12, ""traffic_signals:sound"": 11, ""horse"": 11, ""width"": 11, ""railway"": 10, ""train"": 10, ""shop"": 10, ""incline"": 10, ""check_date"": 9, ""website"": 9, ""changing_table"": 8, ""fee"": 8, ""traffic_signals:vibration"": 7, ""toilets:disposal"": 6, ""unisex"": 6, ""brand:wikipedia"": 6, ""cycleway"": 6, ""cycleway:surface"": 6, ""phone"": 6, ""parking"": 6, ""cash_in"": 5, ""level"": 5, ""operator:wikidata"": 5, ""motor_vehicle"": 5, ""addr:housename"": 5, ""charge"": 4, ""operator:wikipedia"": 4, ""toilets"": 4, ""fixme"": 4, ""bridge"": 3, ""layer"": 3, ""male"": 3, ""addr:postcode"": 3, ""cycleway:both"": 3, ""compressed_air"": 3, ""network"": 3, ""network:wikidata"": 3, ""network:wikipedia"": 3, ""payment:mastercard"": 3, ""payment:visa"": 3, ""lanes:backward"": 2, ""lanes:forward"": 2, ""cuisine"": 2, ""official_name"": 2, ""takeaway"": 2, ""tracktype"": 2, ""check_date:surface"": 2, ""footway:surface"": 2, ""traffic_signals:direction"": 2, ""email"": 2, ""healthcare"": 2, ""mapillary"": 2, ""survey:date"": 2, ""fuel:diesel"": 2, ""fuel:octane_95"": 2, ""self_service"": 2, ""government"": 1, ""office"": 1, ""drive_through"": 1, ""indoor"": 1, ""maxspeed:type"": 1, ""note:ga"": 1, ""indoor_seating"": 1, ""bridge:structure"": 1, ""man_made"": 1, ""wikidata"": 1, ""lane_markings"": 1, ""addr:unit"": 1, ""description"": 1, ""healthcare:speciality"": 1, ""female"": 1, ""hairdresser"": 1, ""service:vehicle:brakes"": 1, ""service:vehicle:car_repair"": 1, ""service:vehicle:electrical"": 1, ""service:vehicle:oil_change"": 1, ""service:vehicle:tyres"": 1, ""brand:website"": 1, ""departures_board"": 1, ""cycleway:left"": 1, ""cycleway:left:lane"": 1, ""short_name"": 1}",,2023-07-23 00:00:00+00:00,2023-07-24 00:00:00+00:00
