rank,uid,profile,start_date,end_date,name,changesets,map_changes,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,countries,editors,hashtags,tags_create,tags_modify
1,14889195,https://www.openstreetmap.org/user/Noel%20Samson,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Noel Samson,504.0,54798.0,0.0,45496.0,3.0,24.0,9264.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,9264.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,"Kenya,Somalia,Ethiopia",JOSM/1.5 (18303 en),"#hotosm-project-15390,#fao_swalim,#hotosm-project-15387,#hotosm-project-15400,#hotosm-project-15258,#hotosm-project-15402,#hotosm-project-15227,#hotosm-project-15254,#hotosm-project-15385,#addedbuildings,#hotosm-project-15226,#hotosm-project-15401,#hotosm-project-15388,#hotosm-project-15256,#hotosm-project-15409,#hotosm-project-15392,#omhesa,#hotosm-project-15255,#fao_rtea,#elinino2023,#hotosm-project-15232,#hotosm-project-15233,#hotosm-project-15234,#hotosm-project-15405,#hotosm-project-15225,#elnino2023,#hotosm-project-15386","{""building"": 9264}","{""building"": 3, ""highway"": 2, ""surface"": 2}"
2,2916048,https://www.openstreetmap.org/user/Norbert%20Dichter,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Norbert Dichter,436.0,45899.0,40898.0,37591.0,1739.0,202.0,6215.0,112.0,37.0,3.0,0.0,0.0,10.0,0.0,6188.0,62.0,9.0,44.0,1.0,0.0,0.0,1.0,Somalia,"JOSM/1.5 (18789 en),iD 2.21.1","#fao_swalim,#hotosm-project-15255,#hotosm-project-15227,#fao_rtea,#hotosm-project-15233,#hotosm-project-15232,#hotosm-project-15254,#hotosm-project-15234,#elinino2023,#hotosm-project-15226,#omhesa,#hotosm-project-15225,#elnino2023","{""building"": 6188, ""name"": 17, ""highway"": 9, ""type"": 3, ""source"": 2, ""junction"": 2, ""waterway"": 1}","{""building"": 62, ""highway"": 44, ""surface"": 39, ""tracktype"": 4, ""landuse"": 3, ""source"": 3, ""attribution"": 2, ""name"": 1, ""religion"": 1, ""fixme"": 1, ""amenity"": 1}"
3,17570857,https://www.openstreetmap.org/user/Ziyadatul%20Hikmah,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Ziyadatul Hikmah,287.0,44398.0,19393.0,34633.0,1419.0,304.0,7617.0,370.0,45.0,10.0,0.0,0.0,1.0,1.0,7470.0,26.0,134.0,331.0,1.0,1.0,0.0,2.0,"Kenya,Somalia,Ethiopia","JOSM/1.5 (18789 en),iD 2.21.1","#fao_swalim,#fao_rtea,#omhesa,#elnino2023,#hotosm-project-15372,#hotosm-project-15402,#hotosm-project-15386","{""building"": 7470, ""highway"": 134, ""type"": 10, ""access"": 3, ""service"": 2, ""motorcar"": 2, ""parking"": 1, ""track"": 1, ""waterway"": 1, ""oneway"": 1, ""surface"": 1, ""landuse"": 1, ""source"": 1}","{""highway"": 331, ""motorcar"": 31, ""building"": 26, ""source"": 23, ""surface"": 11, ""oneway"": 10, ""service"": 6, ""access"": 2, ""amenity"": 2, ""landuse"": 2, ""fixme"": 2, ""aeroway"": 2, ""name"": 1, ""ele"": 1, ""parking"": 1, ""length"": 1, ""waterway"": 1, ""maxspeed"": 1, ""wikidata"": 1, ""ref"": 1, ""iata"": 1, ""wikipedia"": 1}"
4,13771025,https://www.openstreetmap.org/user/Angela%20M%20Naluonde,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Angela M Naluonde,197.0,44177.0,0.0,13113.0,27088.0,889.0,2287.0,737.0,59.0,4.0,0.0,0.0,1.0,5.0,2286.0,578.0,0.0,111.0,0.0,25.0,0.0,0.0,"Somalia,United Republic of Tanzania,Kenya",JOSM/1.5 (18427 en),"#hotosm-project-15390,#fao_swalim,#hotosm-project-15383,#fao_rtea,#hotosm-project-15254,#elinino2023,#hotosm-project-15385,#hotosm-project-15234,#hotosm-project-15387,#hotosm-project-15226,#hotosm-project-15409,#omhesa,#hotosm-project-15225,#elnino2023,#krcs-elnino-mapping,#hotosm-project-15386","{""building"": 2286, ""type"": 4, ""natural"": 1, ""ford"": 1}","{""building"": 578, ""highway"": 111, ""surface"": 99, ""waterway"": 25, ""name"": 17, ""tracktype"": 10, ""source"": 8, ""intermittent"": 8, ""natural"": 7, ""water"": 6, ""barrier"": 6, ""landuse"": 3, ""man_made"": 2, ""tower:type"": 2, ""wikidata"": 1, ""place"": 1, ""ford"": 1, ""fixme"": 1, ""attribution"": 1, ""wikipedia"": 1}"
5,14364367,https://www.openstreetmap.org/user/severino%20chundu,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,severino chundu,228.0,42631.0,0.0,35265.0,12.0,0.0,7352.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7352.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kenya,Somalia,Ethiopia",JOSM/1.5 (18789 en),"#fao_swalim,#hotosm-project-15255,#fao_rtea,#hotosm-project-15254,#hotosm-project-15385,#hotosm-project-15387,#hotosm-project-15405,#hotosm-project-15400,#omhesa,#hotosm-project-15371,#hotosm-project-15258,#elnino2023","{""building"": 7352}","{""building"": 2}"
6,13063701,https://www.openstreetmap.org/user/youngmapper,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,youngmapper,170.0,34695.0,196.0,25848.0,3516.0,300.0,4807.0,181.0,24.0,19.0,0.0,0.0,0.0,1.0,4788.0,153.0,1.0,21.0,0.0,1.0,0.0,0.0,"Kenya,Somalia,Ethiopia",JOSM/1.5 (18772 en),"#youtrhmappersfuta,#fao_swalim,#hotosm-project-15255,#hotosm-project-15227,#fao_rtea,#hotosm-project-15233,#hotosm-project-15254,#elinino2023,#hotosm-project-15234,#hotosm-project-15387,#hotosm-project-15256,#hotosm-project-15226,#hotosm-project-15400,#omhesa,#hotosm-project-15401,#youthmappersfuta,#elnino2023,#hotosm-project-15395","{""building"": 4788, ""type"": 19, ""barrier"": 2, ""highway"": 1}","{""building"": 153, ""highway"": 21, ""surface"": 18, ""source"": 4, ""landuse"": 3, ""tracktype"": 1, ""intermittent"": 1, ""waterway"": 1, ""attribution"": 1, ""place"": 1}"
7,9379491,https://www.openstreetmap.org/user/Awania%20Morish,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Awania Morish,60.0,28148.0,0.0,22538.0,452.0,21.0,5097.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,5096.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,Somalia,JOSM/1.5 (18789 en),"#fao_swalim,#fao_rtea,#hotosm-project-15256,#omhesa,#hotosm-project-15258,#elnino2023","{""building"": 5096, ""highway"": 1}","{""highway"": 39, ""surface"": 34}"
8,7159298,https://www.openstreetmap.org/user/KingVik,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,KingVik,224.0,27664.0,897.0,15731.0,7674.0,471.0,3613.0,113.0,55.0,7.0,0.0,0.0,0.0,22.0,3601.0,82.0,5.0,19.0,2.0,7.0,0.0,0.0,"Somalia,Kenya",JOSM/1.5 (18789 en),"#fao_swalim,#fao_rtea,#hotosm-project-15233,#hotosm-project-15232,#hotosm-project-15385,#hotosm-project-15254,#elinino2023,#omhesa,#hotosm-project-15225,#hotosm-project-15388,#elnino2023","{""building"": 3601, ""type"": 7, ""highway"": 5, ""name"": 2, ""intermittent"": 2, ""waterway"": 2, ""alt_name"": 2, ""surface"": 2, ""layer"": 1, ""tunnel"": 1, ""source"": 1}","{""building"": 82, ""ford"": 21, ""surface"": 19, ""highway"": 19, ""waterway"": 7, ""name"": 6, ""source"": 5, ""natural"": 2, ""tracktype"": 1, ""leisure"": 1, ""boundary"": 1, ""protection_title"": 1, ""wetland"": 1, ""boat"": 1, ""intermittent"": 1, ""alt_name"": 1, ""protect_class"": 1, ""place"": 1}"
9,13261176,https://www.openstreetmap.org/user/Joseph%20Munyenze%20Kathukya,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Joseph Munyenze Kathukya,232.0,26728.0,0.0,20849.0,868.0,175.0,4704.0,107.0,23.0,2.0,0.0,0.0,0.0,0.0,4701.0,76.0,0.0,26.0,0.0,0.0,0.0,0.0,"Kenya,Somalia,Ethiopia",JOSM/1.5 (18678 en),"#fao_swalim,#fao_rtea,#hotosm-project-15254,#AGGES,#hotosm-project-15400,#omhesa,#hotosm-project-15371,#hotosm-project-15258,#elnino2023,#hotosm-project-15395","{""building"": 4701, ""source"": 107, ""type"": 2}","{""building"": 76, ""highway"": 26, ""surface"": 21, ""tracktype"": 1}"
10,11628862,https://www.openstreetmap.org/user/Kraan46,2023-07-30 00:00:00+00:00,2023-08-27 03:14:16+00:00,Kraan46,261.0,25018.0,319.0,9007.0,9440.0,3742.0,1820.0,350.0,642.0,16.0,0.0,1.0,0.0,0.0,1814.0,326.0,1.0,11.0,0.0,0.0,0.0,1.0,"Somalia,Kenya",JOSM/1.5 (18789 en),"#fao_swalim,#hotosm-project-15383,#fao_rtea,#elinino2023,#hotosm-project-15234,#hotosm-project-15387,#hotosm-project-15226,#hotosm-project-15392,#omhesa,#hotosm-project-15225,#elnino2023","{""building"": 1814, ""type"": 16, ""highway"": 1, ""surface"": 1}","{""building"": 326, ""highway"": 11, ""surface"": 9, ""amenity"": 1, ""landuse"": 1}"
