rank,name,profile,uid,changesets,map_changes,countries,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,Mag'ladroth,https://www.openstreetmap.org/user/Mag%27ladroth,17465873,7,5390,Turkey,4409,104,0,861,14,0,2,0,0,0,1,841,1,18,13,0,0,0,1,"{""building"": 841, ""source"": 268, ""highway"": 18, ""type"": 2}","{""highway"": 13, ""source"": 12, ""amenity"": 1, ""healthcare"": 1, ""name"": 1, ""phone"": 1, ""building"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey,#SMforST2023,#youthmappers,#gesan",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
2,AayushChand123,https://www.openstreetmap.org/user/AayushChand123,14357745,13,2939,Syrian Arab Republic,1447,1127,12,317,36,0,0,0,0,0,14,315,21,2,13,0,0,0,13,"{""building"": 315, ""highway"": 2}","{""building"": 21, ""name"": 15, ""amenity"": 13, ""highway"": 13, ""healthcare"": 7, ""operator"": 7, ""dispensing"": 5, ""name:ar"": 2, ""shop"": 2, ""tourism"": 1, ""name:en"": 1}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#OSMNepal,#GESAN,#KLL,#YouthMappers,#geoneer,#naxa,#mapbuds,#SMforST2023",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
3,Manoj Thapa,https://www.openstreetmap.org/user/Manoj%20Thapa,781054,10,2716,Syrian Arab Republic,1080,1043,214,229,104,46,0,0,0,0,0,219,85,10,16,0,0,0,0,"{""building"": 219, ""highway"": 10, ""source"": 2}","{""building"": 85, ""highway"": 16, ""source"": 6, ""landuse"": 3, ""surface"": 2, ""residential"": 2}","#hotosm-project-14246,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps,#osmnepal,#kll,#SMforST2023",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
4,frozenrabi,https://www.openstreetmap.org/user/frozenrabi,10459757,11,2424,Turkey,1094,990,93,190,55,2,0,0,0,0,0,175,47,4,8,0,0,0,1,"{""building"": 175, ""man_made"": 11, ""highway"": 4, ""bridge"": 1, ""layer"": 1}","{""building"": 47, ""source"": 28, ""highway"": 8, ""man_made"": 2, ""amenity"": 1, ""denomination"": 1, ""religion"": 1}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#ges,#mapbuds,#osmnepal,#frozenrabi,#SMforST2023,#hotosm-project-14233,#yercizenler,#turkiye,#turkey",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
5,Rabin Ojha,https://www.openstreetmap.org/user/Rabin%20Ojha,6075053,13,2312,Syrian Arab Republic,630,1291,128,84,159,20,0,0,0,0,0,67,78,13,58,3,8,0,0,"{""building"": 67, ""highway"": 13, ""waterway"": 3, ""layer"": 2, ""source"": 2, ""ruins:building"": 1}","{""building"": 78, ""highway"": 58, ""landuse"": 14, ""source"": 10, ""waterway"": 8, ""surface"": 4, ""ruins:building"": 3, ""int_ref"": 1, ""oneway"": 1, ""ref"": 1, ""bridge"": 1, ""layer"": 1}","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#nibar,#youthmappers,#osmnepal,#SMforST2023,#hotosm-project-14230,#kll,#gesan",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
6,Gaurav Parajuli,https://www.openstreetmap.org/user/Gaurav%20Parajuli,8316170,9,2219,"Turkey,Syrian Arab Republic",657,1424,17,79,42,0,0,0,0,4,1,73,15,5,21,1,4,1,0,"{""building"": 73, ""highway"": 5, ""ford"": 3, ""source"": 2, ""amenity"": 1, ""waterway"": 1}","{""source"": 33, ""highway"": 21, ""building"": 15, ""waterway"": 4, ""landuse"": 2, ""intermittent"": 2, ""man_made"": 1, ""tower:type"": 1, ""residential"": 1, ""name"": 1, ""tracktype"": 1, ""junction"": 1, ""layer"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey,#gaurav,#osmnepal,#gesan,#mapbuds,#youthmappers,#SMforST2023,#hotosm-project-14230,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
7,HarryKMapper,https://www.openstreetmap.org/user/HarryKMapper,18434194,6,2182,Turkey,1639,197,16,316,14,0,0,0,0,2,22,303,4,12,9,0,0,2,21,"{""building"": 303, ""highway"": 12, ""source"": 4, ""amenity"": 2, ""generator:method"": 1, ""generator:output:electricity"": 1, ""generator:source"": 1, ""generator:type"": 1, ""power"": 1}","{""amenity"": 21, ""source"": 10, ""highway"": 9, ""building"": 4, ""man_made"": 1, ""landuse"": 1}","#hotosm-project-14264,#TürkiyeEQ060223,#yercizenler,#turkey,#turkiye,#uhuzam,#cscrs,#SMforST2023",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
8,Sawan Shariar,https://www.openstreetmap.org/user/Sawan%20Shariar,2913188,3,1694,Syrian Arab Republic,1053,352,53,212,15,8,1,0,0,0,0,186,5,26,6,0,0,0,0,"{""building"": 186, ""highway"": 26, ""type"": 1}","{""highway"": 6, ""building"": 5, ""landuse"": 4, ""oneway"": 2}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#SMforST2023",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
9,Shahriar Hassan,https://www.openstreetmap.org/user/Shahriar%20Hassan,12214698,3,1642,Syrian Arab Republic,1348,4,5,270,14,1,0,0,0,0,0,263,5,7,4,0,0,0,0,"{""building"": 263, ""highway"": 7, ""layer"": 1}","{""building"": 5, ""highway"": 4, ""source"": 3, ""admin_level"": 2, ""boundary"": 2, ""landuse"": 1, ""layer"": 1}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#SMforST2023",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
10,JoshuaOrais,https://www.openstreetmap.org/user/JoshuaOrais,13882764,3,1596,"Syrian Arab Republic,Turkey",1272,87,37,183,17,0,0,0,0,0,0,168,10,15,7,0,0,0,0,"{""building"": 168, ""source"": 121, ""highway"": 15}","{""building"": 10, ""highway"": 7, ""source"": 7, ""surface"": 2}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#SMforST2023,#hotosm-project-14262,#yercizenler,#turkiye,#turkey,#phfortrsy,#ymph23",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
11,Ashok Thakulla,https://www.openstreetmap.org/user/Ashok%20Thakulla,10963925,5,1436,Syrian Arab Republic,1112,60,0,264,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,"{""building"": 264}",{},"#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#SMforST2023,#ges",2023-02-24 00:00:00+00:00,2023-02-25 00:00:00+00:00
