rank,uid,profile,start_date,end_date,name,changesets,map_changes,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tasks_mapped,tasks_validated,tasks_total,countries,editors,hashtags,tags_create,tags_modify
1,2112246,https://www.openstreetmap.org/user/yunita%20sari,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,yunita sari,170.0,125641.0,110837.0,101121.0,2777.0,128.0,21019.0,571.0,25.0,0.0,0.0,0.0,0.0,5.0,20249.0,34.0,605.0,476.0,2.0,4.0,9.0,8.0,198.0,0.0,198.0,Syrian Arab Republic,iD 2.21.1,"#OMHAP,#TürkiyeEQ060223,#Syria,#hotosm-project-14230,#SMforST2023,#AKDN,#MissingMaps","{""building"": 20249, ""highway"": 605, ""landuse"": 162, ""name"": 23, ""amenity"": 9, ""layer"": 5, ""bridge"": 3, ""religion"": 3, ""shop"": 3, ""dispensing"": 2, ""tunnel"": 2, ""waterway"": 2, ""healthcare"": 2, ""office"": 2, ""leisure"": 1}","{""highway"": 476, ""source"": 58, ""landuse"": 50, ""building"": 34, ""oneway"": 28, ""name"": 24, ""ref"": 17, ""name:en"": 13, ""name:ar"": 9, ""amenity"": 8, ""layer"": 5, ""description"": 4, ""waterway"": 4, ""religion"": 3, ""tunnel"": 3, ""int_ref"": 2, ""dispensing"": 2, ""railway"": 2, ""alt_name"": 2, ""healthcare"": 2, ""name:fr"": 1, ""is_in"": 1, ""boundary"": 1, ""name:ar1"": 1, ""operator"": 1, ""craft"": 1, ""natural"": 1, ""bridge"": 1, ""name:ru"": 1, ""maxspeed"": 1, ""government"": 1, ""junction"": 1, ""place"": 1, ""building:levels"": 1, ""surface"": 1, ""lanes"": 1, ""usage"": 1, ""name:alt"": 1, ""name:de"": 1, ""level"": 1, ""highres"": 1, ""office"": 1}"
2,781054,https://www.openstreetmap.org/user/Manoj%20Thapa,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,Manoj Thapa,156.0,35569.0,16186.0,17665.0,13137.0,3.0,3954.0,810.0,0.0,0.0,0.0,0.0,1.0,7.0,3888.0,447.0,66.0,311.0,0.0,4.0,0.0,2.0,17.0,252.0,269.0,"Turkey,Syrian Arab Republic",JOSM/1.5 (18570 en),"#hotosm-project-14246,#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#OMHAP,#turkiye,#hotosm-project-14235,#hotosm-project-14233,#yercizenler,#kll,#hotosm-project-14234,#SMforST2023,#turkey,#AKDN,#MissingMaps,#osmnepal","{""building"": 3888, ""highway"": 66, ""source"": 12, ""bridge"": 2, ""layer"": 2, ""power"": 1}","{""building"": 447, ""highway"": 311, ""source"": 258, ""landuse"": 41, ""name"": 10, ""oneway"": 7, ""surface"": 7, ""power"": 6, ""ref"": 6, ""layer"": 5, ""waterway"": 4, ""natural"": 3, ""name:ar"": 3, ""residential"": 3, ""barrier"": 3, ""ref:ar"": 2, ""amenity"": 2, ""tunnel"": 2, ""name:fr"": 1, ""int_name"": 1, ""name:ar1"": 1, ""bridge"": 1, ""voltage"": 1, ""religion"": 1, ""alt_name"": 1, ""addr:district"": 1, ""name:en"": 1, ""addr:city"": 1, ""name:de"": 1, ""addr:neighbourhood"": 1, ""addr:street"": 1, ""cables"": 1}"
3,18539471,https://www.openstreetmap.org/user/Indah%20Sal,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,Indah Sal,244.0,25546.0,4971.0,14684.0,7075.0,378.0,3103.0,243.0,63.0,0.0,0.0,0.0,104.0,15.0,3035.0,105.0,68.0,133.0,0.0,0.0,14.0,13.0,10.0,0.0,10.0,"Turkey,Syrian Arab Republic","iD 2.25.1,iD 2.21.1,iD 2.24.2","#AKDN,#TürkiyeEQ060223,#Syria,#maproulette,#hotosm-project-14230,#turkiye,#OMHAP,#yercizenler,#SMforST2023,#turkey,#hotosm,#smforst2023,#MissingMaps","{""building"": 3035, ""addr:district"": 103, ""name"": 103, ""check_date"": 103, ""source"": 103, ""note"": 103, ""fixme"": 102, ""shop"": 89, ""phone"": 81, ""highway"": 68, ""amenity"": 14, ""healthcare"": 14, ""railway"": 1, ""layer"": 1}","{""highway"": 133, ""building"": 105, ""name"": 22, ""source"": 15, ""amenity"": 13, ""addr:district"": 12, ""fixme"": 12, ""check_date"": 12, ""oneway"": 12, ""note"": 12, ""phone"": 9, ""name:ar"": 9, ""name:en"": 8, ""layer"": 7, ""healthcare"": 5, ""railway"": 4, ""addr:city"": 3, ""service"": 2, ""landuse"": 2, ""government"": 1, ""bridge"": 1, ""name:tr"": 1, ""surface"": 1, ""office"": 1}"
4,13533370,https://www.openstreetmap.org/user/Rafiq%20Haidari,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,Rafiq Haidari,63.0,24753.0,0.0,19382.0,628.0,70.0,4621.0,37.0,15.0,0.0,0.0,0.0,0.0,0.0,4621.0,11.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Turkey,Syrian Arab Republic","RapiD 1.1.9-tm.1,iD 2.21.1","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#OMHAP,#SMforST2023,#AKDN,#MissingMaps","{""building"": 4621}","{""highway"": 23, ""building"": 11, ""landuse"": 3, ""name:ku"": 1, ""surface"": 1, ""name"": 1, ""name:en"": 1, ""name:ar"": 1, ""oneway"": 1, ""short_name:ar"": 1, ""ref"": 1}"
5,6075053,https://www.openstreetmap.org/user/Rabin%20Ojha,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,Rabin Ojha,154.0,23068.0,19273.0,7017.0,13751.0,41.0,1097.0,1150.0,11.0,1.0,0.0,0.0,2.0,5.0,985.0,543.0,98.0,504.0,5.0,11.0,0.0,0.0,8.0,198.0,206.0,"Turkey,Syrian Arab Republic",JOSM/1.5 (18646 en),"#hotosm-project-14262,#turkiye,#hotosm-project-14235,#gesan,#hotosm-project-14264,#SMforST2023,#hotosm-project-14246,#OMHAP,#hotosm-project-14230,#hotosm-project-14233,#yercizenler,#hotosm-project-14245,#turkey,#TürkiyeEQ060223,#Syria,#cscrs,#youthmappers,#nibar,#AKDN,#uhuzam,#hotosm-project-14232,#kll,#MissingMaps,#osmnepal","{""building"": 985, ""highway"": 98, ""ruins:building"": 9, ""waterway"": 5, ""source"": 5, ""surface"": 4, ""layer"": 3, ""ford"": 2, ""lanes"": 1, ""type"": 1, ""maxspeed"": 1}","{""building"": 543, ""highway"": 504, ""source"": 219, ""landuse"": 49, ""surface"": 43, ""ruins:building"": 42, ""waterway"": 11, ""name"": 10, ""layer"": 5, ""service"": 4, ""ref"": 4, ""barrier"": 4, ""bridge"": 3, ""maxspeed"": 3, ""place"": 3, ""turkey_class"": 2, ""ford"": 2, ""lanes"": 2, ""int_ref"": 1, ""name:fr"": 1, ""is_in"": 1, ""boundary"": 1, ""name:ru"": 1, ""voltage"": 1, ""power"": 1, ""name:ar"": 1, ""oneway"": 1, ""construction"": 1, ""name:en"": 1, ""residential"": 1, ""footway"": 1, ""tunnel"": 1, ""admin_level"": 1, ""cables"": 1}"
6,16060450,https://www.openstreetmap.org/user/Dibikshya%20Shrestha,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,Dibikshya Shrestha,67.0,19765.0,14282.0,5692.0,13142.0,57.0,554.0,315.0,1.0,0.0,4.0,0.0,0.0,4.0,517.0,115.0,37.0,190.0,0.0,2.0,0.0,0.0,1.0,150.0,151.0,"Turkey,Syrian Arab Republic","JOSM/1.5 (18463 en),JOSM/1.5 (18427 en)","#mapbuds,#turkiye,#gesan,#SMforST2023,#YILAB,#geoneer,#OMHAP,#YouthMappers,#hotosm-project-14230,#KLL,#hotosm-project-14233,#yercizenler,#hotosm-project-14234,#turkey,#TürkiyeEQ060223,#Syria,#youthmappers,#AKDN,#OSMNepal,#GESAN,#naxa,#MissingMaps","{""building"": 517, ""highway"": 37, ""bridge"": 3, ""source"": 3, ""layer"": 3, ""name"": 2, ""name:en"": 2, ""oneway"": 2}","{""highway"": 190, ""building"": 115, ""source"": 95, ""name"": 12, ""oneway"": 10, ""landuse"": 6, ""route"": 4, ""network"": 4, ""description"": 4, ""type"": 4, ""ref"": 4, ""name:en"": 4, ""surface"": 3, ""int_ref"": 2, ""name:fr"": 2, ""name:ru"": 2, ""bridge"": 2, ""natural"": 2, ""wikidata"": 2, ""e-road:class"": 2, ""wikipedia"": 2, ""waterway"": 2, ""tracktype"": 2, ""name:ar"": 2, ""maxspeed"": 2, ""name:nl"": 2, ""name:sk"": 2, ""description:fr"": 2, ""lanes"": 2, ""layer"": 2, ""note"": 2, ""motor_vehicle"": 1, ""foot"": 1, ""barrier"": 1, ""bicycle"": 1, ""horse"": 1}"
7,8316170,https://www.openstreetmap.org/user/Gaurav%20Parajuli,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,Gaurav Parajuli,71.0,19299.0,23163.0,4527.0,13621.0,60.0,652.0,435.0,4.0,0.0,0.0,0.0,11.0,3.0,603.0,194.0,46.0,222.0,2.0,7.0,6.0,1.0,0.0,159.0,159.0,"Turkey,Syrian Arab Republic","iD 2.25.1,JOSM/1.5 (18583 en)","#mapbuds,#turkiye,#gesan,#SMforST2023,#missingmaps,#OMHAP,#hotosm-project-14230,#hotosm-project-14233,#yercizenler,#hotosm-project-14234,#hotosm-project-14245,#turkey,#TürkiyeEQ060223,#Syria,#youthmappers,#AKDN,#gaurav,#hotosm,#MissingMaps,#osmnepal","{""building"": 603, ""highway"": 46, ""source"": 20, ""amenity"": 6, ""addr:district"": 5, ""name"": 5, ""check_date"": 5, ""phone"": 5, ""healthcare"": 5, ""ford"": 5, ""note"": 5, ""fixme"": 4, ""waterway"": 2, ""man_made"": 1}","{""highway"": 222, ""source"": 215, ""building"": 194, ""construction"": 50, ""landuse"": 12, ""waterway"": 7, ""name"": 7, ""surface"": 4, ""intermittent"": 4, ""man_made"": 2, ""tracktype"": 2, ""oneway"": 2, ""ref"": 2, ""maxspeed"": 2, ""addr:district"": 2, ""tower:type"": 2, ""lanes"": 2, ""layer"": 2, ""phone"": 1, ""check_date"": 1, ""height"": 1, ""healthcare"": 1, ""junction"": 1, ""government"": 1, ""amenity"": 1, ""fixme"": 1, ""building:levels"": 1, ""addr:city"": 1, ""residential"": 1, ""addr:street"": 1, ""addr:housenumber"": 1, ""addr:neighbourhood"": 1, ""office"": 1, ""note"": 1}"
8,14854690,https://www.openstreetmap.org/user/Lochan%20Pant,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,Lochan Pant,78.0,16400.0,13803.0,5277.0,9950.0,38.0,757.0,378.0,0.0,0.0,0.0,0.0,12.0,6.0,692.0,306.0,64.0,52.0,0.0,2.0,0.0,4.0,4.0,58.0,62.0,"Turkey,Syrian Arab Republic","JOSM/1.5 (18570 en),JOSM/1.5 (18678 en)","#ges,#GES,#hotosm-project-14246,#OMHAP,#TürkiyeEQ060223,#Syria,#hotosm-project-14230,#SMforST,#SMforST2023,#AKDN,#MissingMaps,#KU","{""building"": 692, ""highway"": 64, ""source"": 12, ""bridge"": 2}","{""building"": 306, ""highway"": 52, ""source"": 29, ""landuse"": 14, ""name"": 8, ""amenity"": 4, ""name:ar"": 4, ""layer"": 4, ""ref"": 3, ""name:fr"": 2, ""place"": 2, ""int_name"": 2, ""name:ar1"": 2, ""name:en"": 2, ""name:ru"": 2, ""natural"": 2, ""ford"": 2, ""name:tr"": 2, ""religion"": 2, ""waterway"": 2, ""name:de"": 2, ""oneway"": 2, ""alt_name"": 2, ""intermittent"": 2}"
9,18434194,https://www.openstreetmap.org/user/HarryKMapper,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,HarryKMapper,270.0,15526.0,21480.0,9231.0,4154.0,145.0,1659.0,324.0,13.0,0.0,0.0,0.0,219.0,34.0,1513.0,233.0,141.0,86.0,0.0,0.0,150.0,30.0,32.0,0.0,32.0,"Turkey,Syrian Arab Republic","RapiD 1.1.9-tm.1,iD 2.25.1,JOSM/1.5 (18646 en_AU)","#uhuzam,#hotosm-project-14311,#TürkiyeEQ060223,#Syria,#maproulette,#OMHAP,#turkiye,#hotosm-project-14235,#cscrs,#yercizenler,#hotosm-project-14264,#SMforST2023,#turkey,#hotosm,#MissingMaps","{""building"": 1513, ""source"": 221, ""addr:district"": 218, ""fixme"": 218, ""name"": 217, ""check_date"": 217, ""note"": 217, ""phone"": 196, ""amenity"": 150, ""highway"": 141, ""shop"": 70, ""healthcare"": 27, ""brand"": 10, ""brand:wikidata"": 10, ""generator:source"": 3, ""power"": 3, ""generator:type"": 1, ""branch"": 1, ""generator:output:electricity"": 1, ""addr:province"": 1, ""damage:type"": 1, ""damage:event"": 1, ""damage:date"": 1, ""generator:method"": 1, ""leisure"": 1, ""addr:full"": 1}","{""building"": 233, ""source"": 93, ""highway"": 86, ""amenity"": 30, ""name"": 13, ""check_date"": 12, ""addr:district"": 12, ""fixme"": 12, ""note"": 12, ""phone"": 11, ""brand"": 5, ""landuse"": 4, ""oneway"": 4, ""brand:wikipedia"": 4, ""brand:wikidata"": 4, ""int_ref"": 3, ""ref"": 3, ""surface"": 3, ""shop"": 3, ""atm"": 3, ""addr:street"": 3, ""layer"": 3, ""addr:city"": 2, ""wheelchair"": 1, ""operator"": 1, ""man_made"": 1, ""healthcare"": 1, ""addr:postcode"": 1, ""opening_hours"": 1, ""sport"": 1, ""leisure"": 1, ""addr:housenumber"": 1, ""addr:neighbourhood"": 1}"
10,14357745,https://www.openstreetmap.org/user/AayushChand123,2023-02-21 00:00:00+00:00,2023-03-27 20:21:53+00:00,AayushChand123,42.0,12184.0,21321.0,7285.0,3751.0,86.0,798.0,245.0,17.0,2.0,0.0,0.0,2.0,17.0,717.0,120.0,75.0,96.0,0.0,5.0,0.0,12.0,1.0,47.0,48.0,"Turkey,Syrian Arab Republic",JOSM/1.5 (18463 en),"#mapbuds,#turkiye,#hotosm-project-14264,#SMforST2023,#YILAB,#geoneer,#hotosm-project-14311,#OMHAP,#KLL,#hotosm-project-14230,#YouthMappers,#hotosm-project-14233,#yercizenler,#hotosm-project-14234,#turkey,#TürkiyeEQ060223,#Syria,#cscrs,#AKDN,#OSMNepal,#uhuzam,#GESAN,#naxa,#MissingMaps","{""building"": 717, ""highway"": 75, ""ford"": 2, ""type"": 2, ""natural"": 1, ""water"": 1}","{""building"": 120, ""highway"": 96, ""source"": 83, ""landuse"": 17, ""name"": 14, ""amenity"": 12, ""operator"": 5, ""surface"": 5, ""waterway"": 5, ""healthcare"": 5, ""dispensing"": 4, ""ford"": 4, ""intermittent"": 4, ""name:ar"": 3, ""shop"": 3, ""earthquake:damage"": 2, ""name:ru"": 2, ""natural"": 2, ""damage:type"": 2, ""damage:event"": 2, ""damage:date"": 2, ""layer"": 2, ""tourism"": 1, ""name:en"": 1, ""religion"": 1, ""destroyed:building"": 1, ""ref"": 1}"
