rank,uid,profile,start_date,end_date,name,changesets,map_changes,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,countries,editors,hashtags,tags_create,tags_modify
1,6532561,https://www.openstreetmap.org/user/EsthersGeo,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,EsthersGeo,1259.0,236001.0,69035.0,168657.0,27091.0,1574.0,35928.0,2465.0,285.0,0.0,1.0,0.0,0.0,31.0,35471.0,713.0,417.0,1646.0,37.0,22.0,0.0,29.0,"Turkey,Syrian Arab Republic","iD 2.21.1,RapiD 1.1.9-tm.1","#hotosm-project-14226,#uhuzam,#hotosm-project-14264,#helpngo,#turkiye,#cscrs,#hotosm-project-14234,#yercizenler,#hotosm-project-14214,#AKDN,#hotosm-project-14219,#hotosm-project-14218,#MissingMaps,#TürkiyeEQ060223,#hotosm-project-14220,#awsmapathon,#OMHAP,#Syria,#hotosm-project-14233,#turkey,#hotosm-project-14235,#hotosm-project-14232,#hotosm-project-14245","{""building"": 35471, ""highway"": 417, ""waterway"": 37, ""source"": 35, ""layer"": 33, ""tunnel"": 19, ""bridge"": 8, ""surface"": 6, ""intermittent"": 4, ""oneway"": 2, ""natural"": 2, ""landuse"": 1, ""name"": 1, ""addr:street"": 1, ""height"": 1, ""maxspeed"": 1}","{""highway"": 1646, ""building"": 713, ""source"": 677, ""name"": 115, ""surface"": 64, ""oneway"": 56, ""landuse"": 48, ""amenity"": 29, ""ref"": 25, ""waterway"": 22, ""layer"": 15, ""religion"": 14, ""leisure"": 13, ""boundary"": 10, ""name:ar"": 9, ""shop"": 9, ""addr:city"": 9, ""maxspeed"": 8, ""place"": 8, ""phone"": 8, ""name:ku"": 6, ""trees"": 6, ""noname"": 6, ""name:en"": 6, ""lanes"": 6, ""healthcare"": 6, ""name:tr"": 5, ""wikipedia"": 5, ""natural"": 5, ""wikidata"": 5, ""addr:street"": 5, ""admin_level"": 4, ""brand:wikidata"": 4, ""service"": 4, ""brand"": 4, ""denomination"": 4, ""addr:city:ar"": 4, ""residential"": 4, ""intermittent"": 4, ""man_made"": 3, ""fixme"": 3, ""operator"": 3, ""alt_name"": 3, ""alt_name:ar"": 3, ""city"": 3, ""tourism"": 2, ""brand:wikipedia"": 2, ""note"": 2, ""tunnel"": 2, ""operator:wikidata"": 2, ""addr:housenumber"": 2, ""name:fr"": 2, ""entrance"": 2, ""name:ru"": 2, ""seasonal"": 2, ""old_name"": 2, ""name:kmr"": 2, ""toll"": 1, ""addr:district"": 1, ""name:ckb"": 1, ""int_name"": 1, ""name:ce"": 1, ""check_date"": 1, ""name:ur"": 1, ""foot"": 1, ""informal"": 1, ""name:de"": 1, ""power"": 1, ""population"": 1, ""boat"": 1, ""type"": 1, ""operator:wikipedia"": 1, ""source_ref"": 1, ""name:fa"": 1, ""opening_hours"": 1, ""alt_name:ku"": 1, ""name:zza"": 1, ""int_ref"": 1, ""name:zh"": 1, ""name:ar1"": 1}"
2,17281421,https://www.openstreetmap.org/user/Ky_AT,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,Ky_AT,269.0,182422.0,44116.0,153974.0,1647.0,1842.0,24501.0,232.0,226.0,0.0,0.0,0.0,0.0,4.0,24337.0,67.0,161.0,134.0,0.0,0.0,0.0,0.0,"Turkey,Syrian Arab Republic",JOSM/1.5 (18463 en),"#hotosm-project-14220,#yercizenler,#OMHAP,#Syria,#hotosm-project-14246,#AKDN,#hotosm-project-14218,#tomtom,#MissingMaps,#hotosm-project-14235,#hotosm-project-14232,#TürkiyeEQ060223,#hotosm-project-14245","{""building"": 24337, ""highway"": 161}","{""highway"": 134, ""building"": 67, ""source"": 34, ""landuse"": 32, ""residential"": 16, ""name"": 13, ""description"": 6, ""name:ar"": 5, ""name:pt"": 4, ""surface"": 3, ""name:en"": 3, ""oneway"": 2, ""tourism"": 2, ""name:ku"": 2, ""name:tu<Turkish>"": 2, ""short_name:ar"": 1, ""place"": 1, ""ref"": 1}"
3,1962399,https://www.openstreetmap.org/user/Frans%20S,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,Frans S,552.0,161506.0,20490.0,37405.0,107837.0,3052.0,7204.0,5865.0,128.0,3.0,12.0,0.0,15.0,55.0,6914.0,3366.0,193.0,2058.0,56.0,81.0,0.0,6.0,"Turkey,Syrian Arab Republic","reverter_plugin/36043;JOSM/1.5 (18678 en),reverter_plugin/36043;JOSM/1.5 (18646 en),JOSM/1.5 (18646 en),JOSM/1.5 (18678 en)","#456,#219,#742,#97,#259,#230,#692,#469,#397,#300,#697,#428,#213,#380,#OMHAPt,#AKDN,#629,#808,#MissingMaps,#TürkiyeEQ060223,#952,#635,#123,#811,#716,#358,#488,#451,#424,#1320,#1279,#352,#893,#627,#1020,#291,#344,#464,#257,#1227,#1140,#96,#902,#498,#283,#1222,#1189,#1563,#943,#1158,#644,#876,#1223,#770,#754,#745,#978,#144,#506,#989,#883,#833,#499,#896,#399,#877,#986,#1207,#359,#540,#918,#584,#1018,#478,#981,#831,#1113,#753,#457,#242,#1203,#1163,#256,#303,#1240,#179,#637,#325,#639,#361,#290,#372,#919,#316,#806,#500,#675,#142,#727,#212,#477,#527,#143,#156,#1212,#884,#987,#830,#757,#694,#1216,#124,#371,#261,#427,#889,#453,#719,#1239,#809,#Syria,#OMHAP,#1562,#531,#1308,#127,#126,#765,#1377,#891,#421,#312,#496,#41,#286,#1120,#804,#681,#1055,#1561,#122,#1513,#963,#505,#479,#1187,#437,#395,#MissingMapst,#1,#704,#626,#70,#hotosm-project-14245,#1572,#832,#810,#396,#260,#hotosm-project-14311,#763,#638,#976,#828,#216,#1209,#518,#755,#1215,#229,#413,#664,#526,#1112,#340,#1195,#1564,#1019,#353,#426,#1064,#183,#980,#944,#271,#1210,#1139,#409,#744,#913,#1214,#714,#345,#628,#517,#211,#231,#752,#188,#817,#1226,#1602,#1161,#326,#331,#603,#1228,#1205,#330,#515,#1211,#890,#154,#807,#582,#1206,#210,#493,#1555,#177,#150,#1225,#MissingMap,#583,#332,#759,#554,#721,#284,#501,#465,#545,#102,#333,#1208,#1241,#702,#1407,#141,#455,#1007,#495,#764,#813,#151,#436,#417,#746,#680,#974,#894,#678,#304,#181,#180,#297,#1159,#695,#640,#717,#815,#1202,#566,#562,#1021,#747,#1009,#497,#hotosm-project-14232,#1229,#209,#472,#856,#662,#72,#882,#1194,#1141,#803,#886,#1106,#187,#1604,#476,#945,#979,#423,#120,#189,#1186,#157,#1213,#903,#645,#1015,#665,#494,#1188,#1281,#762,#643,#1601,#1603,#289,#553,#885,#69,#480checked,#567,#262,#454,#416,#544,#1358,#287,#942,#874,#461,#569,#563,#317,#1224,#995,#176,#538,#696,#1554,#729,#512,#1553,#533,#847,#572,#468,#641,#149,#444,#814,#535,#718,#318,#243,#1039,#636,#1556,#892,#381,#1196,#703,#368,#360,#601,#1008,#1570,#975,#1096,#516,#1138,#492,#532,#522,#1160,#1094,#425,#585,#313,#511,#1042,#536,#796,#481,#537,#452,#749,#489,#977,#642,#475,#285,#988,#1217,#113,#720,#21,#888,#756,#705,#634,#812,#520,#726,#560,#398,#539,#997,#904,#1280,#1040,#693,#288,#1041,#521","{""building"": 6914, ""highway"": 193, ""waterway"": 56, ""landuse"": 37, ""layer"": 34, ""source"": 29, ""tunnel"": 22, ""ford"": 19, ""construction"": 19, ""bridge"": 11, ""intermittent"": 5, ""name:tr"": 4, ""boat"": 4, ""name:en"": 4, ""name"": 4, ""name:ar"": 4, ""type"": 3, ""man_made"": 2, ""railway"": 2, ""usage"": 2, ""barrier"": 2, ""supervised"": 1, ""service"": 1}","{""building"": 3366, ""highway"": 2058, ""source"": 514, ""landuse"": 309, ""surface"": 114, ""construction"": 112, ""waterway"": 81, ""name"": 55, ""service"": 40, ""layer"": 36, ""name:ar"": 36, ""name:en"": 31, ""residential"": 20, ""name:ku"": 18, ""natural"": 18, ""ford"": 18, ""name:tr"": 16, ""railway"": 16, ""boundary"": 12, ""admin_level"": 12, ""type"": 12, ""place"": 12, ""leisure"": 11, ""tracktype"": 10, ""name:ru"": 10, ""bridge"": 10, ""name:de"": 10, ""alt_name"": 10, ""ref"": 10, ""wikipedia"": 9, ""tunnel"": 9, ""trees"": 9, ""wikidata"": 9, ""int_name"": 8, ""name:fr"": 8, ""barrier"": 8, ""intermittent"": 7, ""man_made"": 6, ""amenity"": 6, ""alt_name:ar"": 6, ""name:ar1"": 6, ""addr:city"": 5, ""oneway"": 4, ""name:ur"": 4, ""usage"": 4, ""name:fa"": 4, ""refugee"": 4, ""name:zh"": 4, ""name:kmr"": 4, ""gauge"": 3, ""boat"": 3, ""electrified"": 3, ""name:ks"": 2, ""name:pnb"": 2, ""name:el"": 2, ""short_name"": 2, ""bicycle_parking"": 2, ""supervised"": 2, ""name:azb"": 2, ""ref:ar"": 2, ""tower:type"": 2, ""power"": 2, ""route"": 2, ""parent_basin"": 2, ""short_name:ar"": 2, ""historic"": 2, ""water"": 1, ""denotation"": 1, ""voltage"": 1, ""industrial"": 1, ""leaf_cycle"": 1, ""leaf_type"": 1, ""produce"": 1, ""footway"": 1, ""crossing:barrier"": 1, ""addr:city:ar"": 1, ""cables"": 1, ""alt_name:en"": 1, ""flood_prone"": 1, ""public_transport"": 1, ""access"": 1}"
4,3877019,https://www.openstreetmap.org/user/piligab,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,piligab,261.0,143637.0,25506.0,51831.0,69927.0,95.0,14092.0,7682.0,10.0,0.0,0.0,0.0,0.0,4.0,13792.0,6873.0,300.0,803.0,0.0,0.0,0.0,21.0,Turkey,"JOSM/1.5 (18583 en),JOSM/1.5 (18664 en)","#hotosm-project-14226,#turkiye,#awsmapathon,#helpngo,#turkey,#TürkiyeEQ060223","{""building"": 13792, ""highway"": 300, ""oneway"": 16, ""source"": 8, ""bridge"": 1, ""layer"": 1, ""name"": 1}","{""building"": 6873, ""source"": 1501, ""highway"": 803, ""oneway"": 92, ""name"": 83, ""layer"": 50, ""building:levels"": 42, ""amenity"": 21, ""description"": 16, ""religion"": 16, ""addr:district"": 13, ""addr:city"": 6, ""ref"": 6, ""lanes"": 6, ""shop"": 4, ""denomination"": 4, ""service"": 4, ""boundary"": 2, ""admin_level"": 2, ""traffic_signals"": 2, ""landuse"": 2, ""natural"": 2, ""maxspeed"": 2, ""phone"": 2, ""name:tr"": 1, ""name:ku"": 1, ""addr:neighbourhood"": 1, ""short_name"": 1, ""residential"": 1, ""name:ar"": 1, ""name:en"": 1, ""junction"": 1, ""website"": 1, ""operator"": 1}"
5,10294659,https://www.openstreetmap.org/user/charles%20chilufya,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,charles chilufya,232.0,137671.0,14923.0,95540.0,15973.0,3581.0,19195.0,2898.0,476.0,6.0,0.0,2.0,0.0,0.0,19024.0,2761.0,167.0,128.0,1.0,0.0,0.0,3.0,"Turkey,Syrian Arab Republic","iD 2.21.1,iD 2.24.2,JOSM/1.5 (18463 en)","#LoveMaps,#turkiye,#OMHAP,#Syria,#hotosm-project-14221,#yercizenler,#hotosm-project-14246,#AKDN,#hotosm-project-14234,#YMUNZA,#28for28,#MissingMaps,#turkey,#TürkiyeEQ060223,#hotosm-project-14232,#MapWithLove","{""building"": 19024, ""source"": 8698, ""highway"": 167, ""type"": 6, ""waterway"": 1, ""oneway"": 1, ""motorroad"": 1}","{""building"": 2761, ""highway"": 128, ""source"": 127, ""layer"": 11, ""surface"": 10, ""landuse"": 6, ""name"": 4, ""amenity"": 3, ""residential"": 3, ""name:pt"": 2, ""religion"": 2, ""description"": 2, ""boundary"": 1, ""admin_level"": 1}"
6,11628862,https://www.openstreetmap.org/user/Kraan46,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,Kraan46,1118.0,134672.0,59345.0,55983.0,59011.0,1126.0,11820.0,6508.0,194.0,30.0,0.0,0.0,0.0,8.0,11339.0,4383.0,421.0,1704.0,0.0,4.0,0.0,2.0,"Turkey,Syrian Arab Republic","JOSM/1.5 (18646 en),JOSM/1.5 (18678 en)","#hotosm-project-14226,#uhuzam,#hotosm-project-14264,#hotosm-project-14311,#helpngo,#turkiye,#cscrs,#hotosm-project-14234,#yercizenler,#hotosm-project-14229,#hotosm-project-14221,#hotosm-project-14246,#AKDN,#hotosm-project-14219,#hotosm-project-14218,#MissingMaps,#TürkiyeEQ060223,#awsmapathon,#OMHAP,#Syria,#turkey,#hotosm-project-14235,#hotosm-project-14232,#hotosm-project-14245","{""building"": 11339, ""highway"": 421, ""source"": 242, ""damage:type"": 64, ""damage:event"": 64, ""damage:date"": 64, ""earthquake:damage"": 64, ""destroyed:building"": 45, ""type"": 30, ""bridge"": 3, ""layer"": 3, ""surface"": 3, ""landuse"": 3}","{""building"": 4383, ""highway"": 1704, ""source"": 888, ""damage:type"": 315, ""damage:event"": 315, ""damage:date"": 313, ""earthquake:damage"": 308, ""residential"": 239, ""destroyed:building"": 223, ""landuse"": 163, ""surface"": 122, ""layer"": 20, ""name"": 19, ""demolished:building"": 17, ""bridge"": 13, ""oneway"": 10, ""power"": 9, ""ref"": 7, ""addr:street"": 5, ""waterway"": 4, ""addr:housenumber"": 4, ""man_made"": 3, ""voltage"": 3, ""building:levels"": 3, ""cables"": 3, ""lanes"": 3, ""railway"": 3, ""tracktype"": 3, ""int_ref"": 3, ""boundary"": 2, ""admin_level"": 2, ""barrier"": 2, ""historic"": 2, ""aeroway"": 2, ""amenity"": 2, ""natural"": 2, ""boat"": 1, ""water"": 1, ""circuits"": 1, ""place"": 1, ""addr:neighbourhood"": 1, ""name:ar"": 1, ""tunnel"": 1, ""intermittent"": 1, ""name:en"": 1, ""FIXME"": 1, ""religion"": 1, ""fixme"": 1, ""leisure"": 1, ""service"": 1, ""maxspeed"": 1, ""line"": 1}"
7,6518397,https://www.openstreetmap.org/user/haabee,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,haabee,716.0,133876.0,452302.0,87089.0,26057.0,564.0,17892.0,2192.0,81.0,1.0,0.0,0.0,1.0,161.0,16018.0,533.0,1497.0,1342.0,0.0,13.0,4.0,17.0,"Turkey,Syrian Arab Republic","JOSM/1.5 (18646 nl),JOSM/1.5 (18678 nl)","#hotosm-project-14226,#uhuzam,#hotosm-project-14264,#hotosm-project-14311,#hotosm-project-14225,#helpngo,#hotosm-project-14230,#turkiye,#cscrs,#hotosm-project-14234,#yercizenler,#hotosm-project-14246,#AKDN,#hotosm-project-14219,#MissingMaps,#TürkiyeEQ060223,#hotosm-project-14262,#awsmapathon,#OMHAP,#Syria,#hotosm-project-14233,#turkey,#hotosm-project-14235","{""building"": 16018, ""highway"": 1497, ""landuse"": 375, ""source"": 31, ""amenity"": 4, ""religion"": 3, ""name"": 3, ""barrier"": 2, ""layer"": 2, ""type"": 1, ""bridge"": 1, ""surface"": 1}","{""highway"": 1342, ""source"": 745, ""building"": 533, ""landuse"": 406, ""name"": 67, ""ref"": 43, ""surface"": 34, ""oneway"": 30, ""service"": 27, ""residential"": 20, ""layer"": 18, ""place"": 18, ""amenity"": 17, ""waterway"": 13, ""building:levels"": 13, ""name:ar"": 12, ""lanes"": 11, ""religion"": 10, ""barrier"": 8, ""ref:ar"": 7, ""maxspeed"": 7, ""wikipedia"": 6, ""bridge"": 6, ""wikidata"": 6, ""alt_name"": 5, ""tracktype"": 4, ""damage:date"": 4, ""damage:type"": 4, ""damage:event"": 4, ""destroyed:building"": 4, ""earthquake:damage"": 4, ""name:en"": 4, ""tourism"": 3, ""voltage"": 3, ""tunnel"": 3, ""turkey_class"": 3, ""power"": 3, ""denomination"": 3, ""cables"": 3, ""int_ref"": 3, ""boundary"": 2, ""admin_level"": 2, ""vervoer"": 2, ""note"": 2, ""int_name"": 2, ""name:fr"": 2, ""name:de"": 2, ""old_name"": 2, ""railway"": 2, ""refugee"": 2, ""name:ar1"": 2, ""water"": 1, ""man_made"": 1, ""internet_access"": 1, ""location"": 1, ""junction"": 1, ""embankment"": 1, ""substance"": 1, ""natural"": 1, ""operator"": 1, ""type"": 1, ""irrigation"": 1, ""intermittent"": 1, ""smoothness"": 1, ""length"": 1, ""name:hy"": 1, ""width"": 1}"
8,13841138,https://www.openstreetmap.org/user/Jenn_Bh,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,Jenn_Bh,288.0,130020.0,62155.0,106065.0,1736.0,659.0,21166.0,290.0,104.0,0.0,0.0,0.0,0.0,1.0,20554.0,113.0,608.0,165.0,0.0,0.0,0.0,0.0,"Turkey,Syrian Arab Republic",JOSM/1.5 (18463 en),"#yercizenler,#hotosm-project-14246,#hotosm-project-14218,#tomtom,#TürkiyeEQ060223","{""building"": 20554, ""highway"": 608, ""layer"": 2, ""bridge"": 1}","{""highway"": 165, ""building"": 113, ""source"": 78, ""name"": 29, ""surface"": 12, ""landuse"": 12, ""oneway"": 10, ""residential"": 10, ""ref"": 8, ""lanes"": 7, ""maxspeed"": 4, ""description"": 2, ""layer"": 2, ""name:ku"": 2, ""note"": 2, ""refugee"": 2, ""name:ar"": 2, ""railway"": 1, ""alt_name"": 1}"
9,4796918,https://www.openstreetmap.org/user/yunica,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,yunica,95.0,125653.0,1367.0,89948.0,13921.0,1414.0,18197.0,2083.0,89.0,0.0,1.0,0.0,0.0,0.0,18169.0,1698.0,28.0,371.0,0.0,0.0,0.0,4.0,Turkey,JOSM/1.5 (18619 SVN en),"#hotosm-project-14226,#turkiye,#awsmapathon,#helpngo,#turkey,#TürkiyeEQ060223","{""building"": 18169, ""highway"": 28, ""source"": 6}","{""building"": 1698, ""highway"": 371, ""source"": 364, ""name"": 28, ""lanes"": 14, ""layer"": 12, ""surface"": 11, ""boundary"": 8, ""admin_level"": 8, ""oneway"": 6, ""building:levels"": 6, ""amenity"": 4, ""addr:city"": 2, ""leisure"": 2, ""type"": 1, ""addr:postcode"": 1, ""railway"": 1, ""landuse"": 1, ""public_transport"": 1, ""religion"": 1, ""addr:street"": 1, ""addr:neighbourhood"": 1, ""height"": 1, ""train"": 1, ""operator"": 1}"
10,9658706,https://www.openstreetmap.org/user/mrt_ortncl,2023-02-05 00:00:00+00:00,2023-03-15 21:22:00+00:00,mrt_ortncl,859.0,118621.0,152066.0,89927.0,6250.0,2783.0,18210.0,975.0,470.0,1.0,5.0,0.0,1.0,33.0,17118.0,186.0,1076.0,757.0,10.0,10.0,0.0,7.0,"Turkey,Syrian Arab Republic","iD 2.21.1,RapiD 1.1.9-tm.1","#yercizenler,#OMHAP,#Syria,#turkiye,#uhuzam,#hotosm-project-14264,#hotosm-project-14311,#hotosm-project-14233,#hotosm-project-14234,#cscrs,#hotosm-project-14219,#MissingMaps,#turkey,#hotosm-project-14235,#TürkiyeEQ060223,#hotosm-project-14262","{""building"": 17118, ""source"": 16963, ""highway"": 1076, ""oneway"": 16, ""layer"": 14, ""waterway"": 10, ""bridge"": 8, ""name"": 7, ""ref"": 6, ""tunnel"": 5, ""intermittent"": 4, ""lanes"": 3, ""boat"": 2, ""type"": 1, ""railway"": 1, ""surface"": 1}","{""highway"": 757, ""source"": 577, ""building"": 186, ""name"": 58, ""oneway"": 40, ""ref"": 34, ""surface"": 32, ""destroyed:building"": 30, ""earthquake:damage"": 30, ""damage:date"": 30, ""damage:type"": 30, ""damage:event"": 30, ""boundary"": 14, ""layer"": 12, ""admin_level"": 11, ""waterway"": 10, ""lanes"": 9, ""amenity"": 7, ""type"": 5, ""description"": 4, ""network"": 4, ""landuse"": 4, ""religion"": 4, ""natural"": 4, ""route"": 4, ""boat"": 3, ""bridge"": 3, ""maxspeed"": 3, ""denomination"": 2, ""voltage"": 2, ""int_ref"": 2, ""parent_basin"": 1, ""lanes:backward"": 1, ""addr:city"": 1, ""lanes:forward"": 1, ""usage"": 1, ""alt_name"": 1, ""gauge"": 1, ""barrier"": 1, ""power"": 1, ""cables"": 1, ""name:ar"": 1, ""tunnel"": 1, ""railway"": 1, ""intermittent"": 1, ""ref:ar"": 1, ""junction"": 1, ""electrified"": 1, ""frequency"": 1, ""phone"": 1, ""healthcare"": 1}"
