rank,name,profile,uid,changesets,map_changes,countries,editors,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,gnoye,https://www.openstreetmap.org/user/gnoye,8520420,22,8373,Syrian Arab Republic,JOSM/1.5 (18678 en_AU),0,3225,4444,0,610,94,0,0,0,0,0,0,605.0,68.0,0.0,24.0,0.0,0.0,0.0,0.0,"{""building"": 605}","{""building"": 68, ""highway"": 24, ""source"": 7, ""landuse"": 2, ""Dalbiyah"": 2}","#hotosm-project-14246,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
2,EsthersGeo,https://www.openstreetmap.org/user/EsthersGeo,6532561,32,8332,"Syrian Arab Republic,Turkey","iD 2.21.1,RapiD 1.1.9-tm.1",158,5459,1572,0,1232,69,0,0,0,0,0,0,1210.0,31.0,4.0,33.0,18.0,3.0,0.0,0.0,"{""building"": 1210, ""waterway"": 18, ""layer"": 9, ""tunnel"": 9, ""highway"": 4}","{""highway"": 33, ""building"": 31, ""source"": 18, ""waterway"": 3, ""surface"": 2, ""natural"": 2}","#hotosm-project-14245,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps,#hotosm-project-14235,#yercizenler,#hotosm-project-14234,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
3,Ky_AT,https://www.openstreetmap.org/user/Ky_AT,17281421,14,7710,Syrian Arab Republic,JOSM/1.5 (18463 en),0,6583,25,0,1092,10,0,0,0,0,0,0,1092.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,"{""building"": 1092}","{""highway"": 9, ""source"": 1, ""landuse"": 1, ""name"": 1, ""name:ar"": 1, ""name:ku"": 1, ""short_name:ar"": 1}","#tomtom,#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
4,Grintovec,https://www.openstreetmap.org/user/Grintovec,14728801,10,6950,Syrian Arab Republic,JOSM/1.5 (18463 en),0,5922,17,0,1010,1,0,0,0,0,0,0,1010.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 1010}","{""building"": 1}","#tomtom,#hotosm-project-14232,#TürkiyeEQ060223,#yercizenler",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
5,Kraan46,https://www.openstreetmap.org/user/Kraan46,11628862,15,6128,Syrian Arab Republic,JOSM/1.5 (18678 en),705,920,4595,0,166,446,0,1,0,0,0,1,160.0,405.0,6.0,35.0,0.0,0.0,0.0,0.0,"{""building"": 160, ""highway"": 6, ""type"": 1}","{""building"": 405, ""residential"": 220, ""highway"": 35, ""surface"": 17, ""source"": 9, ""landuse"": 4, ""fixme"": 1, ""man_made"": 1}","#hotosm-project-14232,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
6,karitotp,https://www.openstreetmap.org/user/karitotp,2748195,8,5556,Turkey,JOSM/1.5 (18676 en),87,3387,1313,0,624,231,0,1,0,0,0,0,621.0,215.0,2.0,16.0,0.0,0.0,0.0,0.0,"{""building"": 621, ""highway"": 2, ""type"": 1}","{""building"": 215, ""highway"": 16, ""source"": 15}","#hotosm-project-14226,#helpngo,#awsmapathon,#TürkiyeEQ060223,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
7,Tangy_Joy,https://www.openstreetmap.org/user/Tangy_Joy,13841151,12,5490,Syrian Arab Republic,JOSM/1.5 (18463 en),92,4435,61,0,986,8,0,0,0,0,0,0,984.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,"{""building"": 984, ""highway"": 2}","{""highway"": 5, ""building"": 3, ""oneway"": 2}","#tomtom,#hotosm-project-14232,#TürkiyeEQ060223,#yercizenler",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
8,jwalseth,https://www.openstreetmap.org/user/jwalseth,1005381,12,4058,Turkey,JOSM/1.5 (18678 en),126,1000,2738,0,186,134,0,0,0,0,0,1,179.0,92.0,5.0,33.0,0.0,0.0,0.0,2.0,"{""building"": 179, ""highway"": 5, ""source"": 4, ""leisure"": 2}","{""building"": 92, ""source"": 36, ""highway"": 33, ""landuse"": 7, ""name"": 3, ""amenity"": 2, ""alt_name"": 1, ""old_name"": 1, ""place"": 1, ""wikidata"": 1, ""wikipedia"": 1, ""surface"": 1, ""religion"": 1, ""layer"": 1}","#hotosm-project-14233,#TürkiyeEQ060223,#yercizenler,#turkiye,#turkey",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
9,yunita sari,https://www.openstreetmap.org/user/yunita%20sari,2112246,7,4046,Syrian Arab Republic,iD 2.21.1,14039,3302,65,0,662,17,0,0,0,0,0,0,591.0,0.0,71.0,14.0,0.0,0.0,0.0,0.0,"{""building"": 591, ""highway"": 71, ""name"": 1}","{""highway"": 14, ""source"": 2, ""landuse"": 2, ""natural"": 1}","#hotosm-project-14230,#TürkiyeEQ060223,#Syria,#AKDN,#OMHAP,#MissingMaps,#SMforST2023",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
10,Deuckchung,https://www.openstreetmap.org/user/Deuckchung,8379329,1,3744,Syrian Arab Republic,JOSM/1.5 (18678 en),5838,1687,1532,0,330,195,0,0,0,0,0,0,321.0,171.0,9.0,10.0,0.0,2.0,0.0,0.0,"{""building"": 321, ""highway"": 9}","{""building"": 171, ""source"": 108, ""highway"": 10, ""barrier"": 8, ""surface"": 2, ""landuse"": 2, ""boundary"": 2, ""intermittent"": 2, ""waterway"": 2}","#hotosm-project-14245,#TürkiyeEQ060223,#Syria,#OMHAP,#MissingMaps,#msfk,#msfk23",2023-03-07 00:00:00+00:00,2023-03-07 21:21:53+00:00
